,Image_ID,Well,Field_ID,PositionX (um),PositionY (um)
0,0202K1F2P1R1,B02,F02,-1845.183,2050.204
1,0202K1F3P1R1,B02,F03,-1640.163,2050.204
2,0202K1F4P1R1,B02,F04,-1435.143,2050.204
3,0202K1F5P1R1,B02,F05,-1230.122,2050.204
4,0202K1F6P1R1,B02,F06,-1025.102,2050.204
5,0202K1F7P1R1,B02,F07,-1025.102,1845.184
6,0202K1F8P1R1,B02,F08,-1230.122,1845.184
7,0202K1F9P1R1,B02,F09,-1435.143,1845.184
8,0202K1F10P1R1,B02,F10,-1640.163,1845.184
9,0202K1F11P1R1,B02,F11,-1845.183,1845.184
10,0202K1F12P1R1,B02,F12,-1845.183,1640.163
11,0202K1F13P1R1,B02,F13,-1640.163,1640.163
12,0202K1F14P1R1,B02,F14,-1435.143,1640.163
13,0202K1F15P1R1,B02,F15,-1230.122,1640.163
14,0202K1F16P1R1,B02,F16,-1025.102,1640.163
15,0202K1F17P1R1,B02,F17,-1025.102,1435.143
16,0202K1F18P1R1,B02,F18,-1230.122,1435.143
17,0202K1F19P1R1,B02,F19,-1435.143,1435.143
18,0202K1F20P1R1,B02,F20,-1640.163,1435.143
19,0202K1F21P1R1,B02,F21,-1845.183,1435.143
20,0202K1F22P1R1,B02,F22,-2460.245,-615.061
21,0202K1F23P1R1,B02,F23,-2255.224,-615.061
22,0202K1F24P1R1,B02,F24,-2050.204,-615.061
23,0202K1F25P1R1,B02,F25,-1845.183,-615.061
24,0202K1F1P1R1,B02,F01,-1640.163,-615.061
25,0202K1F26P1R1,B02,F26,-1640.163,-820.082
26,0202K1F27P1R1,B02,F27,-1845.183,-820.082
27,0202K1F28P1R1,B02,F28,-2050.204,-820.082
28,0202K1F29P1R1,B02,F29,-2255.224,-820.082
29,0202K1F30P1R1,B02,F30,-2460.245,-820.082
30,0202K1F31P1R1,B02,F31,-2460.245,-1025.102
31,0202K1F32P1R1,B02,F32,-2255.224,-1025.102
32,0202K1F33P1R1,B02,F33,-2050.204,-1025.102
33,0202K1F34P1R1,B02,F34,-1845.183,-1025.102
34,0202K1F35P1R1,B02,F35,-1640.163,-1025.102
35,0202K1F36P1R1,B02,F36,-1640.163,-1230.122
36,0202K1F37P1R1,B02,F37,-1845.183,-1230.122
37,0202K1F38P1R1,B02,F38,-2050.204,-1230.122
38,0202K1F39P1R1,B02,F39,-2255.224,-1230.122
39,0202K1F40P1R1,B02,F40,-2460.245,-1230.122
