Elapsed,P6,P9,P11,P14,P17
0,20.67832,16.16134,17.21654,18.62144,17.64133
4,21.689285,19.13701,19.04886,22.32283,17.60168
8,22.70025,21.12833,22.07326,23.58727,19.08278
12,26.08018,24.85385,24.69272,26.06665,19.73515
16,29.13959,29.73244,28.46002,28.01803,19.81466
20,36.1505,34.88881,34.47569,31.69076,22.26096
24,42.49825,42.45482,41.27892,37.23114,26.64494
28,50.8537,51.66057,50.11306,43.20735,30.38182
32,62.48198,61.64762,61.60432,51.53423,37.04184
36,72.50109,70.39183,71.87027,57.62016,42.92421
40,81.43637,76.4101,79.76385,62.76693,47.61766
44,88.9828,81.92966,83.35565,67.4492,52.83347
48,93.57855,87.714575,90.4077,73.24694,62.0685225
52,98.1743,93.49949,97.45975,79.04468,71.303575
56,98.90497,95.88779,98.52527,81.15376,72.94763
60,99.24526,97.34048,98.93371,85.37692,75.40474
64,99.36627,98.3425,99.10255,89.11416,79.31408
68,99.52406,98.77778,99.26566,91.72389,80.50954
72,99.98113,99.85568,99.93835,97.72968,94.32349
