Elapsed,P6,P9,P11,P14,P17,P20
0,25.045405,23.573175,21.82016,19.81398,25.307295,15.51206
2,26.30352,28.04712,25.47077,20.23069,26.16147,15.600905
4,25.75174,26.139265,25.26694,19.93818,26.204305,15.68975
8,25.19996,24.23141,25.06311,19.64567,26.24714,16.06073
10,26.18646,25.6578575,25.557525,19.75482,28.605765,16.43171
12,27.17296,27.084305,26.05194,19.86397,29.19302,16.80269
16,31.657265,32.200955,30.198685,22.233355,30.2219025,17.17367
20,36.30237,35.73317,34.77937,24.085875,31.250785,19.630005
22,41.99012375,42.1278725,40.74010125,28.56133,35.19335375,20.9038075
24,47.6778775,48.522575,46.7008325,33.036785,39.1359225,22.17761
28,51.039965,52.0078,49.405285,33.32171,40.455945,22.26888
32,60.66886,59.926355,58.715255,39.18763,46.636,25.1329
36,69.581865,69.31341,67.950145,45.796515,52.98054,28.3022
40,77.899695,76.607445,75.545915,51.30838,57.66696,30.55006
44,85.08139,82.964145,81.27643,57.980655,62.741675,33.65815
48,92.58569,91.40275,92.021995,70.93219,73.59409,36.34101
52,96.185115,94.96386,95.364555,75.442235,75.756535,40.48717
56,98.302815,97.43555,97.803145,81.32907,79.913175,45.49584
60,99.25094,98.52022,98.92092,84.9045,82.543655,48.35381
64,99.53044,99.132235,99.23024,87.91504,85.322455,51.18031
66,99.66009,99.94336,99.39515,95.33635,90.61778,52.44228
68,99.71219,99.9245475,99.5362175,95.91067,91.167405,53.073265
72,99.76429,99.905735,99.677285,96.48499,91.71703,53.70425
