Elapsed,P8,P10,P13,P15,P18,P21
0,39.60058,42.71489,48.50717,52.69115,49.87944,25.00886
2,39.692405,43.18186,51.477515,55.68499,52.83111,25.20131
4,39.78423,43.64883,54.44786,58.67883,55.78278,25.259275
6,42.247715,44.776315,56.28177,61.145215,57.487435,25.39376
8,44.7112,45.9038,58.11568,63.6116,59.19209,25.50969
10,48.17056,48.376325,61.476935,66.652615,61.078775,26.402025
12,51.62992,50.84885,64.83819,69.69363,62.96546,27.29436
14,53.817615,52.66142,67.82008,72.246445,64.649695,27.91668
16,56.00531,54.47399,70.80197,74.79926,66.33393,28.539
18,59.574015,56.74128,73.946125,77.850945,68.19349,29.33705
20,63.14272,59.00857,77.09028,80.90263,70.05305,30.1351
22,67.17721,62.379745,80.861115,84.4925,73.5112,30.843065
24,71.2117,65.75092,84.63195,88.08237,76.96935,31.55103
26,74.90872,69.292345,87.78883,90.877235,79.97873,32.748095
28,78.60574,72.83377,90.94571,93.6721,82.98811,33.94516
30,82.23902,77.192445,93.26729,95.45443,86.46432,35.497495
32,85.8723,81.55112,95.58887,97.23676,89.94053,37.04983
34,88.719275,84.53061,97.00495,98.159825,92.24977,38.615215
36,91.56625,87.5101,98.42103,99.08289,94.55901,40.1806
38,93.36459,89.977185,98.92175,99.41674,95.858955,41.373355
40,95.16293,92.44427,99.42247,99.75059,97.1589,42.56611
42,96.349835,94.010475,99.603185,99.832235,97.93431,43.55682
44,97.53674,95.57668,99.7839,99.91388,98.70972,44.54753
46,98.2309,96.715375,99.84753,99.924395,99.074735,46.03388
48,98.92506,97.85407,99.91116,99.93491,99.43975,47.52023
50,99.227775,98.449825,99.93628,99.95286,99.58412,48.932665
52,99.53049,99.04558,99.9614,99.97081,99.72849,50.3451
54,99.675265,99.36051,99.97469,99.981405,99.81337,52.60675
56,99.82004,99.67544,99.98798,99.992,99.89825,54.8684
58,99.867265,99.76951,99.98896,99.990845,99.917055,56.23757
60,99.91449,99.86358,99.98994,99.98969,99.93586,57.60674
62,99.9343,99.858605,99.98928,99.992005,99.951805,58.963135
64,99.95411,99.85363,99.98862,99.99432,99.96775,60.31953
66,99.969065,99.92265,99.99411,99.996255,99.98209,64.44498
68,99.98402,99.99167,99.9996,99.99819,99.99643,68.57043
70,99.986715,99.985655,99.99806,99.997485,99.99481,68.964765
72,99.98941,99.97964,99.99652,99.99678,99.99319,69.3591
