Elapsed,P7,P10,P12,P16,P18,P20
0,36.16342,37.41753,43.26418,28.55031,14.92623,11.85929
2,40.88459,42.58693,46.90611,31.45159,15.85549,12.96615
4,45.90892,47.24122,51.23727,33.75497,16.194,13.75232
6,50.05366,52.84856,55.96657,37.35444,16.8151,14.50691
8,53.27122,56.58497,59.94257,40.9026,17.74318,15.35557
10,56.84696,59.98689,63.73035,44.18841,18.93836,16.25898
12,61.34898,63.22055,66.59901,46.96755,20.08754,16.69851
14,66.64543,67.46587,69.89365,50.57219,20.98517,17.62623
16,73.09781,72.31833,75.10567,54.36554,21.97253,18.57757
18,78.53025,76.69991,79.64104,59.34251,23.11879,19.74068
20,83.18216,80.24674,83.82771,63.31989,24.19811,20.81027
22,87.36453,83.89838,87.39156,67.06662,25.99156,22.10327
24,91.10287,86.29096,90.34691,71.20689,27.31075,22.98667
26,93.74236,88.5029,92.58224,74.35391,29.15824,24.45298
28,95.98277,90.88632,94.69495,78.1114,30.43138,25.55749
30,97.78138,93.43797,96.38073,81.87161,31.95443,26.94381
32,98.82365,95.36272,97.80294,85.12955,33.82,28.59881
34,99.37311,96.85647,98.61171,88.52282,35.41286,30.19302
36,99.70081,98.11444,99.22944,91.26152,37.76809,32.16911
38,99.82993,98.82104,99.53322,93.03744,39.37216,34.07792
40,99.88284,99.31544,99.73689,94.61996,41.78734,36.14737
42,99.94804,99.54404,99.87821,96.07062,44.0969,37.99828
44,99.95715,99.70879,99.90993,96.91628,45.90585,39.85246
46,99.96185,99.80858,99.93631,97.4795,48.07801,41.6415
48,99.95533,99.86035,99.94766,98.16725,49.92568,43.21452
50,99.98058,99.89855,99.96657,98.31591,52.32856,44.90734
52,99.97206,99.92152,99.97296,98.57785,53.9575,46.30331
54,99.95692,99.91444,99.97232,98.95508,56.21376,47.48056
56,99.9806,99.95175,99.96165,99.06269,58.16948,48.76082
58,99.97159,99.93817,99.97678,99.21225,59.59881,49.7496
60,99.97935,99.9552,99.97955,99.22186,61.76207,50.43215
62,99.97509,99.96048,99.97965,99.23382,63.05479,50.90795
64,99.97878,99.9574,99.98174,99.20994,64.66824,51.55553
66,99.97152,99.96106,99.98437,99.17081,66.36123,51.7575
68,99.97433,99.96436,99.98172,99.21597,67.43021,51.92424
70,99.97021,99.97448,99.98152,99.35619,69.1965,52.38461
72,99.98666,99.97359,99.97559,99.43916,70.16672,52.49048
