Elapsed,P22,P19,P16,P14,P11,P9
0,21.47139,43.32263,46.27211,43.22583,36.16028,33.3425
4,20.51995,49.20674,52.09177,48.46687,36.68712,34.49217
8,20.94378,52.2831,56.97874,52.18314,38.99029,39.3492
12,22.19382,56.00362,63.39673,59.00615,43.83274,46.03533
16,23.51697,59.04831,68.44692,64.49111,46.66409,50.51064
20,24.61083,63.03695,75.17899,70.91415,50.87102,57.70074
24,26.05652,69.80228,82.99243,79.07193,57.34441,65.94195
28,28.11426,76.58707,89.97391,86.4171,64.61542,73.88631
32,31.1877,84.9718,95.2679,92.86215,74.48427,82.15823
36,34.05983,90.948,98.05841,96.97443,81.51023,88.92522
40,35.93319,94.34441,99.21735,98.49631,87.29624,93.12556
44,37.71197,96.65549,99.60719,99.25011,91.17073,96.16407
48,40.32892,98.08511,99.72923,99.57549,94.64912,98.05633
52,42.91183,98.93703,99.83398,99.77273,96.96597,99.03177
56,47.3087,99.56042,99.93192,99.89882,98.69243,99.59383
60,50.1411,99.72699,99.93793,99.91984,99.2587,99.78906
64,52.06382,99.77003,99.93848,99.90842,99.23341,99.83806
68,62.40176,99.98077,99.99387,99.99522,99.95853,99.96527
72,62.11824,99.92809,99.97797,99.97433,99.81874,99.96518
