Elapsed,,,,,,,P20,P18,P16,P12,P10,P7
0,,,,,,,11.85929,14.92623,28.55031,43.26418,37.41753,36.16342
2,,,,,,,12.96615,15.85549,31.45159,46.90611,42.58693,40.88459
4,,,,,,,13.75232,16.194,33.75497,51.23727,47.24122,45.90892
6,,,,,,,14.50691,16.8151,37.35444,55.96657,52.84856,50.05366
8,,,,,,,15.35557,17.74318,40.9026,59.94257,56.58497,53.27122
10,,,,,,,16.25898,18.93836,44.18841,63.73035,59.98689,56.84696
12,,,,,,,16.69851,20.08754,46.96755,66.59901,63.22055,61.34898
14,,,,,,,17.62623,20.98517,50.57219,69.89365,67.46587,66.64543
16,,,,,,,18.57757,21.97253,54.36554,75.10567,72.31833,73.09781
18,,,,,,,19.74068,23.11879,59.34251,79.64104,76.69991,78.53025
20,,,,,,,20.81027,24.19811,63.31989,83.82771,80.24674,83.18216
22,,,,,,,22.10327,25.99156,67.06662,87.39156,83.89838,87.36453
24,,,,,,,22.98667,27.31075,71.20689,90.34691,86.29096,91.10287
26,,,,,,,24.45298,29.15824,74.35391,92.58224,88.5029,93.74236
28,,,,,,,25.55749,30.43138,78.1114,94.69495,90.88632,95.98277
30,,,,,,,26.94381,31.95443,81.87161,96.38073,93.43797,97.78138
32,,,,,,,28.59881,33.82,85.12955,97.80294,95.36272,98.82365
34,,,,,,,30.19302,35.41286,88.52282,98.61171,96.85647,99.37311
36,,,,,,,32.16911,37.76809,91.26152,99.22944,98.11444,99.70081
38,,,,,,,34.07792,39.37216,93.03744,99.53322,98.82104,99.82993
40,,,,,,,36.14737,41.78734,94.61996,99.73689,99.31544,99.88284
42,,,,,,,37.99828,44.0969,96.07062,99.87821,99.54404,99.94804
44,,,,,,,39.85246,45.90585,96.91628,99.90993,99.70879,99.95715
46,,,,,,,41.6415,48.07801,97.4795,99.93631,99.80858,99.96185
48,,,,,,,43.21452,49.92568,98.16725,99.94766,99.86035,99.95533
50,,,,,,,44.90734,52.32856,98.31591,99.96657,99.89855,99.98058
52,,,,,,,46.30331,53.9575,98.57785,99.97296,99.92152,99.97206
54,,,,,,,47.48056,56.21376,98.95508,99.97232,99.91444,99.95692
56,,,,,,,48.76082,58.16948,99.06269,99.96165,99.95175,99.9806
58,,,,,,,49.7496,59.59881,99.21225,99.97678,99.93817,99.97159
60,,,,,,,50.43215,61.76207,99.22186,99.97955,99.9552,99.97935
62,,,,,,,50.90795,63.05479,99.23382,99.97965,99.96048,99.97509
64,,,,,,,51.55553,64.66824,99.20994,99.98174,99.9574,99.97878
66,,,,,,,51.7575,66.36123,99.17081,99.98437,99.96106,99.97152
68,,,,,,,51.92424,67.43021,99.21597,99.98172,99.96436,99.97433
70,,,,,,,52.38461,69.1965,99.35619,99.98152,99.97448,99.97021
72,,,,,,,52.49048,70.16672,99.43916,99.97559,99.97359,99.98666
