filter_type,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
Cell Size Filter Bottom Band,0,0,0,0,0,0,0,0,0
Cell Size Filter Top Band,0,0,0,0,0,0,0,0,0
Cell:Nuclear Area Ratio Filter Bottom Band,0,0,0,0,0,0,0,0,0
Cell:Nuclear Area Ratio Filter Top Band,0,0,0,0,0,0,0,0,0
Initial Dataset,0,0,0,0,0,0,0,0,0
Min Number of Lysosomes Filter,0,0,0,0,0,0,0,0,0
Min Number of Mitochondria Filter,0,0,0,0,0,0,0,0,0
Nuclear Size Filter Bottom Band,0,0,0,0,0,0,0,0,0
Nuclear Size Filter Top Band,0,0,0,0,0,0,0,0,0
Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,0,0,0,0,0,0,0,0,0
Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,0,0,0,0,0,0,0,0,0
Number Of Neighbours < 97.5th Percentile,0,0,0,0,0,0,0,0,0
Number Of Nuclei Neighbours < 97.5th Percentile,0,0,0,0,0,0,0,0,0
Percent of Cell Touching Neighbours < 97.5th Percentile,0,0,0,0,0,0,0,0,0
Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,0,0,0,0,0,0,0,0,0
