filter_type,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
Cell Size Filter Bottom Band,223,371,146,174,160,100,62,8,6
Cell Size Filter Top Band,0,1,2,3,8,3,1,9,20
Cell:Nuclear Area Ratio Filter Bottom Band,144,456,194,176,140,104,309,19,28
Cell:Nuclear Area Ratio Filter Top Band,0,2,9,14,30,16,4,9,10
Initial Dataset,0,0,0,0,0,0,0,0,0
Min Number of Lysosomes Filter,1,0,2,2,2,0,0,0,0
Min Number of Mitochondria Filter,0,2,1,4,6,3,2,1,0
Nuclear Size Filter Bottom Band,108,209,153,157,164,132,54,17,13
Nuclear Size Filter Top Band,1,2,4,10,16,10,4,16,18
Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,1,1,1,1,1,1,2,1,1
Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,7,5,4,11,11,8,12,5,5
Number Of Nuclei Neighbours < 97.5th Percentile,26,36,26,17,10,9,10,0,0
Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,331,1024,887,847,465,403,808,22,7
