,filter_type,columns,rows_initial,rows_removed,threshold,rows
Initial_Dataset,Initial Dataset,3041,87682,0,"None,None",
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3041,87682,0,min_compartments=0,87682.0
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3041,87682,0,min_compartments=0,87682.0
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3041,87682,1460,Bottom threshold: 14673.4,86171.0
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3041,87682,51,Top threshold: 1205365.4749999994,86171.0
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3041,86171,1025,Bottom threshold: 7067.3,85035.0
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3041,86171,111,Top threshold: 90541.29999999999,85035.0
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3041,85035,1726,Bottom threshold: 1.6164851817503756,83309.0
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3041,83309,79,Top threshold: 23.524498226650216,83230.0
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3041,83230,1,Bottom threshold: 0.02565103458205232,83229.0
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3041,83229,108,Top threshold: 2.5,83121.0
Cell_Neighbours_Filter,First Closest Neighbour distance < 0.025th percentile (97.5th closest distance) or == 0 (no neighbours),3041,83121,1412,Min closest neighbour distance: 134.6472410594589,81709.0
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3041,81709,0,Max Number Of Nuclei Neighbours: 0.0,81709.0
