,filter_type,columns,rows_initial,rows_removed,threshold,rows,AllGroups
Initial_Dataset,Initial Dataset,3041,10085,0,"None,None",,P6-12
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3041,10085,0,min_compartments=0,10085.0,P6-12
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3041,10085,0,min_compartments=0,10085.0,P6-12
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3041,10085,253,Bottom threshold: 14673.4,9832.0,P6-12
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3041,10085,0,Top threshold: 1205365.4749999994,9832.0,P6-12
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3041,9832,114,Bottom threshold: 7067.3,9717.0,P6-12
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3041,9832,1,Top threshold: 90541.29999999999,9717.0,P6-12
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3041,9717,150,Bottom threshold: 1.6164851817503756,9567.0,P6-12
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3041,9567,1,Top threshold: 23.524498226650216,9566.0,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3041,9566,1,Bottom threshold: 0.040183501556178385,9565.0,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3041,9565,16,Top threshold: 2.5,9549.0,P6-12
Cell_Neighbours_Filter,First Closest Neighbour distance < 0.025th percentile (97.5th closest distance) or == 0 (no neighbours),3041,9549,200,Min closest neighbour distance: 134.6472410594589,9349.0,P6-12
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3041,9349,0,Max Number Of Nuclei Neighbours: 0.0,9349.0,P6-12
