,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed
Plate_Number,Plate 1,Plate 1,Plate 1,Plate 1,Plate 1,Plate 1,Plate 1,Plate 1,Plate 1,Plate 2,Plate 2,Plate 2,Plate 2,Plate 2,Plate 2,Plate 2,Plate 2,Plate 2,Plate 3,Plate 3,Plate 3,Plate 3,Plate 3,Plate 3,Plate 3,Plate 3,Plate 3,Plate 4,Plate 4,Plate 4,Plate 4,Plate 4,Plate 4,Plate 4,Plate 4,Plate 4,Plate 5,Plate 5,Plate 5,Plate 5,Plate 5,Plate 5,Plate 5,Plate 5,Plate 5,Plate 6,Plate 6,Plate 6,Plate 6,Plate 6,Plate 6,Plate 6,Plate 6,Plate 6,Plate 7,Plate 7,Plate 7,Plate 7,Plate 7,Plate 7,Plate 7,Plate 7,Plate 7
AllGroups,Doxo,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,P6-12,Doxo,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,P6-12,Doxo,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,P6-12,Doxo,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,P6-12,Doxo,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,P6-12,Doxo,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,P6-12,Doxo,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,P6-12
filter_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Size Filter Bottom Band,0,11,15,8,0,0,0,0,28,0,10,2,3,4,0,0,0,1,0,32,56,54,11,2,0,0,0,0,51,35,30,111,69,0,0,124,2,100,0,70,1,21,47,5,71,2,150,39,0,32,6,14,2,0,2,17,0,11,2,4,2,1,0
Cell Size Filter Top Band,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,1,0,0,1,0,10,0,0,1,3,2,1,8,0
Cell:Nuclear Area Ratio Filter Bottom Band,0,37,30,12,0,0,0,0,68,0,57,4,24,13,0,0,0,11,0,30,112,68,15,5,0,0,0,0,66,63,39,127,76,0,0,80,11,114,0,81,9,61,284,18,64,14,321,56,0,54,8,63,6,0,11,15,0,29,3,4,1,3,0
Cell:Nuclear Area Ratio Filter Top Band,0,40,33,12,0,0,0,0,70,0,64,10,31,19,0,0,0,11,0,32,123,79,31,18,0,0,0,0,67,64,42,134,82,0,0,81,11,116,0,83,19,61,293,22,65,28,329,61,0,67,8,67,6,0,17,16,0,46,9,14,2,16,0
Initial Dataset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min Number of Lysosomes Filter,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Min Number of Mitochondria Filter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0
Nuclear Size Filter Bottom Band,0,17,26,13,0,0,0,0,32,0,25,9,17,7,0,0,0,4,0,49,102,67,35,9,0,0,0,0,41,44,42,137,120,0,0,110,2,95,0,75,10,27,52,10,77,9,114,36,0,51,8,15,3,0,3,44,0,32,8,19,9,9,0
Nuclear Size Filter Top Band,0,0,2,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,2,5,1,3,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,3,3,1,7,1,8,0,0,0,5,3,2,2,0,10,0,0,4,3,1,1,11,0
Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0
Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,0,4,1,2,0,0,0,0,5,0,1,2,3,2,0,0,0,1,0,4,11,8,7,3,0,0,0,0,2,7,2,3,3,0,0,7,2,8,0,1,3,7,7,5,9,2,6,4,0,4,1,4,1,0,4,18,0,13,5,2,6,3,0
Number Of Neighbours < 97.5th Percentile,0,232,22,3,0,0,0,0,85,0,181,107,17,4,0,0,0,25,0,38,507,371,166,75,0,0,0,0,24,24,41,76,57,0,0,31,0,84,0,41,13,159,647,0,102,4,188,35,0,61,1,80,0,0,0,35,0,176,15,8,9,13,0
Number Of Nuclei Neighbours < 97.5th Percentile,0,9,6,0,0,0,0,0,14,0,8,4,2,0,0,0,0,2,0,6,44,34,6,1,0,0,0,0,7,13,4,9,6,0,0,13,0,21,0,14,0,10,72,0,20,0,47,6,0,8,0,11,0,0,0,5,0,6,0,0,0,0,0
Percent of Cell Touching Neighbours < 97.5th Percentile,0,208,19,8,0,0,0,0,85,0,136,79,17,4,0,0,0,26,0,53,376,303,111,60,0,0,0,0,33,36,33,77,51,0,0,18,0,75,0,46,9,105,489,2,94,4,178,39,0,56,1,68,0,0,0,30,0,113,19,10,5,9,0
Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,0,323,36,11,0,0,0,0,143,0,257,145,31,7,0,0,0,42,0,76,693,521,229,113,0,0,0,0,48,49,62,126,89,0,0,46,0,129,0,71,22,227,829,2,160,7,308,66,0,100,1,123,0,0,0,57,0,246,28,18,13,20,0
