,,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed,rows_removed
filter_type,,Cell Size Filter Bottom Band,Cell Size Filter Top Band,Cell:Nuclear Area Ratio Filter Bottom Band,Cell:Nuclear Area Ratio Filter Top Band,First Closest Neighbour distance < 0.025th percentile (97.5th closest distance) or == 0 (no neighbours),Initial Dataset,Min Number of Lysosomes Filter,Min Number of Mitochondria Filter,Nuclear Size Filter Bottom Band,Nuclear Size Filter Top Band,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,Number Of Neighbours < 97.5th Percentile,Number Of Nuclei Neighbours < 97.5th Percentile,Percent of Cell Touching Neighbours < 97.5th Percentile
PlateNumber,AllGroups,,,,,,,,,,,,,,,
Plate 1,P6-12,29,0,58,58,62,0,0,0,29,0,1,5,3068,0,3068
Plate 1,P13-15,10,0,34,35,47,0,0,0,13,1,1,4,1896,0,1896
Plate 1,P16-18,16,0,30,31,16,0,0,0,22,2,1,3,1312,0,1312
Plate 1,P19-21,6,1,10,10,4,0,0,0,11,1,1,2,729,0,729
Plate 1,P22-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 1,P25-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 1,P28-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 1,P32-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 1,Doxo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 2,P6-12,1,0,8,9,8,0,0,0,3,0,1,1,1495,0,1495
Plate 2,P13-15,7,1,49,51,28,0,0,0,17,2,1,1,3831,0,3831
Plate 2,P16-18,0,2,3,7,12,0,0,0,8,0,1,2,1920,0,1920
Plate 2,P19-21,4,0,17,21,6,0,0,0,12,1,1,3,1342,0,1342
Plate 2,P22-24,5,3,11,15,2,0,0,0,7,2,1,2,772,0,772
Plate 2,P25-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 2,P28-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 2,P32-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 2,Doxo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 3,P6-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 3,P13-15,34,0,33,35,70,0,0,0,49,0,1,4,1435,0,1435
Plate 3,P16-18,63,0,96,101,137,0,0,0,102,2,1,12,5523,0,5523
Plate 3,P19-21,59,1,65,70,107,0,0,0,71,5,1,9,3587,0,3587
Plate 3,P22-24,13,2,11,23,26,0,0,0,30,1,1,8,2539,0,2539
Plate 3,P25-27,2,1,3,11,2,0,0,0,7,3,1,3,1253,0,1253
Plate 3,P28-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 3,P32-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 3,Doxo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 4,P6-12,120,0,88,88,116,0,0,0,117,0,1,8,2244,0,2244
Plate 4,P13-15,51,0,68,68,72,0,0,0,40,0,1,2,1611,0,1611
Plate 4,P16-18,38,0,59,61,61,0,0,0,48,0,1,3,1455,0,1455
Plate 4,P19-21,30,0,40,42,47,0,0,0,41,0,1,2,1469,0,1469
Plate 4,P22-24,106,0,127,129,93,0,0,0,137,3,1,4,3426,0,3426
Plate 4,P25-27,62,0,78,82,86,0,0,0,115,0,1,3,2434,0,2434
Plate 4,P28-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 4,P32-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 4,Doxo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 5,P6-12,103,0,99,101,144,0,0,0,104,1,1,22,3278,0,3278
Plate 5,P13-15,145,1,143,144,182,0,0,0,128,2,1,10,2311,0,2311
Plate 5,P16-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plate 5,P19-21,81,0,90,92,100,0,0,0,79,0,1,5,2606,0,2606
Plate 5,P22-24,1,0,7,13,2,0,0,0,9,4,1,5,1083,0,1083
Plate 5,P25-27,39,0,67,67,74,0,0,0,49,3,1,7,2837,0,2837
Plate 5,P28-31,92,0,463,472,219,0,0,0,101,3,1,11,5432,0,5432
