,filter_type,columns,rows_initial,rows_removed,threshold,rows,PlateNumber,AllGroups
Initial_Dataset,Initial Dataset,3045,3068,0,"None,None",,Plate 1,P6-12
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3045,3068,0,min_compartments=0,3068.0,Plate 1,P6-12
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3045,3068,0,min_compartments=0,3068.0,Plate 1,P6-12
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3045,3068,29,Bottom threshold: 14673.4,3039.0,Plate 1,P6-12
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3045,3068,0,Top threshold: 1154459.7999999977,3039.0,Plate 1,P6-12
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3045,3068,29,Bottom threshold: 7067.3,3039.0,Plate 1,P6-12
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3045,3068,0,Top threshold: 89616.59999999995,3039.0,Plate 1,P6-12
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3045,3068,58,Bottom threshold: 1.6164851817503756,3010.0,Plate 1,P6-12
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3045,3068,58,Top threshold: 22.160058147992746,3010.0,Plate 1,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3045,3068,1,Bottom threshold: 0.017490560535990362,3067.0,Plate 1,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3045,3068,5,Top threshold: 2.5,3063.0,Plate 1,P6-12
Cell_Neighbours_Filter,First Closest Neighbour distance < 0.025th percentile (97.5th closest distance) or == 0 (no neighbours),3045,3068,62,Min closest neighbour distance: 134.65146537199365,3006.0,Plate 1,P6-12
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3045,3068,3068,Max Percent Touching: 0.0,0.0,Plate 1,P6-12
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3045,3068,3068,Max Number Of Neighbours: 0.0,0.0,Plate 1,P6-12
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3045,3068,0,Max Number Of Nuclei Neighbours: 0.0,3068.0,Plate 1,P6-12
Initial_Dataset,Initial Dataset,3045,1495,0,"None,None",,Plate 2,P6-12
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3045,1495,0,min_compartments=0,1495.0,Plate 2,P6-12
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3045,1495,0,min_compartments=0,1495.0,Plate 2,P6-12
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3045,1495,1,Bottom threshold: 14673.4,1494.0,Plate 2,P6-12
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3045,1495,0,Top threshold: 1154459.7999999977,1494.0,Plate 2,P6-12
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3045,1495,3,Bottom threshold: 7067.3,1492.0,Plate 2,P6-12
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3045,1495,0,Top threshold: 89616.59999999995,1492.0,Plate 2,P6-12
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3045,1495,8,Bottom threshold: 1.6164851817503756,1487.0,Plate 2,P6-12
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3045,1495,9,Top threshold: 22.160058147992746,1486.0,Plate 2,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3045,1495,1,Bottom threshold: 0.02953807865024872,1494.0,Plate 2,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3045,1495,1,Top threshold: 2.5,1494.0,Plate 2,P6-12
Cell_Neighbours_Filter,First Closest Neighbour distance < 0.025th percentile (97.5th closest distance) or == 0 (no neighbours),3045,1495,8,Min closest neighbour distance: 134.65146537199365,1487.0,Plate 2,P6-12
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3045,1495,1495,Max Percent Touching: 0.0,0.0,Plate 2,P6-12
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3045,1495,1495,Max Number Of Neighbours: 0.0,0.0,Plate 2,P6-12
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3045,1495,0,Max Number Of Nuclei Neighbours: 0.0,1495.0,Plate 2,P6-12
Initial_Dataset,Initial Dataset,3045,0,0,"None,None",,Plate 3,P6-12
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3045,0,0,min_compartments=0,0.0,Plate 3,P6-12
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3045,0,0,min_compartments=0,0.0,Plate 3,P6-12
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3045,0,0,Bottom threshold: 14673.4,0.0,Plate 3,P6-12
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3045,0,0,Top threshold: 1154459.7999999977,0.0,Plate 3,P6-12
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3045,0,0,Bottom threshold: 7067.3,0.0,Plate 3,P6-12
