,filter_type,columns,rows_initial,rows_removed,threshold,rows,AllGroups
Initial_Dataset,Initial Dataset,3471,8881,0,"None,None",,P6-12
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,8881,0,min_compartments=0,8881.0,P6-12
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,8881,1,min_compartments=0,8880.0,P6-12
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,8881,224,Bottom threshold: 22768.0,8657.0,P6-12
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,8881,0,Top threshold: 1254046.5,8657.0,P6-12
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,8881,223,Bottom threshold: 9340.0,8657.0,P6-12
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,8881,1,Top threshold: 98385.75,8657.0,P6-12
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,8881,223,Bottom threshold: 1.9243336199484091,8658.0,P6-12
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,8881,227,Top threshold: 20.530685742771166,8654.0,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,8881,1,Bottom threshold: 0.018285095035001957,8880.0,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,8881,19,Top threshold: 2.5,8862.0,P6-12
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,8881,391,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,8490.0,P6-12
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,8881,223,Max Percent Touching: 65.82167832167832,8658.0,P6-12
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,8881,243,Max Number Of Neighbours: 4.0,8638.0,P6-12
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,8881,49,Max Number Of Nuclei Neighbours: 1.0,8832.0,P6-12
Initial_Dataset,Initial Dataset,3471,17467,0,"None,None",,P13-15
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,17467,2,min_compartments=0,17465.0,P13-15
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,17467,0,min_compartments=0,17467.0,P13-15
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,17467,371,Bottom threshold: 22768.0,17095.0,P13-15
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,17467,1,Top threshold: 1254046.5,17095.0,P13-15
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,17467,385,Bottom threshold: 9340.0,17079.0,P13-15
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,17467,3,Top threshold: 98385.75,17079.0,P13-15
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,17467,640,Bottom threshold: 1.9243336199484091,16827.0,P13-15
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,17467,664,Top threshold: 20.530685742771166,16803.0,P13-15
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,17467,1,Bottom threshold: 0.02903831366570287,17466.0,P13-15
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,17467,37,Top threshold: 2.5,17430.0,P13-15
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,17467,1198,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,16269.0,P13-15
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,17467,713,Max Percent Touching: 65.82167832167832,16754.0,P13-15
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,17467,782,Max Number Of Neighbours: 4.0,16685.0,P13-15
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,17467,103,Max Number Of Nuclei Neighbours: 1.0,17364.0,P13-15
Initial_Dataset,Initial Dataset,3471,11983,0,"None,None",,P16-18
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,11983,1,min_compartments=0,11982.0,P16-18
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,11983,2,min_compartments=0,11981.0,P16-18
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,11983,147,Bottom threshold: 22768.0,11834.0,P16-18
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,11983,2,Top threshold: 1254046.5,11834.0,P16-18
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,11983,217,Bottom threshold: 9340.0,11762.0,P16-18
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,11983,4,Top threshold: 98385.75,11762.0,P16-18
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,11983,265,Bottom threshold: 1.9243336199484091,11718.0,P16-18
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,11983,291,Top threshold: 20.530685742771166,11692.0,P16-18
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,11983,1,Bottom threshold: 0.032459896499051406,11982.0,P16-18
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,11983,21,Top threshold: 2.5,11962.0,P16-18
