,filter_type,columns,rows_initial,rows_removed,threshold,rows,PlateNumber
Initial_Dataset,Initial Dataset,3045,7005,0,"None,None",,Plate 1
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3045,7005,0,min_compartments=0,7005.0,Plate 1
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3045,7005,0,min_compartments=0,7005.0,Plate 1
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3045,7005,61,Bottom threshold: 14673.4,6943.0,Plate 1
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3045,7005,1,Top threshold: 1154459.7999999977,6943.0,Plate 1
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3045,7005,75,Bottom threshold: 7067.3,6926.0,Plate 1
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3045,7005,4,Top threshold: 89616.59999999995,6926.0,Plate 1
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3045,7005,132,Bottom threshold: 1.6164851817503756,6873.0,Plate 1
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3045,7005,134,Top threshold: 22.160058147992746,6871.0,Plate 1
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3045,7005,1,Bottom threshold: 0.017490560535990362,7004.0,Plate 1
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3045,7005,11,Top threshold: 2.5,6994.0,Plate 1
Cell_Neighbours_Filter,First Closest Neighbour distance < 0.025th percentile (97.5th closest distance) or == 0 (no neighbours),3045,7005,129,Min closest neighbour distance: 134.65146537199365,6876.0,Plate 1
