,filter_type,columns,rows_initial,rows_removed,threshold,rows,Plate_Number,AllGroups
Initial_Dataset,Initial Dataset,3471,3073,0,"None,None",,Plate 1,P6-12
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,3073,0,min_compartments=0,3073.0,Plate 1,P6-12
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,3073,0,min_compartments=0,3073.0,Plate 1,P6-12
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,3073,28,Bottom threshold: 22768.0,3045.0,Plate 1,P6-12
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,3073,0,Top threshold: 1254046.5,3045.0,Plate 1,P6-12
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,3073,32,Bottom threshold: 9340.0,3041.0,Plate 1,P6-12
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,3073,0,Top threshold: 98385.75,3041.0,Plate 1,P6-12
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,3073,68,Bottom threshold: 1.9243336199484091,3005.0,Plate 1,P6-12
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,3073,2,Top threshold: 20.530685742771166,3071.0,Plate 1,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,3071,1,Bottom threshold: 0.018285095035001957,3070.0,Plate 1,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,3071,4,Top threshold: 2.5,3067.0,Plate 1,P6-12
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,3071,143,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,2928.0,Plate 1,P6-12
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,3071,85,Max Percent Touching: 65.82167832167832,2986.0,Plate 1,P6-12
