,filter_type,columns,rows_initial,rows_removed,threshold,rows,AllGroups
Initial_Dataset,Initial Dataset,3471,8881,0,"None,None",,P6-12
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,8881,0,min_compartments=0,8881.0,P6-12
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,8881,1,min_compartments=0,8880.0,P6-12
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,8880,223,Bottom threshold: 22768.0,8657.0,P6-12
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,8880,0,Top threshold: 1254046.5,8657.0,P6-12
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,8657,108,Bottom threshold: 9340.0,8548.0,P6-12
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,8657,1,Top threshold: 98385.75,8548.0,P6-12
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,8548,144,Bottom threshold: 1.9243336199484091,8404.0,P6-12
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,8404,0,Top threshold: 20.530685742771166,8404.0,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,8404,1,Bottom threshold: 0.040242253225966786,8403.0,P6-12
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,8403,7,Top threshold: 2.5,8396.0,P6-12
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,8396,331,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,8065.0,P6-12
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,8065,26,Max Number Of Nuclei Neighbours: 1.0,8039.0,P6-12
Initial_Dataset,Initial Dataset,3471,17467,0,"None,None",,P13-15
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,17467,2,min_compartments=0,17465.0,P13-15
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,17465,0,min_compartments=0,17465.0,P13-15
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,17465,371,Bottom threshold: 22768.0,17093.0,P13-15
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,17465,1,Top threshold: 1254046.5,17093.0,P13-15
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,17093,209,Bottom threshold: 9340.0,16882.0,P13-15
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,17093,2,Top threshold: 98385.75,16882.0,P13-15
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,16882,456,Bottom threshold: 1.9243336199484091,16426.0,P13-15
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,16426,2,Top threshold: 20.530685742771166,16424.0,P13-15
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,16424,1,Bottom threshold: 0.0628362810092896,16423.0,P13-15
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,16423,5,Top threshold: 2.5,16418.0,P13-15
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,16418,1024,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,15394.0,P13-15
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,15394,36,Max Number Of Nuclei Neighbours: 1.0,15358.0,P13-15
Initial_Dataset,Initial Dataset,3471,11983,0,"None,None",,P16-18
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,11983,1,min_compartments=0,11982.0,P16-18
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,11982,2,min_compartments=0,11980.0,P16-18
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,11980,146,Bottom threshold: 22768.0,11832.0,P16-18
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,11980,2,Top threshold: 1254046.5,11832.0,P16-18
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,11832,153,Bottom threshold: 9340.0,11675.0,P16-18
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,11832,4,Top threshold: 98385.75,11675.0,P16-18
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,11675,194,Bottom threshold: 1.9243336199484091,11481.0,P16-18
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,11481,9,Top threshold: 20.530685742771166,11472.0,P16-18
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,11472,1,Bottom threshold: 0.03881498480125018,11471.0,P16-18
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,11471,4,Top threshold: 2.5,11467.0,P16-18
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,11467,887,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,10580.0,P16-18
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,10580,26,Max Number Of Nuclei Neighbours: 1.0,10554.0,P16-18
Initial_Dataset,Initial Dataset,3471,12648,0,"None,None",,P19-21
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,12648,4,min_compartments=0,12644.0,P19-21
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,12644,2,min_compartments=0,12642.0,P19-21
