,filter_type,columns,rows_initial,rows_removed,threshold,rows,Plate_Number
Initial_Dataset,Initial Dataset,3471,7019,0,"None,None",,Plate 1
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,7019,1,min_compartments=0,7018.0,Plate 1
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,7018,1,min_compartments=0,7017.0,Plate 1
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,7017,61,Bottom threshold: 22768.0,6955.0,Plate 1
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,7017,1,Top threshold: 1254046.5,6955.0,Plate 1
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,6955,62,Bottom threshold: 9340.0,6890.0,Plate 1
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,6955,3,Top threshold: 98385.75,6890.0,Plate 1
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,6890,119,Bottom threshold: 1.9243336199484091,6771.0,Plate 1
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,6771,2,Top threshold: 20.530685742771166,6769.0,Plate 1
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,6769,1,Bottom threshold: 0.03924037618432701,6768.0,Plate 1
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,6768,3,Top threshold: 2.5,6765.0,Plate 1
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,6765,472,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,6293.0,Plate 1
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,6293,11,Max Number Of Nuclei Neighbours: 1.0,6282.0,Plate 1
Initial_Dataset,Initial Dataset,3471,9367,0,"None,None",,Plate 2
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,9367,0,min_compartments=0,9367.0,Plate 2
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,9367,1,min_compartments=0,9366.0,Plate 2
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,9366,19,Bottom threshold: 22768.0,9343.0,Plate 2
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,9366,4,Top threshold: 1254046.5,9343.0,Plate 2
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,9343,53,Bottom threshold: 9340.0,9286.0,Plate 2
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,9343,4,Top threshold: 98385.75,9286.0,Plate 2
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,9286,99,Bottom threshold: 1.9243336199484091,9187.0,Plate 2
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,9187,6,Top threshold: 20.530685742771166,9181.0,Plate 2
