filter_type,Plate 1,Plate 2,Plate 3,Plate 4,Plate 5,Plate 6,Plate 7
Cell Size Threshold,62,23,159,416,317,256,64
Cell:Nuclei Ratio Threshold,184,156,350,564,694,534,176
Final Filtered DataFrame,0,0,0,0,0,0,0
Initial Column Filter,0,0,0,0,0,0,0
More Than One Cell,0,0,0,0,0,0,0
Neighbors Percent Touching < 97.5th Percentile,472,461,1500,324,1190,493,357
Nuclei Maxiumum Intensity,0,0,0,0,0,0,0
Nuclei Minimum Intensity,0,0,0,0,0,0,0
Nuclei Size Threshold,65,57,187,283,213,157,126
Number of Nucleus Neighbors < 97.5th Percentile,11,7,24,29,28,28,7
Original,0,0,0,0,0,0,0
Remove Empty Mitochondria,1,0,0,7,6,4,1
Remove Empty Organelles,2,1,0,10,8,4,1
