,filter_type,filter_type,columns,rows_initial,rows_removed,threshold,rows,Percent_Removed
0,Initial_Dataset,Initial Dataset,3471,76007,0,"None,None",,0.0
1,Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,76007,19,min_compartments=0,75988.0,0.02499769758048601
2,Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,76007,11,min_compartments=0,75996.0,0.014472351230807689
3,AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,76007,1258,Bottom threshold: 22768.0,74702.0,1.6551107134869156
4,AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,76007,47,Top threshold: 1254046.5,74702.0,0.06183640980436013
5,Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,76007,1614,Bottom threshold: 9340.0,74303.0,2.123488626047601
6,Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,76007,90,Top threshold: 98385.75,74303.0,0.11841014643388108
7,Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,76007,2167,Bottom threshold: 1.9243336199484091,73840.0,2.8510531924691147
8,Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,76007,232,Top threshold: 20.530685742771166,75775.0,0.30523504414067126
9,Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,75775,1,Bottom threshold: 0.018285095035001957,75774.0,0.0013196964698119432
10,Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,75775,150,Top threshold: 2.5,75625.0,0.1979544704717915
11,Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,75775,5456,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,70319.0,7.200263939293962
12,Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,75775,3083,Max Percent Touching: 65.82167832167832,72692.0,4.068624216430221
13,Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,75775,3740,Max Number Of Neighbours: 4.0,72035.0,4.935664797096668
14,Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,75775,408,Max Number Of Nuclei Neighbours: 1.0,75367.0,0.5384361596832729
