Image_ID,Well_ID,Well,Row,Col,Field_ID,Field,PositionX,PositionY,PositionZ,PositionX (um),PositionX (pixels),max_bbox_PositionX (um),min_bbox_PositionX (um),PositionY (um),PositionY (pixels),max_bbox_PositionY (um),min_bbox_PositionY (um),PositionZ (um),PositionZ (pixels),max_bbox_PositionZ (um),min_bbox_PositionZ (um),bbox_coords
0202K1F1P1R1,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,-1e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,-1.0,-1.0535538461538461e-05,204.02037,-206.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P1R2,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,-1e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,-1.0,-1.0535538461538461e-05,204.02037,-206.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P1R3,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,-1e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,-1.0,-1.0535538461538461e-05,204.02037,-206.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P1R4,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,-1e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,-1.0,-1.0535538461538461e-05,204.02037,-206.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P2R1,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,0.0,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,0.0,0.0,205.02037,-205.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P2R2,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,0.0,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,0.0,0.0,205.02037,-205.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P2R3,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,0.0,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,0.0,0.0,205.02037,-205.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P2R4,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,0.0,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,0.0,0.0,205.02037,-205.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P3R1,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,1e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,1.0,1.0535538461538461e-05,206.02037,-204.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P3R2,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,1e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,1.0,1.0535538461538461e-05,206.02037,-204.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P3R3,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,1e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,1.0,1.0535538461538461e-05,206.02037,-204.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P3R4,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,1e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,1.0,1.0535538461538461e-05,206.02037,-204.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P4R1,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,2e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,2.0,2.1071076923076922e-05,207.02037,-203.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P4R2,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,2e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,2.0,2.1071076923076922e-05,207.02037,-203.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P4R3,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,2e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,2.0,2.1071076923076922e-05,207.02037,-203.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P4R4,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,2e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,2.0,2.1071076923076922e-05,207.02037,-203.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P5R1,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,3e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,3.0,3.1606615384615385e-05,208.02037,-202.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
0202K1F1P5R2,0202,B02,2,2,F01,1,-0.001640163,-0.000615061,3e-06,-1640.163,-0.017280000369692308,-1435.14263,-1845.18337,-615.061,-0.006479998821692308,-410.04063,-820.08137,3.0,3.1606615384615385e-05,208.02037,-202.02037,"-1845.2,-820.1,(-1435, 1),-410.0"
