Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,SerialPassage_BatchNumber,AgeGroup,PassageNumber,Staining,Drug
B02,2,2,1,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,2,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,3,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,4,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,5,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,6,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,7,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,8,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,9,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,10,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,11,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,12,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,13,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,14,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,15,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,16,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,17,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,18,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,19,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,20,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,21,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,22,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,23,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,24,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,25,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,26,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,27,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,28,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,29,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,30,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,31,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,32,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,33,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,34,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,35,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,36,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,37,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,38,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,39,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B02,2,2,40,SPB2 AG4 P17,2,4,17,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,1,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,2,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,3,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,4,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,5,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,6,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,7,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,8,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,9,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,10,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,11,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,12,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,13,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,14,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,15,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,16,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,17,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,18,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,19,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,20,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,21,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,22,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,23,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,24,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,25,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,26,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,27,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,28,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,29,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
B03,2,3,30,SPB3 AG3 P14,3,3,14,LAMP1-488 + MitoRed + WGA-CF640R,None
