Metadata_Plate,Folder_Path,PlateNumber,Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,Metadata_RowColFieldCode,Staining_c1,Staining_c2,Staining_c3,Staining_c4,PassageNumber,Lineage,AgeGroup,Drug,PassageGroup,TreatmentGroup,FlaggedBatch,LineageNumber,TimepointName
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,1,r01c02f01,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,2,r01c02f02,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,3,r01c02f03,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,4,r01c02f04,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,5,r01c02f05,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,6,r01c02f06,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,7,r01c02f07,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,8,r01c02f08,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,9,r01c02f09,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,10,r01c02f10,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,11,r01c02f11,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,12,r01c02f12,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,13,r01c02f13,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,14,r01c02f14,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,15,r01c02f15,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,16,r01c02f16,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,17,r01c02f17,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,18,r01c02f18,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,19,r01c02f19,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,20,r01c02f20,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,21,r01c02f21,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,22,r01c02f22,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,23,r01c02f23,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,24,r01c02f24,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,25,r01c02f25,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,26,r01c02f26,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,27,r01c02f27,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,28,r01c02f28,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,29,r01c02f29,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,30,r01c02f30,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,31,r01c02f31,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,32,r01c02f32,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,33,r01c02f33,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,34,r01c02f34,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,35,r01c02f35,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,36,r01c02f36,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,37,r01c02f37,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,38,r01c02f38,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,39,r01c02f39,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A2,1,2,40,r01c02f40,Phalloidin-647,ConA-594,DAPI,,25,LIN2-0A-b1-s1,5,,P25-27,P25,False,2,P25 LIN2-0A-b1-s1 AG5
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,1,r01c03f01,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,2,r01c03f02,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,3,r01c03f03,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,4,r01c03f04,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,5,r01c03f05,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,6,r01c03f06,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,7,r01c03f07,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,8,r01c03f08,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,9,r01c03f09,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,10,r01c03f10,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,11,r01c03f11,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,12,r01c03f12,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,13,r01c03f13,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,14,r01c03f14,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,15,r01c03f15,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,16,r01c03f16,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,17,r01c03f17,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,18,r01c03f18,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,19,r01c03f19,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,20,r01c03f20,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,21,r01c03f21,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,22,r01c03f22,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,23,r01c03f23,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,24,r01c03f24,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,25,r01c03f25,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,26,r01c03f26,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,27,r01c03f27,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,28,r01c03f28,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,29,r01c03f29,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,30,r01c03f30,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,31,r01c03f31,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,32,r01c03f32,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,33,r01c03f33,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,34,r01c03f34,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,35,r01c03f35,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,36,r01c03f36,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,37,r01c03f37,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,38,r01c03f38,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
20241018_rep03,plate_metadata/20241018_rep03_metadata,3,A3,1,3,39,r01c03f39,Phalloidin-647,ConA-594,DAPI,,22,LIN3-0A-b2-s1,4,,P22-24,P22,False,3,P22 LIN3-0A-b2-s1 AG4
