Metadata_Plate,Folder_Path,PlateNumber,Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,Metadata_RowColFieldCode,Staining,PassageNumber,Lineage,AgeGroup,PassageGroup,TreatmentGroup,Drug,FlaggedBatch,LineageNumber,TimepointName
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,1,r02c02f01,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,2,r02c02f02,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,3,r02c02f03,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,4,r02c02f04,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,5,r02c02f05,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,6,r02c02f06,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,7,r02c02f07,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,8,r02c02f08,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,9,r02c02f09,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,10,r02c02f10,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,11,r02c02f11,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,12,r02c02f12,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,13,r02c02f13,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,14,r02c02f14,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
20241112_rep04,plate_metadata/20241112_rep04_metadata,4,B02,2,2,15,r02c02f15,MitoRed,27,LIN3-0A-b2-s1,6,P25-27,P27,,False,3,P27 LIN3-0A-b2-s1 AG6
