old,new
MitoRed,MitoTracker-Red
SBP1 AG4 P17,P20 LIN1-0B-b1 AG4
SBP2 AG3 P14,P17 LIN2-0A-b1 AG3
SBP3 AG2 P11,P14 LIN3-0A-b2 AG2
SBP4 AG1 P9,P12 LIN4-0B-b2 AG1
SBP5 AG0 P6,P10 LIN5-0B-b3 AG0
SPB1 AG5 P20,P23 LIN1-0B-b1 AG5
SPB2 AG4 P17,P20 LIN2-0A-b1 AG4
SPB3 AG3 P14,P17 LIN3-0A-b2 AG3
SPB4 AG2 P12,P15 LIN4-0B-b2 AG2
SPB5 AG1 P9,P13 LIN5-0B-b3 AG1
SPB6 AG0 P6,P11 LIN6-0C-b1 AG0
SPB2 AG5 P21,P25 LIN2-0A-b1-s1 AG5
SPB3 AG4 P18,P22 LIN3-0A-b2-s1 AG4
SPB4 AG3 P15,P20 LIN4-0B-b2A-s1 AG3
SPB5 AG2 P13,P18 LIN5-0B-b3-s1 AG2
SPB6 AG1 P10,P16 LIN6-0C-b1-s1 AG1
SPB7 AG0 P8,P13 LIN7-0C-b3 AG0
SPB2 AG6 P24,P27 LIN3-0A-b2-s1 AG6
SPB3 AG5 P20,P24 LIN3-0A-b2-s2-ss1 AG5
SPB6 AG4 P18,P23 LIN6-0C-b1-s1 AG4
SPB7 AG3 P16,P20 LIN7-0C-b3 AG3
SPB8 AG2 P12,P16 LIN8-0B-b2B-s1 AG2
SPB9 AG1 P10,P15 LIN9-0C-b2-s1 AG1
SPB10 AG0 P7,P11 LIN10-0C-b4 AG0
SPB5 AG3_Doxo P16,Doxo_P17 LIN13-0C-b2-s3 AG9
SPB2 AG8 P29,P33 LIN3-0A-b2-s1-ss1 AG8
SPB4 AG7 P27,P32 LIN3-0A-b2-s1-ss1-sss1 AG7
SPB5 AG6 P25,P29 LIN3-0A-b2-s1-ss2 AG6
SPB5 AG5 P22,P27 LIN3-0A-b2-s2-ss1-sss1 AG5
SPB4 AG4 P18,P23 LIN7-0C-b3-s1 AG4
SPB8 AG3 P16,P19 LIN8-0B-b2B-s1-ss1 AG3
SPB5_Flagged AG2 P14,P19 LIN8-0B-b2B-s1-ss2 AG2
SPB10 AG1 P10,P15 LIN6-0C-b1-s2 AG1
SPB11 AG0 P7,P11 LIN11-0C-b5 AG0
SPB11 AG1_Doxo P9,Doxo_P12 LIN11-0C-b5 AG9
SPB8 AG3_Doxo P16,Doxo_P18 LIN13-0C-b2-s3 AG9
SPB2 AG8 P30,P34 LIN3-0A-b2-s1-ss1 AG8
SPB2 AG7 P27,P31 LIN3-0A-b2-s1-ss2 AG7
SPB3 AG6 P24,P29 LIN3-0A-b2-s2-ss1-ss1 AG6
SPB4 AG5 P20,P25 LIN7-0C-b3-s1 AG5
SPB8 AG4 P19,P22 LIN8-0B-b2B-s1-ss1 AG4
SPB5_Flagged AG3 P17,P22 LIN8-0B-b2B-s1-ss2 AG3
SPB10 AG2 P13,P18 LIN6-0C-b1-s2 AG2
SPB11 AG1 P10,P14 LIN11-0C-b5 AG1
SPB12 AG0 P8,P13 LIN12-0C-b2-s2 AG0
SPB12 AG2_Doxo P12,Doxo_P19 LIN12-0C-b2-s2 AG10
SPB3 AG9 P29,P34 LIN3-0A-b2-s1-ss2 AG9
SPB4 AG8 P27,P33 LIN3-0A-b2-s2-ss1-ss1 AG8
SPB2 AG7 P24,P29 LIN2-0A-b1-s1-ss1 AG7
SPB8 AG6 P22,P25 LIN8-0B-b2B-s1-ss1 AG6
SPB9 AG5 P20,P25 LIN8-0B-b2B-s1-ss2 AG5
SPB4 AG4 P18,P24 LIN6-0C-b1-s2 AG4
SPB10 AG3 P17,P24 LIN7-0C-b3-s2 AG3
SPB11 AG2 P15,P21 LIN11-0C-b5 AG2
SPB12 AG1 P13,P20 LIN12-0C-b2-s2 AG1
SPB13 AG0 P9,P13 LIN11-0C-b5-s1 AG0
