,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,55054.990745781164,33503.14213770982,11712.0,16773.28,19664.0,21811.2,25804.800000000003,33308.0,46356.0,66480.0,93333.6,117795.99999999997,141057.59999999992,182045.11999999962,382756.0
1,P6-12,5.0,1693.0,66998.30537507383,37009.19642707698,10608.0,17747.84,20880.0,24782.4,30614.4,40976.0,59528.0,82824.0,109853.59999999999,135771.79999999996,160951.50000000006,204566.35999999987,324253.0
2,P6-12,2.0,874.0,133868.72082379862,57061.615364384765,19456.0,40514.840000000004,46727.325000000004,56724.65,66831.6,93400.25,126978.5,165304.75,205556.4,232249.59999999998,263616.67499999993,303342.81,465153.0
3,P6-12,1.0,2236.0,88501.0572450805,50572.99686103585,10720.0,22565.2,27662.0,32912.75,40350.0,55603.0,77408.0,107108.25,150566.0,181719.0,219128.0,268264.8500000002,504533.0
4,P13-15,1.0,1262.0,92722.75515055467,54715.36513658309,10496.0,23466.56,29019.6,34508.8,42902.0,58016.0,79998.5,111910.75,155030.0,192825.60000000003,231834.77499999985,287427.11000000086,490998.0
5,P13-15,4.0,1284.0,64698.18925233645,35379.2801850948,9824.0,17851.4,20358.8,24125.25,29412.8,39694.0,56480.0,81490.0,108848.4,131148.59999999998,153843.9,185154.16000000024,269284.0
6,P13-15,3.0,1079.0,75027.44670991659,53425.80656602848,12624.0,18397.44,22279.6,27070.4,32668.000000000004,44664.0,62528.0,87520.0,126718.40000000002,165792.8,195771.9499999999,293254.3800000002,688417.0
7,P13-15,2.0,2416.0,128975.18129139073,70999.41722674714,16445.0,31727.0,37976.0,44961.0,55230.0,81038.0,116110.0,159037.0,215826.0,255605.0,301210.75,364949.1999999999,729566.0
8,P13-15,5.0,1458.0,58148.38751714677,39597.72789853208,9876.0,15938.24,18572.800000000003,21661.6,25397.6,33919.0,48248.0,69447.0,97331.99999999999,126596.19999999997,164409.0,216253.69000000003,549262.0
9,P13-15,6.0,4329.0,69791.68191268192,42018.566531455624,9216.0,17380.48,21840.0,25056.0,30176.0,42116.0,60432.0,85956.0,118501.80000000003,147972.39999999994,181632.0000000001,221115.60000000006,472965.0
