,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,79737.01430722892,83816.81915642852,92324.48490543875,96764.67168326,106128.07838745801,93949.93334683955,90843.15446224256,196665.92408376964,180740.6609589041
std,50697.43843726488,57118.29214163999,64113.35567220233,71153.12924234271,86266.08193514579,80329.98655217967,64289.75519902806,138462.23870048326,185552.28532837384
min,10608.0,9216.0,11152.0,11920.0,11008.0,9288.0,11088.0,12192.0,12592.0
1%,18454.24,18210.24,21013.760000000002,20712.0,19520.0,20102.0,21182.6,18555.920000000002,20496.88
2.5%,21807.6,22352.2,25113.6,24446.8,24201.2,23972.5,26400.5,27926.800000000003,25964.0
5%,26123.0,26611.6,29784.0,29248.0,29236.800000000003,28027.25,30252.0,41039.4,33967.200000000004
10%,31310.4,32446.4,37008.0,36352.0,35802.4,33288.0,36390.0,62250.8,42750.4
25%,44211.0,46020.0,51836.0,52260.0,52757.75,46722.0,50511.0,102831.25,68453.75
50%,66338.5,68880.0,75332.0,78288.0,81836.5,70678.0,74204.0,165362.0,120192.0
75%,100123.0,104120.0,112456.0,118368.0,129206.75,113078.0,112045.0,249493.75,210788.0
90%,146719.7,152899.20000000004,165245.60000000003,176723.5,200856.8,175712.0,161468.0,380679.4000000002,402660.50000000023
95%,179155.99999999988,190626.8999999999,212310.3999999999,228286.1999999999,261053.19999999992,231414.0,200095.0,470019.99999999994,548017.7999999995
97.5%,210351.8999999996,228985.24999999953,263342.5999999999,286590.999999998,340343.9000000001,305894.125,252695.375,538322.3749999995,660928.9999999998
99%,252395.7999999999,292697.0799999999,333221.5999999997,366151.23999999714,450047.8799999992,409829.9499999993,346351.75000000006,635675.48,881277.0699999995
max,504533.0,729566.0,906586.0,1051157.0,1257867.0,1168830.0,754753.0,1111938.0,1714844.0
