,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,255.41239192652955,69.75206042190983,122.11544352758264,146.13797499872106,158.23078843155727,166.64597901169176,181.26137200679386,205.93460796097096,242.9450397430316,290.9380774907156,344.725997572726,387.27576008300036,423.79232761638343,481.43862000057027,698.0974682554378
1,P6-12,5.0,1693.0,282.5523297390143,73.97503028297501,116.21757651298104,150.32354237021843,163.0498135358339,177.6342026052044,197.4320224964778,228.4124856155373,275.3060181307244,324.7380360431237,373.9919053237316,415.77633971748674,452.69127026962667,510.3544473317373,642.5354014363805
2,P6-12,2.0,874.0,403.72152541016357,86.39687264203141,157.39170429970991,227.10819159621633,243.9159914626413,268.744975844861,291.70627478867345,344.849079448613,402.0870956331182,458.77286812562716,511.5882440855579,543.791662399811,579.3501946034532,621.4724122137084,769.5785820513686
3,P6-12,1.0,2236.0,324.45380776703576,86.11671810684902,116.82948223612456,169.5010124587412,187.67079191294042,204.70906897621938,226.66083374875558,266.07503444513145,313.9409427897612,369.28912719821955,437.84310153677416,481.0111503010499,528.2067240281415,584.4344779858952,801.4932109655489
4,P13-15,1.0,1262.0,331.7402349210093,89.51561075967338,115.60243190149708,172.85404946864935,192.22082500401018,209.61378815046473,233.7188830131773,271.7871693574868,319.15083033096283,377.4774008543866,444.2863094581263,495.49284899313415,543.3048464619422,604.9322282832843,790.6693809588654
5,P13-15,4.0,1284.0,277.6332563271523,72.80244424766109,111.84053508222428,150.7605469698766,161.0016448130004,175.26320699915746,193.51883499972453,224.8109659079903,268.165123417485,322.1122164057406,372.2768958352329,408.63618926606,442.58345074224985,485.5336192527695,585.545077312126
6,P13-15,3.0,1079.0,296.16690179594855,88.43260781949638,126.78081878871384,153.03474429030004,168.42585228355492,185.6531806913543,203.94641171619006,238.47005455828972,282.1579739316262,333.8171986339478,401.6749878958735,459.44961507688544,499.2637205019289,611.0444356524622,936.2263335689436
7,P13-15,2.0,2416.0,391.9097425261392,103.08954167686247,144.70115518947924,200.98773724845452,219.8919565994419,239.26160473484225,265.181066257367,321.21764935615136,384.49426868416333,449.99106124021677,524.2119726911119,570.4790655666527,619.2846035074991,681.6653425676637,963.800955433358
8,P13-15,5.0,1458.0,261.0587589011729,76.74105860237064,112.13613932985416,142.45417659124473,153.77694631334094,166.0734934975398,179.8255501671292,207.8148012305022,247.8533056712185,297.3594887493747,352.0324735418356,401.48135290250127,457.52818526333806,524.731071014972,836.2667629532606
9,P13-15,6.0,4329.0,287.2181257139736,79.80444065707479,108.3244000411692,148.75991898855187,166.75596438213523,178.61212174117478,196.01346000193016,231.5680389562992,277.3885581047556,330.8210669036294,388.4342579864729,434.05564301537726,480.896000349046,530.5969269344722,776.014008427468
10,P13-15,7.0,951.0,336.0389352486378,98.20781741177187,129.3262334549379,157.98782015508158,181.7996508543605,202.74385862858432,226.61045280008287,267.91817654235615,324.3928203479105,385.68107656784,462.1907734875626,515.5868411291285,565.8028337936503,613.1347862283003,898.1912345686771
11,P16-18,2.0,1124.0,411.9061285007173,114.69713330341563,176.25846048215095,220.25503650082214,236.24603777396186,256.4292133324132,279.02878023915713,327.0314574191308,396.07554803291043,475.85135465365966,556.2722732852449,620.5956300493555,664.0409015352078,765.4119894419764,1074.3840774617206
12,P16-18,3.0,3976.0,325.123487111127,91.05553417259986,120.26637613311314,166.57591356004633,185.80262730010008,201.54757941726683,223.56286565263846,264.21667272291205,312.66488543881917,368.9264966898878,439.0424483285581,490.23366355559347,546.5787326431105,620.704791779572,898.2188765541777
13,P16-18,4.0,1145.0,278.63264633201493,74.75891206013164,128.53620630967555,156.15724050061797,169.15112457812194,177.19795604962036,191.94906078037954,229.3026389716945,266.4504400717565,318.40292949342125,377.7148520817484,417.6929327948585,454.52774667622515,510.01229713078385,726.6315026259879
14,P16-18,6.0,1340.0,301.8111075580175,97.67202757525331,119.16025932703629,154.88201981758928,168.77914113582062,180.9210834776329,202.7970783271446,234.67027819537697,281.6520989165322,344.3835563505912,421.31160692760545,490.7329425061743,547.6286354250573,626.4979878829861,1051.7304979913013
