,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,305.1031604808375,311.84907009081417,327.34429094518055,333.6664048619845,346.1240071247346,325.4359719626796,324.64339344668576,472.9208113079516,437.2911529124061
std,91.85669268160635,97.31283158079779,101.97118100160819,108.96197162992753,123.80138653496358,117.11096052945199,101.36420822667836,163.76490630859442,197.57603697048387
min,116.21757651298104,108.3244000411692,119.16025932703629,123.19502982362212,118.3884323253107,108.74671899188588,118.81784408085969,124.5926824874202,126.62003138249956
1%,153.28622601412087,152.2694897053417,163.5712277061589,162.39254124052215,157.65035969901996,159.98329777242486,164.2270483823243,153.46903134217035,161.47216000591544
2.5%,166.6322255887317,168.70003077760558,178.81730436004145,176.42741360379037,175.53895307644422,174.70755267759472,183.34164882503163,188.41805309505463,181.8194957992038
5%,182.3755367244221,184.0731959070872,194.7361355679158,192.97593167132015,192.93897610542825,188.90580261418833,196.26013910676815,228.58434237531,207.88711693638172
10%,199.6638154678938,203.25363333487985,217.07152985032124,215.13903395295944,213.50651361712588,205.87276981950964,215.25144997888884,281.53183636550756,233.30546088532648
25%,237.25765212251096,242.06297473600503,256.9039607341465,257.952511744932,259.1780327105775,243.90222892223468,253.59929539573264,361.8407096019027,295.2248033087521
50%,290.6282868293621,296.1431070299594,309.70256922406907,315.72041029719065,322.79632580788734,299.98337350703287,307.37512441460433,458.852123470425,391.18741394994515
75%,357.044202403863,364.10122410921,378.395859177578,388.2149120202097,405.5997288596609,379.4408775877633,377.7037517679237,563.6178827273354,518.0574466155796
90%,432.2144411693528,441.2225138792299,458.6907746263738,474.3536111885384,505.7062590054274,472.9941465924385,453.41751207295476,696.199573279795,716.0166728786726
95%,477.60705785923017,492.6598285377891,519.9249614286599,539.131715286117,576.5268899282703,542.8125086605833,504.74629265878855,773.5931012472021,835.1028553610748
97.5%,517.5213150847839,539.9564129030207,579.0494029898043,604.0684939449324,658.2851134647573,624.0805206438099,567.2227310632721,827.8787739566699,917.3428830413152
99%,566.8864877203933,610.4698943159057,651.3608097394166,682.7852399956832,756.9790719183391,722.3648784303365,664.0698294248427,899.6455592801561,1059.2749865622643
max,801.4932109655489,963.800955433358,1074.3840774617206,1156.8814373673645,1265.52993106342,1219.9182665542803,980.2965704864516,1189.8585768458904,1477.6356769690644
