,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,3.2785703673132214,1.1912847623670293,1.1856603773584906,1.68215924012261,1.8626391080597295,1.965574589430302,2.135487466008886,2.4523580365736284,2.994566954298498,3.823438106325184,4.708333442760722,5.422041313978934,6.3926623668978735,7.82122749796652,10.585877505150778
1,P6-12,5.0,1693.0,3.536399716650836,1.2755977299758483,1.3157894736842106,1.6155668339587748,1.7929601166835938,2.00401224318008,2.2568352778378946,2.71376608841634,3.3178378378378377,4.091086405305247,4.922639242810338,5.707505603616834,6.5978040771989885,8.49253043299395,13.244111349036402
2,P6-12,2.0,874.0,4.913903040764179,1.5633296961045964,1.6213333333333333,2.0861754145377978,2.4195042097177457,2.6376586085108396,3.0789568232155444,3.7488374768675468,4.751284967334501,5.83278026111985,7.01432287645378,7.821996100864706,8.403345367056854,9.288592292644756,11.328616658548466
3,P6-12,1.0,2236.0,4.093772506667637,9.802043645189167,1.1737943585077344,1.7101115165915188,1.9281408773586732,2.1202420502879216,2.4160437932798384,2.8739942425976253,3.4971122492707685,4.385060413061288,5.636068503834656,6.581784903306245,7.566597957910416,9.013968318438629,400.9125
4,P13-15,1.0,1262.0,4.125736828066717,1.7809577416274371,1.2939759036144578,1.7056481359270617,1.9122270040111318,2.175030619877849,2.454807149679038,2.98607279828296,3.7310325684678016,4.876004714808637,6.334750350170577,7.088156606768208,8.284489386792435,9.450395413860639,24.50333333333333
5,P13-15,4.0,1284.0,3.464801977759319,1.2740337652654024,1.1552660152008687,1.620949932919476,1.774852785760638,1.963294490027878,2.142335706200434,2.5594480285551433,3.186721410678045,4.157467304380322,5.086993562402179,5.776882757360953,6.566442776497172,7.56251906266291,12.044600938967136
6,P13-15,3.0,1079.0,4.451770833044727,18.87895383613782,1.42548596112311,1.7625452924756237,1.9633690583830883,2.103146188724225,2.3737162877267255,2.9195765773929803,3.609169199594732,4.434403241927612,5.631654443020796,6.416910635206676,7.661483566795942,9.343101355123983,622.1119791666666
7,P13-15,2.0,2416.0,5.415386035922179,33.81732908448797,1.3628784554629223,1.7561217752547662,2.0284393338646143,2.3202276425253068,2.656267738189398,3.355743514523399,4.352625109232113,5.574201057207256,6.77613092343582,7.926476427678969,8.989159553005099,10.751551161077284,1648.5833333333333
8,P13-15,5.0,1458.0,3.4378059980441558,7.351836973268955,1.159846547314578,1.5419186566291894,1.688447214040098,1.8311609793856116,2.054638552005046,2.4211268180123064,2.9368929978318628,3.7296732509306167,4.772947075095598,5.658218511515177,6.331964189795259,7.449813843325792,279.05555555555554
9,P13-15,6.0,4329.0,5.653770696449766,152.28039735808676,1.1270491803278688,1.522414819794209,1.6875903344607717,1.8511797964928716,2.0793737515890913,2.482147136352744,3.0876393110435663,3.8859397417503594,4.907560714652128,5.6444015420459674,6.503629389382503,7.662227376841079,10022.3125
10,P13-15,7.0,951.0,6.086528982417514,54.52419175333801,1.5663980378416258,1.8885699181947324,2.056418896672688,2.3200495566049684,2.5785123966942147,3.174689582312638,3.957749562171629,5.048068734756743,6.444698033707865,7.680034413228487,8.75698338818239,10.238677485181228,1684.9
