,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,3.834079076442919,4.9157447813181685,4.2287893147668845,4.544471268836019,4.699043913508846,4.438869775931482,3.818399273353382,6.2836386574553265,9.9552247324572
std,5.810146617666379,91.26408315493856,12.956125569340049,25.778370299968135,11.137784424363119,9.200056808124195,2.945999518163292,3.1657620563279028,74.06722061433223
min,1.1737943585077344,1.1270491803278688,1.024442462087422,1.0588235294117647,1.026181818181818,1.113584036838066,1.0744282744282745,1.0336015144344537,1.046363018354861
1%,1.6936027611107587,1.6087394073467076,1.6717232665440764,1.7159388072503843,1.6819004415614875,1.665345853355562,1.3982287881285405,1.2311501376986578,1.171748344546785
2.5%,1.8918350445594414,1.781490906706287,1.9090632303297845,1.9379429329966003,1.9107912336303086,1.9107642792162245,1.5421471809826794,1.6240930005897627,1.2965642959451034
5%,2.049256437329953,1.9732908393965554,2.1125501321604876,2.1485852822391283,2.159106989708405,2.1005580609292815,1.7145040230875739,1.9120422645254598,1.4369483206061704
10%,2.2749285840239812,2.2085400425230333,2.371946804988412,2.4210740740740744,2.4146370241908213,2.3364662153192617,1.9813287562983795,2.622349321532739,1.890883486422387
25%,2.728020013902821,2.685051828164183,2.9005181347150257,2.987052875077613,3.0335701228379572,2.8562044760176635,2.536308173859066,3.9923834801557385,2.9219591583644147
50%,3.423121833448871,3.437772925764192,3.698319941563185,3.827552630059991,3.9933964372152504,3.723735894205988,3.337268091497084,5.701852250133172,4.587284595956499
75%,4.381918483516264,4.492875411076055,4.8211849957374255,4.993647790490186,5.434014564185631,5.05612471960015,4.501465012480651,8.228451701870027,7.341456226079825
90%,5.578735049385662,5.759969205177517,6.213609101948155,6.444986140319253,7.260540085955857,6.88086067175072,5.950239793131444,10.777407734426625,10.296619528013514
95%,6.509571729279936,6.657440128656922,7.248884581632407,7.500376290074978,8.68610414880316,8.336621713742664,7.211868515437309,12.361140266653033,13.077862573075794
97.5%,7.510134857063328,7.732356949283769,8.51650707159424,8.671770595442737,10.274163275542863,9.775209211175916,8.482590844826923,13.7290628873781,17.38539708022723
99%,8.788482394651686,9.11170093462728,10.17772463515465,10.572192290458688,13.169630296994475,12.567917111126134,10.608056643510382,15.517838149898884,19.202908133043042
max,400.9125,10022.3125,1187.0,2354.6644736842104,919.35625,628.25,111.14864864864865,16.839338631465516,1269.4471153846157
