,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,127.42188350571584,77.22006876299723,1.0,22.36,31.0,40.80000000000001,52.0,75.0,110.0,157.0,219.0,274.0,327.0,413.27999999999975,710.0
1,P6-12,5.0,1693.0,138.31659775546368,78.90523951209099,20.0,33.0,41.0,51.0,65.0,88.0,118.0,169.0,232.0,292.39999999999986,352.10000000000014,410.15999999999985,695.0
2,P6-12,2.0,874.0,276.0308924485126,108.4162683648866,45.0,80.92,102.0,120.65,152.0,202.0,260.0,336.0,412.70000000000005,456.3499999999999,504.6999999999998,641.3499999999999,836.0
3,P6-12,1.0,2236.0,188.43694096601072,104.12633461775629,7.0,44.0,53.0,68.75,84.0,121.0,170.0,232.0,305.0,365.25,454.5,564.3000000000002,1009.0
4,P13-15,1.0,1262.0,270.27337559429475,196.5029045665957,10.0,29.61,51.525000000000006,72.05000000000001,98.0,142.0,213.5,347.75,503.9000000000001,643.7500000000002,760.5499999999984,918.00000000001,2003.0
5,P13-15,4.0,1284.0,144.8177570093458,76.4545385025029,1.0,25.83,36.0,46.0,64.0,91.0,131.0,182.0,244.0,290.8499999999999,331.92499999999995,390.34000000000015,543.0
6,P13-15,3.0,1079.0,155.209453197405,111.12751815319244,17.0,37.0,45.95,55.900000000000006,68.0,93.0,128.0,180.0,270.20000000000005,322.0999999999999,417.14999999999986,596.6600000000001,1449.0
7,P13-15,2.0,2416.0,286.18915562913907,150.3911347050712,6.0,69.15,91.375,113.0,138.0,188.0,256.0,349.0,458.5,548.0,650.25,807.3999999999996,2096.0
8,P13-15,5.0,1458.0,113.83744855967078,81.73194076315515,7.0,21.14,31.425000000000004,41.0,50.0,68.0,95.0,132.0,190.0,254.14999999999986,331.3250000000005,460.3100000000011,901.0
9,P13-15,6.0,4329.0,142.22522522522522,86.55185186001891,6.0,28.0,38.0,48.0,61.0,86.0,122.0,175.0,245.0,295.0,370.60000000000036,474.16000000000076,1017.0
10,P13-15,7.0,951.0,175.9558359621451,110.83185056704693,28.0,37.5,50.0,64.0,79.0,103.0,149.0,216.0,301.0,387.5,468.25,582.5,1210.0
11,P16-18,2.0,1124.0,384.7072953736655,232.05037279043492,20.0,75.0,101.30000000000001,126.30000000000001,158.90000000000003,226.75,335.5,485.25,667.7,809.8499999999999,947.5499999999997,1158.499999999999,2054.0
12,P16-18,3.0,3976.0,212.13581488933602,144.21806223286913,8.0,40.75,56.375,69.0,84.0,118.0,175.0,259.0,387.5,474.0,573.0,764.0,1709.0
13,P16-18,4.0,1145.0,149.2951965065502,85.13756979056511,2.0,27.32,41.2,50.0,64.0,90.0,133.0,186.0,252.0,303.1999999999998,369.39999999999986,447.59999999999945,719.0
14,P16-18,6.0,1340.0,163.5410447761194,125.00191706532128,3.0,31.39,39.0,52.0,65.0,89.0,130.0,196.25,302.10000000000014,385.04999999999995,475.3999999999978,640.4899999999991,1962.0
15,P16-18,1.0,928.0,204.83081896551724,139.8980767783307,10.0,34.0,47.175,60.7,78.7,114.75,167.0,254.0,380.30000000000007,489.29999999999995,584.8249999999999,749.5800000000008,1052.0
16,P19-21,7.0,2034.0,235.57767944936086,161.29299279926005,15.0,41.33,63.0,77.0,93.0,133.0,195.0,287.0,424.0,523.3999999999996,653.6999999999998,810.0300000000007,2283.0
17,P19-21,5.0,1682.0,154.93341260404281,100.05743306762909,12.0,31.81,41.0,48.0,63.0,91.25,133.0,191.0,261.9000000000001,323.9499999999998,387.82499999999936,514.9500000000003,1119.0
18,P19-21,3.0,2573.0,217.25301204819277,164.8833301280164,10.0,39.0,52.0,62.0,79.0,113.0,170.0,267.0,406.0,533.4000000000001,657.0,852.6800000000012,1613.0
19,P19-21,2.0,781.0,312.03072983354673,192.30181027217046,15.0,45.4,69.5,90.0,121.0,178.0,261.0,401.0,572.0,691.0,794.5,871.2000000000016,1888.0
20,P19-21,1.0,471.0,226.31210191082803,149.36329493723932,16.0,29.8,48.75,69.5,88.0,125.5,193.0,273.5,406.0,519.5,621.0,695.2000000000007,1465.0
21,P19-21,4.0,1097.0,170.1084776663628,128.63326360833247,9.0,29.0,37.0,46.0,59.0,90.0,138.0,211.0,311.4,388.0,508.39999999999964,671.1599999999999,1380.0
22,P22-24,7.0,665.0,298.32932330827066,203.14117916360817,7.0,53.0,69.2,85.2,111.20000000000002,164.0,247.0,367.0,557.8000000000001,685.7999999999997,881.0,994.72,1594.0
23,P22-24,6.0,1487.0,209.95427034297242,165.85226056760823,8.0,26.86,40.0,53.0,71.0,108.0,164.0,254.5,401.4000000000001,536.0,668.0499999999988,876.0800000000022,1573.0
24,P22-24,5.0,477.0,279.9308176100629,221.20300724408318,3.0,41.0,45.0,57.8,86.80000000000001,135.0,222.0,350.0,533.4000000000001,755.0,936.8999999999996,1174.0,1423.0
