,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,18057.0,8377.0,8355.0,6325.0,4838.0,4982.0,478.0,104.0,214.0
mean,169.1377859002049,217.07568341888503,224.60131657690005,289.0834782608696,233.75795783381562,192.7603372139703,325.9309623430962,470.0,414.6869158878505
std,113.39632428699389,150.89931620591477,174.3637495001628,227.0827518890054,206.92914834577857,136.70332991586204,235.44741618851467,361.4133528945568,370.73812951067316
min,6.0,2.0,9.0,3.0,3.0,3.0,16.0,23.0,21.0
1%,31.0,38.760000000000005,36.0,34.0,33.0,25.0,48.7,34.39,30.39
2.5%,43.0,54.0,46.0,50.0,43.0,37.525000000000006,73.925,56.2,53.575
5%,53.0,67.0,59.0,68.0,55.0,49.0,84.85,84.65,82.0
10%,67.0,83.0,76.0,91.0,72.0,67.0,108.80000000000001,108.4,97.3
25%,94.0,118.0,115.0,142.0,111.0,104.0,171.0,246.25,164.75
50%,140.0,177.0,176.0,225.0,176.5,161.0,262.0,384.0,325.5
75%,212.0,270.0,276.0,366.0,284.0,244.0,411.5,602.5,526.0
90%,304.0,399.0,427.0,566.0,464.3000000000002,352.90000000000055,610.4000000000001,832.1,851.3000000000002
95%,380.2000000000007,495.0,560.0,720.0,600.2999999999993,434.9499999999998,786.0499999999998,1132.6999999999998,1110.7999999999997
97.5%,458.0,608.3999999999978,689.1499999999996,897.8999999999996,767.0,539.0,1016.9749999999995,1322.7749999999996,1405.0749999999991
99%,566.0,770.0,880.3799999999974,1086.3600000000024,986.7800000000007,691.1899999999996,1253.3700000000003,1623.2499999999998,1919.5900000000001
max,2096.0,2003.0,2283.0,2721.0,3026.0,1566.0,1572.0,2393.0,2335.0
