,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,53.64126292868808,40.77994103184806,2.0,8.0,11.0,14.0,18.0,28.0,43.0,67.0,100.40000000000009,128.0,162.0999999999999,212.27999999999975,413.0
1,P6-12,5.0,1693.0,64.42823390431187,43.125158240840136,6.0,10.0,13.0,17.0,22.200000000000017,36.0,55.0,81.0,115.0,142.0,170.4000000000001,229.0,473.0
2,P6-12,2.0,874.0,129.26659038901602,61.230330403550965,1.0,30.73,39.650000000000006,48.0,60.30000000000001,88.0,120.0,160.75,202.70000000000005,239.3499999999999,280.3499999999999,310.3499999999999,566.0
3,P6-12,1.0,2236.0,106.84525939177102,65.59275912099555,5.0,19.0,27.0,34.0,44.0,64.0,92.0,133.0,179.0,224.25,276.125,354.25000000000045,625.0
4,P13-15,1.0,1262.0,115.83201267828844,74.28802631539268,2.0,19.0,26.525000000000002,35.0,46.10000000000001,70.0,97.0,144.75,203.0,254.0,299.0,368.7800000000002,752.0
5,P13-15,4.0,1284.0,61.51791277258567,43.22352665430133,2.0,8.0,11.0,15.0,20.30000000000001,33.0,51.0,78.0,116.0,138.8499999999999,169.8499999999999,226.17000000000007,402.0
6,P13-15,3.0,1079.0,62.17608897126969,54.79776060094888,1.0,7.0,9.0,13.0,19.0,31.0,48.0,76.0,115.20000000000005,150.0,186.24999999999977,282.0,654.0
7,P13-15,2.0,2416.0,133.3294701986755,83.34568125922252,5.0,23.150000000000002,33.375,42.0,56.0,81.0,115.0,162.0,228.0,281.0,331.875,429.5499999999997,1082.0
8,P13-15,5.0,1458.0,54.89780521262003,42.94249057629816,2.0,8.0,11.0,13.0,19.0,29.0,44.0,67.0,100.0,130.0,170.0,194.43000000000006,550.0
9,P13-15,6.0,4329.0,69.42273042273042,55.10504253163842,1.0,10.0,13.0,17.0,23.0,35.0,55.0,86.0,130.0,169.0,219.80000000000018,289.4800000000023,727.0
10,P13-15,7.0,951.0,89.62145110410094,65.71140830533939,4.0,13.5,20.0,26.5,33.0,46.0,72.0,113.5,167.0,207.5,268.0,330.5,704.0
11,P16-18,2.0,1124.0,159.55960854092527,104.65768738249798,6.0,25.23,35.075,46.0,60.0,89.0,134.0,202.0,294.70000000000005,360.8499999999999,445.6999999999998,536.3899999999999,920.0
12,P16-18,3.0,3976.0,93.07520120724347,70.53223807243518,3.0,12.75,18.0,23.0,31.0,48.0,75.0,116.0,176.0,222.25,264.25,350.0,808.0
13,P16-18,4.0,1145.0,63.92052401746725,48.67752607908203,1.0,8.0,11.0,15.0,20.0,32.0,52.0,81.0,114.0,150.0,196.79999999999973,254.0,493.0
14,P16-18,6.0,1340.0,75.46641791044776,71.23429816007493,3.0,10.0,14.0,16.0,22.0,35.0,57.0,94.0,142.0,192.04999999999995,251.52499999999986,380.7099999999989,1065.0
15,P16-18,1.0,928.0,111.86099137931035,86.79643674977282,6.0,17.0,22.0,27.0,37.0,56.0,88.0,142.0,212.0,280.65,354.64999999999986,461.19000000000005,649.0
16,P19-21,7.0,2034.0,122.73746312684366,97.55833147402097,8.0,19.0,24.825000000000003,33.0,42.0,62.0,98.0,151.0,227.70000000000005,291.3499999999999,371.52499999999986,503.6700000000001,1206.0
17,P19-21,5.0,1682.0,69.94768133174792,58.77801531060044,1.0,10.0,14.0,17.0,22.0,34.0,55.5,87.0,131.0,167.94999999999982,213.92499999999973,277.52000000000044,800.0
18,P19-21,3.0,2573.0,80.45277885736495,67.67367930859807,3.0,11.0,15.0,20.0,27.0,41.0,62.0,98.0,150.0,200.0,271.0,370.4800000000032,658.0
19,P19-21,2.0,781.0,170.15236875800255,135.1954751372505,8.0,19.4,26.0,37.0,52.0,84.0,133.0,214.0,339.0,420.0,498.5,639.8000000000004,1452.0
20,P19-21,1.0,471.0,112.43949044585987,91.31959340313703,7.0,10.0,16.0,23.0,32.0,57.0,92.0,136.5,212.0,288.0,320.0,443.7000000000001,997.0
21,P19-21,4.0,1097.0,77.52415679124886,74.09994982270378,3.0,8.0,12.0,14.0,21.0,33.0,56.0,98.0,157.0,203.0,263.5999999999999,424.15999999999985,703.0
22,P22-24,7.0,665.0,151.24812030075188,116.53323159722093,4.0,16.0,22.0,32.2,43.0,73.0,119.0,188.0,300.6,388.79999999999995,503.5999999999997,569.5200000000001,676.0
23,P22-24,6.0,1487.0,108.01412239408205,99.67853006680232,2.0,10.86,15.0,22.0,30.0,49.0,79.0,133.0,211.4000000000001,296.4000000000001,388.94999999999936,516.2800000000002,1107.0
24,P22-24,5.0,477.0,152.44025157232704,146.55505997166364,1.0,10.52,13.0,23.0,34.0,59.0,104.0,189.0,314.2000000000003,427.99999999999966,572.0,802.0,993.0
25,P22-24,2.0,386.0,160.0777202072539,147.89606449101984,8.0,12.85,20.0,24.0,36.5,64.0,108.5,214.0,344.5,428.0,496.25,618.2999999999977,1442.0
26,P22-24,3.0,1588.0,113.96158690176323,94.47384443415145,4.0,15.0,20.675000000000004,25.0,36.0,58.0,90.0,139.0,212.29999999999995,278.64999999999986,356.0,472.3799999999969,1094.0
27,P22-24,4.0,2541.0,80.03856749311295,80.4366435778688,3.0,8.0,10.0,13.0,18.0,32.0,57.0,99.0,160.0,231.0,310.5,391.1999999999989,973.0
28,P25-27,4.0,1908.0,75.90303983228512,71.61514087029022,1.0,7.07,10.0,13.0,18.0,31.0,54.0,94.0,157.0,220.0,273.0,343.95000000000095,796.0
29,P25-27,5.0,1667.0,97.70605878824234,83.56925217594952,1.0,12.0,17.0,22.30000000000001,29.0,48.0,76.0,118.5,187.4000000000001,248.39999999999964,321.3499999999999,442.7399999999991,1096.0
30,P25-27,6.0,81.0,127.62962962962963,122.63762110833328,3.0,3.0,6.0,17.0,21.0,41.0,86.0,165.0,281.0,389.0,457.0,528.2000000000003,609.0
31,P25-27,3.0,737.0,123.11261872455903,113.8841519770407,14.0,18.36,23.0,29.0,38.0,58.0,91.0,145.0,238.0,340.59999999999945,494.0000000000001,579.0799999999997,1077.0
32,P25-27,7.0,543.0,178.7034990791897,156.8900551844448,8.0,16.0,21.0,33.1,49.0,82.0,135.0,229.5,345.00000000000006,453.0,552.3499999999998,675.1800000000009,1761.0
33,P28-31,7.0,303.0,123.11551155115511,100.00789632889739,11.0,15.02,19.1,26.0,36.0,64.5,97.0,147.0,220.8,292.9,384.5999999999999,581.0400000000009,662.0
34,P28-31,5.0,2110.0,115.97867298578198,78.53532376783888,1.0,18.0,25.0,31.0,41.0,63.0,96.0,146.0,213.0,264.54999999999995,330.0,404.0,626.0
35,P28-31,6.0,1083.0,129.31394275161588,112.73718172671555,2.0,16.0,21.0,26.1,36.0,57.5,98.0,161.5,255.80000000000007,326.7999999999997,439.7000000000003,575.2400000000011,1171.0
36,P32-35,6.0,15.0,130.66666666666666,154.95974899800208,5.0,6.12,7.800000000000001,10.600000000000001,16.200000000000003,24.5,90.0,157.5,259.79999999999995,396.0999999999997,500.0500000000001,562.4199999999998,604.0
37,P32-35,7.0,226.0,265.0840707964602,176.64892241272568,13.0,32.0,60.0,74.75,94.0,141.25,211.5,336.5,530.5,606.75,762.75,805.5,1044.0
38,P32-35,5.0,141.0,222.4113475177305,191.7517767070597,5.0,10.4,15.0,28.0,41.0,78.0,164.0,321.0,486.0,625.0,698.5,800.3999999999993,1001.0
39,Doxo,5.0,75.0,174.64,171.8862477400742,4.0,4.0,7.4,21.7,27.0,80.5,125.0,243.5,331.2000000000002,456.0999999999998,586.15,729.2200000000028,1134.0
40,Doxo,7.0,42.0,247.88095238095238,227.31800035825523,15.0,15.41,16.025,17.400000000000002,41.80000000000001,82.5,129.0,352.75,553.6999999999999,734.3999999999994,792.6750000000001,833.5299999999997,861.0
41,Doxo,6.0,175.0,204.06285714285715,216.99724968556666,9.0,13.74,20.35,24.0,31.400000000000002,62.0,132.0,281.0,451.5999999999999,635.0999999999999,772.2000000000006,925.0799999999995,1625.0
