,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,84.26219879518072,84.52797558494404,97.20815223775402,97.84637647603611,109.18952967525196,102.47305510534846,120.72826086956522,244.05497382198953,202.8082191780822
std,60.60884108774343,68.41107961287683,80.45869231745858,89.45463723277871,104.69234233230193,101.06916228810273,92.50818136161989,183.7473434060802,208.4414531286538
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0
1%,10.0,10.0,11.0,11.0,9.0,9.0,16.0,11.81,8.91
2.5%,14.0,13.0,16.0,15.0,13.0,13.0,22.0,20.525,16.0
5%,19.0,18.0,21.0,20.0,18.0,18.0,30.0,33.25,22.0
10%,26.0,25.0,28.0,27.0,26.0,25.0,39.0,58.2,31.0
25%,42.0,40.0,46.0,44.0,45.0,43.0,61.0,116.0,71.75
50%,70.0,66.0,75.0,73.0,79.0,73.0,97.0,196.0,127.5
75%,111.0,108.0,123.0,120.0,136.0,126.0,151.0,326.75,281.0
90%,160.0,163.0,191.0,192.0,224.0,213.0,227.0,517.9000000000003,456.40000000000055
95%,195.0,211.0,247.0,257.0,309.0,291.25,288.5,611.95,608.45
97.5%,235.0,263.0,312.1999999999989,339.0,396.0,369.625,365.25,723.4749999999999,779.4249999999981
99%,296.21999999999935,336.4399999999987,413.6399999999976,460.6299999999992,535.989999999998,520.0,468.40000000000146,808.9,915.2199999999985
max,625.0,1082.0,1065.0,1452.0,1442.0,1761.0,1171.0,1044.0,1625.0
