,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,0.03012646286256492,0.030766073002633273,0.036734059249622496,0.03334767504103754,0.029781360498640896,0.032102330338968234,0.026597146733466977,0.03147636072000627,0.029102941052821577
std,0.01441087991815516,0.020272640572646203,0.020290675530532203,0.01927850468023278,0.023939510116018678,0.017094231317910984,0.011018505941247205,0.016896584464325178,0.02075070166189109
min,0.0035541794049651,0.0033127007074853,0.0021674704716205,0.0029666113796565,0.0024375195469249,0.0022128153628587,0.0044430058961888,0.0034958879560431,0.0020955470913881
1%,0.010072723612417789,0.007531908886993664,0.008616106705513427,0.006364384679889358,0.004134937220342421,0.004920160309417495,0.00775502609585008,0.0046218793907492626,0.004270424138645218
2.5%,0.011590369037796417,0.008706728524355641,0.010089937585549881,0.00875636731269629,0.004886117650744372,0.006877374564818162,0.009299546232903737,0.00666704021769001,0.004711780328112575
5%,0.013135586410650161,0.009996841740872349,0.01205752018258238,0.011092678060912,0.0056516822792149,0.009278282789317475,0.01127851133245265,0.009294097480716104,0.00655680070340196
10%,0.015450994689048281,0.01182463323226672,0.015035985097308201,0.01405837349598187,0.00692665560767451,0.01263821637417125,0.01317438760832955,0.013158572753505111,0.00816608992815935
25%,0.020126771774900624,0.016480893290455198,0.0217499492355509,0.020146886314608623,0.010790849339664649,0.01991902837457915,0.018237346029532676,0.020495946790766325,0.013679073694301776
50%,0.027258443716726748,0.0252361873935496,0.0328044159785616,0.02893725549345305,0.022377258340704052,0.0298786737109125,0.0254997706241034,0.02837479734238095,0.02452762116892515
75%,0.03708412520357712,0.039983830513711405,0.0476894062032957,0.041719979106062025,0.0428729786192367,0.041916943423684204,0.03340662349728115,0.0407036239865239,0.03849318315800805
90%,0.048523362670277535,0.056882155705427935,0.06330657288730553,0.05808493092502966,0.0640552958915889,0.054436464174598645,0.041813115854724456,0.051456746823205265,0.05658373172453587
95%,0.05632110817646015,0.06954499909415475,0.0740651118061354,0.07074152729685054,0.07699616172326178,0.06202525566598732,0.04620758149494495,0.059402514498610656,0.0665685726919602
97.5%,0.06283119469353818,0.08152670319533259,0.08381984707231493,0.08489993103657809,0.08942476647697549,0.06971408003324342,0.05136082989175034,0.06597366655990664,0.07505706682484982
99%,0.07384424794506417,0.09781879336780964,0.10042938779315441,0.10006962132818834,0.10549281220371252,0.07891261195332744,0.0568494781521197,0.07852223688502732,0.0884278515259961
max,0.3721422225128678,0.6708734857930673,0.3203356879130203,0.1893706596955057,0.1876070088926661,0.3496625473500395,0.0748490178848972,0.1498702965252505,0.1498047261249658
