,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,0.01421004479876159,0.0036508109043597043,0.0062031419156793,0.007983221856684328,0.00855789094326527,0.00916767793931228,0.01001329983594572,0.0116996370000803,0.0136995331622129,0.0162197617468746,0.018833741487569364,0.02071991735079491,0.022484385184576048,0.024529263936051746,0.0501381016876028
1,P6-12,5.0,1693.0,0.009440018112100042,0.002848171830541339,0.0038841843238493,0.005301009821185032,0.00571040302764894,0.00605251700969128,0.00652351583550586,0.0074305734018821,0.0087991428643456,0.0108355692825896,0.01316785998065162,0.014953955022106613,0.01662413583527812,0.01888532361153614,0.0267988998992001
2,P6-12,2.0,874.0,0.008533920233558109,0.0021072617050267527,0.0035942819001318,0.004767050610977975,0.00530890937403335,0.00572727751736504,0.00619908613860672,0.00710579168303275,0.0082496893835175,0.009589732846202199,0.01123725236435265,0.012178852033381985,0.0137843755069423,0.015343886177871625,0.0199619710957876
3,P6-12,1.0,2236.0,0.0072918375908376685,0.0022062003415966682,0.0028419266318016,0.003806262845808865,0.004038340650471962,0.004365093899278725,0.0048108234427287,0.005737225805258625,0.0069445752178205,0.008457105617244276,0.01011415840828125,0.0114062946192952,0.0126170263291561,0.014370815383457759,0.0195614076120036
4,P13-15,1.0,1262.0,0.007735309451444408,0.0021680972930343944,0.0033756343666634,0.003763520434333016,0.004023568641318095,0.00436277406614109,0.0049283190863529495,0.00622806464746945,0.007672889855873451,0.009009304856340725,0.010455905937393511,0.011457344077486312,0.012452950626476451,0.013517810487556516,0.0189227511634665
5,P13-15,4.0,1284.0,0.013949664061702907,0.004722477716162815,0.0040928484253094,0.005058895169882011,0.005830173072740985,0.006169812827266826,0.00730841952192112,0.01093858872498075,0.01402474826345065,0.0169431276450245,0.01939617836224829,0.021447953801777574,0.024028092117069397,0.026669899295332658,0.0356195214451101
6,P13-15,3.0,1079.0,0.012326328190322216,0.003839434933686045,0.0059138351826722,0.006662422080862119,0.0071481379491778055,0.0077464666610988905,0.00834404997108844,0.00979293139603735,0.0116848637833634,0.013958991220178449,0.016979375683770483,0.019172249792638537,0.02119545469429076,0.0236409697048526,0.0591439744702589
7,P13-15,2.0,2416.0,0.012096878396235059,0.002681745043125663,0.0051905070226172,0.007369088536503445,0.0078971005070271,0.008499616605812775,0.0091126067158787,0.010278633764545976,0.0117483592760471,0.013429864415808776,0.0154098526234159,0.016862611628047926,0.01869094498753329,0.021161981550982596,0.0297261191814474
8,P13-15,5.0,1458.0,0.01074708282881324,0.0031684950665949816,0.0040634837671017,0.0056222246389752775,0.006143785728652825,0.0066741913622692045,0.0072790667547475195,0.00847429615235905,0.01017521206258925,0.0124746262434591,0.01487491985757146,0.016639415873582874,0.018314563528101475,0.021221252422514377,0.0256466207087593
9,P13-15,6.0,4329.0,0.010718125120799006,0.002637228336983781,0.0040982053341159,0.006111622628615412,0.00668883233687522,0.00715619239695164,0.00784503329838542,0.0088837497466318,0.0103174682023578,0.0120979318175175,0.0141981861359841,0.015717600672253834,0.017018340706653503,0.018689804231099838,0.0284956543024727
10,P13-15,7.0,951.0,0.01762712477193665,0.003938522328364452,0.0080191516747147,0.010313108265148151,0.011313541768798875,0.01208038396073615,0.0131309563081319,0.015073529759899399,0.0170793369982147,0.019744560366902753,0.0230016794782926,0.024582830003382503,0.02619164229803955,0.02889009542907045,0.0391608270889723
11,P16-18,2.0,1124.0,0.011002205040970577,0.002389617648604812,0.005289283216633,0.006552450446005018,0.007064699729255168,0.0076058497581013105,0.008330425917386931,0.0093490977294445,0.0106957318120132,0.012306859126714125,0.01419065185145002,0.015501887057040434,0.016629979949655645,0.01762655772887227,0.0232395530185687
12,P16-18,3.0,3976.0,0.01631312931009406,0.004337759089493364,0.0072892045235894,0.009364196566285999,0.010318861493697574,0.010852631887623775,0.01170233142451285,0.013248454911314149,0.015599471812944,0.0185625772762343,0.0217911896731726,0.02431760763181675,0.02643132059272629,0.029718557624095174,0.0499106154198344
13,P16-18,4.0,1145.0,0.015171859149007382,0.008211018234313394,0.004492946481828,0.006575503077507735,0.00790021685295972,0.008948112284153301,0.01000626833242654,0.0120462879004235,0.0143966811327404,0.0174574497550782,0.02034908806579284,0.022588950753238,0.024960021253345246,0.027343531758522496,0.253091897039486
14,P16-18,6.0,1340.0,0.01208008397476472,0.003088467828430925,0.0036049291892701,0.005628756821952512,0.007038000262262023,0.007819395927886155,0.008656007814045241,0.010069788909267975,0.0116279633452229,0.01375182499417545,0.01622337360674271,0.017850095315720464,0.019116783575408813,0.0215113718858332,0.0287049162253528
15,P16-18,1.0,928.0,0.008990593716055836,0.002362820511414661,0.003913504452467,0.004715845493626089,0.00549866339813353,0.005963132796632165,0.00641511322290455,0.0073000714686659255,0.008674754908591799,0.0101511172290205,0.012240314458404122,0.013259388199895339,0.01449587887051219,0.01606553198060752,0.0205336416391741
16,P19-21,7.0,2034.0,0.015752224087112163,0.003690474438724964,0.0063908201545087,0.00918096581318113,0.00990876054230275,0.010630856979601646,0.01141191972888352,0.013272326281927024,0.0154515382009278,0.017673349595989027,0.02039087530146282,0.02208043417293449,0.02401820390710006,0.026157629859971242,0.0612766809381788
17,P19-21,5.0,1682.0,0.010913037864373257,0.003694526344466578,0.0045842359247449,0.0058108974004333165,0.00615180264037458,0.0065283424604051,0.0070679408015889705,0.00832291065803645,0.0101436076387651,0.0124883095919303,0.01552636601756614,0.017751084647562424,0.02064941932083703,0.023926147688218068,0.0343096430912093
18,P19-21,3.0,2573.0,0.015120689151322872,0.0038206924148501925,0.0071353329472019,0.008834469636120204,0.00971911315744998,0.01025439596802582,0.0110137931791119,0.0124222526357427,0.0145398829439328,0.0170505072116854,0.02017175802991334,0.022251173465677766,0.02423452920914126,0.027325039050115303,0.0365080496676001
19,P19-21,2.0,781.0,0.007981294734860872,0.0016166472192476221,0.0035448288787532,0.00523372033854554,0.0056223446882798,0.005801322811517,0.006214675748625,0.0067853821388024,0.0077773243830514,0.0088234454305153,0.0100902016904106,0.0110616001554024,0.0117973636472609,0.012790643213645063,0.0159277473953693
20,P19-21,1.0,471.0,0.00864235668482789,0.0023694721432070765,0.0034709058582153,0.00455730084012957,0.005000769571947224,0.0054474338800558995,0.0059216522327188,0.0069203473915055505,0.0083103958967031,0.0100186772016844,0.0116154727924,0.012690981154817298,0.014109570063965975,0.01584708792485145,0.0196185981525136
21,P19-21,4.0,1097.0,0.012371401706787452,0.0029071041184627767,0.0062379269591228,0.006912460792473257,0.00772156334372712,0.00823407545221508,0.0089044510715589,0.0102219529753627,0.0120816437514543,0.0141650313999611,0.01633041196002016,0.017665270582148923,0.019270347899246174,0.02050039918164336,0.0232753438604822
22,P22-24,7.0,665.0,0.023201534897772946,0.008059105966950903,0.0085719280473499,0.010837075765135075,0.01221251125193976,0.01359855381806962,0.015110898116941841,0.0176240356731252,0.0217186161042371,0.0268773492838635,0.032956614137251206,0.037932921362859896,0.0436677308757171,0.049127610209839155,0.0915918972962177
