,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,0.009917017785595365,0.011662172437285493,0.013993873231913884,0.013102182857865456,0.013636370192666008,0.011387784502433806,0.008258209824300504,0.013255923891318315,0.010863178964515493
std,0.003963123227126607,0.0038893412894246628,0.005281742859883081,0.004375846758276407,0.005759689514082753,0.005331523428355208,0.00626949209739487,0.005780356306166781,0.006146464895407554
min,0.0028419266318016,0.0033756343666634,0.0036049291892701,0.0034709058582153,0.0027343598154817,0.003311131616404,0.0033474513852847,0.0034396142124525,0.0031568965778922
1%,0.0040650669740818195,0.004775191532950694,0.00604851163836348,0.00576190945404452,0.00579178307126,0.004650777890931725,0.0037895217775960302,0.004660218700625241,0.004672645745921135
2.5%,0.00455756819448075,0.00583187166972003,0.00684626370136818,0.006271605679349597,0.006492459020731162,0.005181102064663337,0.00403296771512575,0.004942907755051373,0.005027791954252957
5%,0.005106477620947476,0.00656054193331851,0.00760381768559554,0.0068016513316427,0.0071728410561276,0.0056862127608208,0.0042674534853209,0.005294090465517905,0.005704227877983446
10%,0.0057612762464749195,0.00749077792791644,0.0087242131583562,0.00768507023453662,0.00811051279859736,0.00626521200440365,0.0045185925093466,0.00598913620065435,0.00623789756388513
25%,0.00700912313320195,0.0090067585891117,0.0107321999712884,0.009894124071229849,0.009749593239235925,0.0076512081095305995,0.005055697074209151,0.00783463948850015,0.007189557703931525
50%,0.00893755610468015,0.011012936015404,0.0133213714955813,0.01276412720083,0.0123549205149887,0.010181152473352249,0.0060571733504565,0.013756628791573002,0.0089291799884938
75%,0.01215769684181415,0.013607587796546649,0.0165563476839393,0.015756515343131848,0.016029018123937075,0.013463542446080924,0.0082322424983845,0.0166192367863369,0.011440941104084999
90%,0.015505573719404421,0.01677776384691254,0.01983203739368682,0.01860578478782135,0.02078939837080894,0.01809117925025385,0.013644299240598,0.020244681010251783,0.02062377684979385
95%,0.01752236219330344,0.01896508126603935,0.022203482495892518,0.02077631804432961,0.02452168787627657,0.0223033674173343,0.024114978801880026,0.02295203560984678,0.023960167010921525
97.5%,0.01938458381490072,0.021076268452123376,0.024621383031605534,0.02277520538152762,0.028136963760441,0.0259705649717723,0.0295598307504107,0.02568256905935632,0.02703120358684948
99%,0.021669137150117278,0.0237702350786432,0.027537313370403223,0.025451538365956445,0.03344571272291611,0.030440510031596143,0.03363852941578904,0.028515660343654967,0.029791621494772776
max,0.0501381016876028,0.0591439744702589,0.253091897039486,0.0612766809381788,0.0915918972962177,0.0538628416050355,0.0489732568476905,0.0380582184372993,0.0477143957493294
