,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,1.1616766467065869,0.9608292408259764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0
1,P6-12,5.0,1693.0,1.6243354991139989,1.1472748514516247,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,6.0
2,P6-12,2.0,874.0,1.3169336384439359,1.054749462470017,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.1749999999999545,4.0,5.0
3,P6-12,1.0,2236.0,1.3953488372093024,1.0774299580482092,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,6.0
4,P13-15,1.0,1262.0,2.1204437400950873,1.3909451574420668,0.0,0.0,0.0,0.0,0.10000000000000853,1.0,2.0,3.0,4.0,5.0,5.0,6.0,7.0
5,P13-15,4.0,1284.0,1.161214953271028,0.9837449342253841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0
6,P13-15,3.0,1079.0,1.3679332715477295,1.070315651946223,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,6.0
7,P13-15,2.0,2416.0,1.591887417218543,1.1958522162615557,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,8.0
8,P13-15,5.0,1458.0,1.5390946502057614,1.1474275501307647,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,6.0
9,P13-15,6.0,4329.0,1.4887964887964888,1.065084697814295,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,6.0
10,P13-15,7.0,951.0,1.5057833859095688,1.0113660336799808,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,6.0
11,P16-18,2.0,1124.0,1.695729537366548,1.213584250702197,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,7.0
12,P16-18,3.0,3976.0,1.9522132796780685,1.2614178428952671,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,9.0
13,P16-18,4.0,1145.0,1.1851528384279475,0.9871320675334496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0
14,P16-18,6.0,1340.0,1.2940298507462686,1.0167206427659543,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,9.0
15,P16-18,1.0,928.0,1.1627155172413792,0.9953668055336726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0
16,P19-21,7.0,2034.0,1.6991150442477876,1.1558058084883416,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,7.0
17,P19-21,5.0,1682.0,1.2740784780023782,1.0222538179517922,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0
18,P19-21,3.0,2573.0,2.100660707345511,1.2172504385581902,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,7.0
19,P19-21,2.0,781.0,1.2176696542893726,0.9667525329486201,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0
20,P19-21,1.0,471.0,0.9065817409766455,0.8503936467744861,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0
21,P19-21,4.0,1097.0,1.350045578851413,1.0400653131341833,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,6.0
22,P22-24,7.0,665.0,1.1954887218045114,0.9651974532410933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0
23,P22-24,6.0,1487.0,1.371217215870881,1.0947962367611743,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,6.0
24,P22-24,5.0,477.0,1.1425576519916143,1.0293039171776062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0
25,P22-24,2.0,386.0,0.9145077720207254,0.8530750434806827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0
26,P22-24,3.0,1588.0,1.7965994962216625,1.1830832480517979,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0
27,P22-24,4.0,2541.0,1.18732782369146,1.0410533649295068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,7.0
28,P25-27,4.0,1908.0,1.2127882599580713,1.0167985907372905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0
29,P25-27,5.0,1667.0,1.749250149970006,1.1813848677271752,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,7.0
30,P25-27,6.0,81.0,0.8395061728395061,1.018047028916847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.4000000000000057,5.0
31,P25-27,3.0,737.0,1.7462686567164178,1.2077378685986633,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0
32,P25-27,7.0,543.0,1.0092081031307552,0.9380772117140306,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.580000000000041,5.0
