,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,18057.0,8377.0,8355.0,6325.0,4838.0,4982.0,478.0,104.0,214.0
mean,1.4415462147643574,1.7204249731407426,1.6560143626570916,1.3867193675889329,1.4152542372881356,1.8751505419510237,1.3054393305439331,0.9615384615384616,0.7990654205607477
std,1.091680993690531,1.2377014508589732,1.180571782676821,1.1050230625780868,1.1208507649611814,1.3809109328394655,1.0535015566454933,0.8351858920231492,0.8512895853593956
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
50%,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
75%,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.25,1.0
90%,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0
95%,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0
97.5%,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,2.674999999999983
99%,4.0,5.0,5.0,4.0,4.0,6.0,4.0,3.0,3.0
max,8.0,9.0,7.0,7.0,7.0,8.0,6.0,3.0,5.0
