,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,19.919675650162187,18.061203341149444,0.0,0.0,0.0,0.0,0.0,0.0,17.548248749106506,32.50620347394541,45.63175762618056,53.92460881934566,58.66807307428921,65.00653429183689,100.0
1,P6-12,5.0,1693.0,27.16365952982848,21.381281905400712,0.0,0.0,0.0,0.0,0.0,9.85342019543974,24.86515641855448,41.46482122260669,56.005363984674325,66.8101806239737,76.02762923351159,83.96602570174606,100.0
2,P6-12,2.0,874.0,18.680294040694772,18.44457594639921,0.0,0.0,0.0,0.0,0.0,1.9397466205976845,14.67704012641111,29.119744744744747,43.62115440656093,53.745878929162835,62.606508756211575,75.37558472987263,92.47258225324028
3,P6-12,1.0,2236.0,23.242486069010795,20.51038274800895,0.0,0.0,0.0,0.0,0.0,5.102212602212602,20.064120242691672,36.4541676268973,52.6938706061334,61.407994508175015,70.3197077328311,79.9923050988983,98.9816700610998
4,P13-15,1.0,1262.0,35.95223979755126,25.36170426022347,0.0,0.0,0.0,0.0,0.5370823900941798,16.323696726434626,32.8351420873298,52.132166799493696,72.42491960302917,85.08525875443263,92.3813054587554,98.73676470588236,100.0
5,P13-15,4.0,1284.0,19.899411068039285,19.446274857457055,0.0,0.0,0.0,0.0,0.0,0.0,16.47120038115299,32.33303665888596,48.325263625880496,58.28324882670779,64.71259842519684,72.14309014695573,99.83443708609272
6,P13-15,3.0,1079.0,23.128505506001247,21.20211818761402,0.0,0.0,0.0,0.0,0.0,3.450390529655846,19.313304721030043,36.840580440368825,52.3174571129726,64.38060731538991,71.98969507929102,80.99811482235381,99.87562189054728
7,P13-15,2.0,2416.0,25.315385757642904,21.47159493730489,0.0,0.0,0.0,0.0,0.0,6.344869218838127,22.03618167821401,39.56118223091727,56.46551724137931,65.81076039874822,72.59296485189743,81.80541765760772,99.93315508021392
8,P13-15,5.0,1458.0,26.253891185240057,21.80187385606989,0.0,0.0,0.0,0.0,0.0,7.230682959021054,22.845905962745935,41.339342819463546,56.02926829268292,65.64872096442222,76.29699005816859,83.32512820512822,99.78021978021978
9,P13-15,6.0,4329.0,25.32485384446667,20.37546147092479,0.0,0.0,0.0,0.0,0.0,8.422174840085288,22.704918032786885,38.83572567783094,53.51112737732919,62.5060840074245,69.75169300225734,80.20781783681217,100.0
10,P13-15,7.0,951.0,23.176555092858145,19.022551234484137,0.0,0.0,0.0,0.0,0.0,7.255611431374954,20.18633540372671,34.73577002039498,50.36231884057971,59.796327886144695,67.12793412389476,74.51823538780062,100.0
11,P16-18,2.0,1124.0,27.186688310590373,22.480437339233394,0.0,0.0,0.0,0.0,0.0,8.797297117899292,23.595607127942692,40.01374885426215,57.25210347296814,69.28505689424361,83.38292525239422,92.85467637827021,99.93865030674849
12,P16-18,3.0,3976.0,32.685184207185415,22.8857491344079,0.0,0.0,0.0,0.0,0.0,14.647962656812215,30.88316064091596,48.391659510080565,63.80263157894737,73.64851690025388,82.77405727965332,91.83797909407667,100.0
13,P16-18,4.0,1145.0,21.233396701511627,20.28197793008974,0.0,0.0,0.0,0.0,0.0,0.0,17.680608365019012,34.19732441471572,50.222567287784685,59.37982914140573,69.6737514281689,79.69849012775836,90.72289156626506
14,P16-18,6.0,1340.0,22.344679399991183,19.641423430972807,0.0,0.0,0.0,0.0,0.0,4.182291666666667,20.009059466353328,34.78009019282604,50.08989313973408,58.485575455688604,66.58828305831395,77.16990059968782,100.0
15,P16-18,1.0,928.0,19.97963507782493,19.13699695007846,0.0,0.0,0.0,0.0,0.0,0.0,16.658978687258816,32.563531692920144,47.08039350975985,54.569568502091705,62.2119079991826,72.32587577714014,89.77119784656797
16,P19-21,7.0,2034.0,26.81179183669541,20.958890318291694,0.0,0.0,0.0,0.0,0.0,9.433754417625384,23.768462179750397,39.63158056640309,56.59747649486456,64.78522934047447,74.77304120224595,84.77857551694748,100.0
17,P19-21,5.0,1682.0,21.700512461470925,19.7935021138055,0.0,0.0,0.0,0.0,0.0,1.387529266914258,19.025411742519488,35.15658771446033,49.30445859872614,59.807972117735645,66.76300578034682,74.33444434594038,93.47258485639686
18,P19-21,3.0,2573.0,35.45823305122537,23.21956944598544,0.0,0.0,0.0,0.0,5.519129129010771,17.47187293183322,33.12780269058296,51.192842942345926,67.58322292364846,78.13056217311536,85.78162448162443,94.23625902927388,100.0
19,P19-21,2.0,781.0,19.476600028055746,18.537926801963547,0.0,0.0,0.0,0.0,0.0,2.2988505747126435,15.843270868824533,30.73217726396917,45.01488095238095,54.869565217391305,62.81129750529638,78.42898550724638,87.45082612116444
20,P19-21,1.0,471.0,15.701395966251042,18.141156688786207,0.0,0.0,0.0,0.0,0.0,0.0,10.06825938566553,27.631273338825473,40.77669902912621,51.33162325205714,56.72032137669835,71.40512641032213,92.65498652291105
21,P19-21,4.0,1097.0,22.73936205534391,19.48073922788711,0.0,0.0,0.0,0.0,0.0,5.126791620727674,20.40481400437637,36.231884057971016,49.26933015305108,59.35401966827044,66.91195277914407,72.44327095170509,91.68900804289544
22,P22-24,7.0,665.0,18.648066579483018,18.920396951529128,0.0,0.0,0.0,0.0,0.0,0.0,13.761467889908255,29.516876240900068,45.83409687862684,53.85088531247201,63.080747734518496,74.19849407191046,99.70414201183432
23,P22-24,6.0,1487.0,23.218158802806695,20.738804985603306,0.0,0.0,0.0,0.0,0.0,4.012577009340488,19.96587030716724,36.34383908774153,53.15698028429252,61.616865831595206,69.50424254605191,80.75797554030079,100.0
24,P22-24,5.0,477.0,19.856669007820354,19.321258669877903,0.0,0.0,0.0,0.0,0.0,0.0,16.347237880496053,34.40514469453376,46.34579492513075,57.85905813017058,63.02936113483989,72.38274712137421,87.23404255319149
25,P22-24,2.0,386.0,13.274345482710524,15.625712661594829,0.0,0.0,0.0,0.0,0.0,0.0,9.469111228093265,19.7203535669587,35.165193409500546,44.36324495082127,55.385278397345225,65.70939467312334,77.20664589823468
26,P22-24,3.0,1588.0,28.734231354783724,21.393461712437237,0.0,0.0,0.0,0.0,0.0,11.983104373382226,26.263825324180015,42.50549853372434,58.71486042290142,69.00212767050915,77.61115643668472,85.81615008488271,99.86187845303868
27,P22-24,4.0,2541.0,20.313525408545445,19.726570733342527,0.0,0.0,0.0,0.0,0.0,0.0,16.75392670157068,32.9345088161209,48.05424528301887,58.07174887892376,67.42030437012971,76.89790965317458,100.0
28,P25-27,4.0,1908.0,21.00331380546433,19.154462663524967,0.0,0.0,0.0,0.0,0.0,0.0,18.357488944840576,33.6469298245614,47.51160362032954,56.70911381312302,65.36167862076168,73.12200302513438,95.39106145251397
29,P25-27,5.0,1667.0,28.877486992378685,21.581424428012674,0.0,0.0,0.0,0.0,0.0,11.722013366750208,26.999059266227658,43.08617924071886,58.4331191888508,68.31008104908476,76.60457745564128,85.62855234490543,99.29078014184395
