,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,18057.0,8377.0,8355.0,6325.0,4838.0,4982.0,478.0,104.0,214.0
mean,23.753891229509975,28.719527582262447,27.392173937290163,22.50684242177145,23.657115992112374,31.431628851283122,20.821518300537154,15.907177099841066,13.904030150277084
std,20.351527049971523,22.552684234168268,21.73686484749747,20.32083082003355,20.8275504977542,24.014367377257056,19.709876582748265,17.237283081801106,17.177449114561924
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,5.810684161199625,9.912280701754383,9.090909090909092,4.1076487252124645,4.4058284324695975,11.688896117978747,2.154197043902349,0.0,0.0
50%,20.793650793650794,26.151012891344383,24.82758620689655,18.92285298398836,20.60964637771867,28.573996097360585,16.20058720061365,11.570577355972082,8.650503706232216
75%,37.07070707070707,43.7725631768953,41.843492701861805,35.35200605601817,37.1564092249933,48.45388193084129,33.46241311114157,24.688209743356804,23.853122043519395
90%,52.33930855430197,60.19510945164361,57.59461513560682,51.196502244185524,52.482064967860424,65.85728616914557,46.19923943390776,38.094302519502115,38.90619812417
95%,61.743093399355935,70.81607653269555,67.61547047479836,61.012407549609996,62.66395654207288,75.70176517621009,57.5959255093113,46.51120507399576,49.12057450093952
97.5%,69.85772993109555,79.37278365304705,76.7717777970586,69.62850485329257,71.72897504485269,83.28135561040438,68.59099478762334,53.61305352022936,52.915224735605136
99%,79.28644939965683,88.41111285348387,84.88118832504476,81.32994771211332,80.05645596682936,89.54001088006817,82.2721682356514,73.11702730030332,70.82171516318043
max,98.9816700610998,98.99049881235156,98.89867841409692,98.51973684210526,98.95615866388307,98.89322916666669,89.35447338618347,86.61048689138576,77.1101573676681
