,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,16072.47795318454,4694.182821171572,5728.0,7196.8,8228.800000000001,9391.2,10720.0,13124.0,15600.0,18384.0,21654.4,24015.999999999993,27279.999999999993,31565.439999999988,45280.0
1,P6-12,5.0,1693.0,18467.957471943297,6010.736248085852,4688.0,7709.4400000000005,8633.6,9966.4,11632.0,14336.0,17652.0,21920.0,26387.999999999996,29158.399999999987,32131.900000000005,35870.07999999999,51652.0
2,P6-12,2.0,874.0,26713.143020594965,5455.555611057475,9408.0,13826.24,16411.3,18022.600000000002,20163.2,23178.0,26734.0,30049.0,33262.8,35028.2,37390.79999999999,41502.799999999974,55000.0
3,P6-12,1.0,2236.0,22474.324686940967,6655.392386245094,320.0,8495.2,11562.5,13052.0,14912.0,18153.0,21938.5,25832.0,30602.0,34005.0,37560.0,42207.80000000001,58352.0
4,P13-15,1.0,1262.0,22000.506339144216,6793.924820561816,6112.0,9356.16,11082.0,12905.2,14852.4,17856.0,21224.0,24809.25,29762.800000000003,33847.000000000015,39035.999999999985,44732.160000000295,78249.0
5,P13-15,4.0,1284.0,18079.130062305296,5258.809742318856,5552.0,8151.2,9276.2,10545.8,12090.4,14704.0,17488.0,20792.0,24372.4,27397.399999999972,30335.4,34037.800000000025,55808.0
6,P13-15,3.0,1079.0,18439.975903614457,6769.503884597059,768.0,7216.32,8415.8,10059.2,11727.2,14264.0,17524.0,21174.5,25683.200000000004,30153.199999999946,34042.399999999965,41242.88000000002,75744.0
7,P13-15,2.0,2416.0,26993.27773178808,7232.574635997626,96.0,12058.800000000001,14294.0,16552.0,19456.0,22749.0,26456.0,30386.25,35122.5,39028.0,43514.0,48975.59999999999,106968.0
8,P13-15,5.0,1458.0,17184.056241426613,6038.216780165703,144.0,7097.12,8036.400000000001,9117.6,10555.2,13360.0,16384.0,20269.0,23765.2,26831.19999999997,30834.100000000006,38138.880000000005,61680.0
9,P13-15,6.0,4329.0,20080.243936243936,6278.2777881234,16.0,8448.0,9788.8,11075.2,12797.6,16008.0,19504.0,23392.0,27472.0,30707.199999999983,34492.8,39671.68000000004,61808.0
10,P13-15,7.0,951.0,21607.476340694007,7937.337322408744,80.0,6952.0,8176.0,10072.0,12768.0,16568.0,20848.0,25744.5,30752.0,35376.0,40193.75,47152.0,72400.0
11,P16-18,2.0,1124.0,26544.871886120996,7669.664228856054,3408.0,11938.4,14115.6,15840.800000000001,18186.4,21852.0,25576.0,30146.0,34802.3,39711.19999999999,44851.09999999999,52034.87999999999,74384.0
12,P16-18,3.0,3976.0,21301.396629778672,6948.771324676417,5804.0,8416.0,10057.5,11813.0,13918.0,16861.0,20416.0,24583.0,29292.0,32992.75,37440.0,44420.0,88560.0
13,P16-18,4.0,1145.0,18169.84017467249,6277.5185947813125,3440.0,8135.04,8928.6,10371.2,11948.8,14672.0,17552.0,20864.0,24192.0,27164.799999999996,31056.0,37344.31999999999,95476.0
14,P16-18,6.0,1340.0,19816.96119402985,7764.87631111707,1040.0,8196.28,9671.6,10652.8,12224.0,14940.0,18448.0,22868.0,28183.700000000004,33202.399999999994,38777.39999999997,46884.32999999988,77549.0
15,P16-18,1.0,928.0,23313.84375,8662.95746617636,192.0,8545.28,10217.2,11699.0,13595.2,17568.0,22550.0,27309.0,33089.2,37753.2,46032.499999999985,52985.80000000006,76160.0
