,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,18057.0,8377.0,8355.0,6325.0,4838.0,4982.0,478.0,104.0,214.0
mean,20618.75261671374,22076.29592933031,21941.6092160383,24009.61185770751,21838.608929309634,21819.702529104776,28265.26150627615,32736.18269230769,34079.6168224299
std,7338.664087824609,7769.787399301706,8309.13678767075,10328.806750124704,9461.319277159866,8760.959564963505,12807.054418934216,18601.22521581324,20957.879086976252
min,5184.0,5804.0,5680.0,5376.0,5248.0,5448.0,6960.0,8000.0,6784.0
1%,7910.24,8661.28,8240.0,8512.0,8080.0,7654.88,10817.44,8612.48,7394.08
2.5%,9296.0,10400.0,9885.6,10083.2,9567.4,9048.4,11873.6,9966.8,10436.8
5%,10761.6,11987.2,11328.0,11734.400000000001,11148.400000000001,10720.0,13627.2,12087.2,12727.2
10%,12512.0,13920.0,13264.0,13718.400000000001,12869.6,12561.6,15562.7,14254.4,14980.8
25%,15568.0,17008.0,16496.0,17584.0,16080.0,16160.0,19940.0,19033.0,20201.0
50%,19648.0,21040.0,20592.0,22176.0,20026.0,20350.0,25528.0,30090.0,28096.0
75%,24528.0,25664.0,25736.0,27856.0,25046.0,25648.0,32996.0,40700.0,42565.0
90%,29648.0,31108.0,31595.200000000004,35810.4,32713.600000000006,32206.40000000001,43736.0,53570.8,60240.00000000001
95%,33260.8,35420.8,36192.3,42896.0,39205.95,37751.6,50557.74999999998,61329.599999999984,72437.4
97.5%,36960.0,40489.59999999999,42709.59999999995,49696.0,45445.575,43764.325,64161.39999999997,72880.87499999997,79728.0
99%,43495.03999999998,48218.88,51418.059999999685,60136.96000000002,56764.640000000014,51016.31999999995,73048.32,97760.71999999997,86559.71
max,106968.0,129444.0,94304.0,165900.0,113860.0,90568.0,107436.0,125717.0,173392.0
