,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,0.750579001592826,0.7589050208727188,0.7599483298916866,0.7416997217481976,0.7410474305750858,0.7341584613605637,0.7548254858801529,0.7361265413131457,0.7630335435870164
std,0.11882105625931173,0.1125797735476914,0.10950033110787989,0.11326105351335962,0.11774724341778328,0.1164992692226311,0.12002433979225996,0.13144830153219692,0.14005463744322683
min,0.1539898107638523,0.0,0.163876974921621,0.1024323012029462,0.1422594898518036,0.1370559859177756,0.0782793211816259,0.1911031908488082,0.2032160859059717
1%,0.36729034298614854,0.3838813471003213,0.3954789116797118,0.3707831355876073,0.36811245501630746,0.35196605276623705,0.3548434720848042,0.3956279799703371,0.35031991761927916
2.5%,0.4472123805225204,0.46539153682023227,0.47798940185109323,0.45436655933173675,0.4377480986221771,0.44070896814205274,0.44498307766875955,0.4196906290307372,0.4181566102531981
5%,0.5139726680706669,0.5359481705158465,0.5456328247728255,0.5236995164072333,0.5110152489524048,0.5116899700536712,0.5187508365128787,0.48004329412405794,0.4707968393685298
10%,0.5888090832902377,0.6118300734281575,0.6161137411599015,0.5940628631998771,0.5840362530420744,0.5805962268183278,0.5985280651751589,0.54698119990327,0.5641754597038512
25%,0.6938693689893962,0.7072614384180966,0.7084702992390984,0.6870518998379574,0.6807422472506724,0.6759778131728991,0.6994511274946327,0.6604436640391086,0.7017633938573605
50%,0.7754913460212531,0.7825126357927892,0.7818659415766581,0.763650129193097,0.7647674661833155,0.7580542415089322,0.7796864453263073,0.7592400133055964,0.7908761604785826
75%,0.8354215480636149,0.8365514363297151,0.8363647357165284,0.8200375228434166,0.8250073319145901,0.8165236027901082,0.8395303796455006,0.8276732503554148,0.8675803164848759
90%,0.8761462861479051,0.8746689183059952,0.8744106793273783,0.8618561682607202,0.8671725494182302,0.8586617827902261,0.8792592854159454,0.885416895656725,0.9109407798130815
95%,0.8944674117397515,0.8951942556715318,0.8939069875031662,0.8840259382500778,0.8894095253979701,0.878354269552432,0.9005244260135374,0.9165972954022943,0.9310005859078042
97.5%,0.9110692606146521,0.9106084745510934,0.9089531721933755,0.900989381469129,0.9046475206006096,0.8933147921204354,0.915168057339922,0.9388847097113906,0.9598211471841374
99%,0.9282518263962377,0.9271498237506562,0.9229679429153871,0.9189434019658136,0.9204142764091705,0.9114145152546383,0.9309427951194819,0.9579390826322747,0.965253131027023
max,0.9863678649534636,0.9912825512299892,0.9832042626630468,0.9988307058471296,0.9963824119739428,0.9761110253589688,0.9943014796354172,0.9838586191517208,0.9934240946338508
