,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,18057.0,8377.0,8355.0,6325.0,4838.0,4982.0,478.0,104.0,214.0
mean,0.35375749985075994,0.3917894585553828,0.35606784056426255,0.3237685105721411,0.3331294593649773,0.30130771832401926,0.30086360250260663,0.23801447931775607,0.21808664688827453
std,0.14304795199525575,0.15330256808481593,0.1342143487725413,0.1481078928609186,0.1409237897597297,0.14644621717135964,0.13770828922904635,0.121463208985102,0.11869055493141933
min,0.0150606548413634,0.0035706111229956,0.011123826727271,0.0040894178673624,0.0030518043786287,0.0049439230933785,0.0121766999363899,0.0032806897070258,0.0037384603638201
1%,0.13526634693145748,0.144079350233078,0.1343547716736793,0.10538124769926067,0.11238040789961813,0.06197711199522018,0.1039198891818523,0.004575722916051742,0.005443961443379465
2.5%,0.1546074569225311,0.1672938078641891,0.15515449941158294,0.1327077150344848,0.1357888896018266,0.09901121351867907,0.12184100225567815,0.07549133971333499,0.021581216994672952
5%,0.1739650547504425,0.191219961643219,0.17528954297304153,0.1503837645053863,0.15276187658309934,0.13127564787864676,0.14176851585507394,0.12160143516957757,0.10778515338897703
10%,0.199560534954071,0.22034943699836732,0.2033783435821533,0.17277485430240633,0.17400930523872377,0.15710994303226472,0.1650537878274917,0.14080109447240827,0.12380102053284643
25%,0.2545052170753479,0.2784924209117889,0.26189821958541865,0.2157167941331863,0.22219043970108032,0.1976501047611236,0.1981841772794723,0.1669947318732738,0.1586327850818634
50%,0.3273670673370361,0.3648737370967865,0.337499052286148,0.2888532876968384,0.3079575896263122,0.26244753599166865,0.2550545483827591,0.2126802504062652,0.19562829285860056
75%,0.4208285510540008,0.4747234284877777,0.4257877469062805,0.3981231451034546,0.42583733797073364,0.38041505217552185,0.39043640345335,0.2505912780761719,0.2448462694883346
90%,0.5459067821502684,0.6046662211418152,0.5346761345863342,0.5274921774864199,0.5306767463684082,0.5020248949527745,0.4994704991579056,0.4182238519191742,0.3204180896282197
95%,0.6396368503570559,0.6860700607299804,0.6130067944526668,0.6108521938323974,0.5918845176696776,0.5846929281949994,0.5548462629318237,0.4956794053316116,0.4786556899547576
97.5%,0.7181902885437011,0.7666925907135009,0.6796551465988159,0.6998199343681333,0.6470409154891967,0.661765444278717,0.6110295951366422,0.5999481260776519,0.6148588702082634
99%,0.8125313186645504,0.8433795738220213,0.764929285049438,0.8020972251892099,0.7133571380376823,0.7584161156415932,0.6812892377376558,0.626389992237091,0.6648221653699876
max,1.0,1.0,1.0,1.0,1.0,1.0,0.8830090761184692,0.6536354422569275,0.7430990934371948
