,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,0.13638442914977408,0.12102946433622092,0.11922360061445185,0.12612909903373684,0.10972170582476659,0.10186403132430062,0.07772190705957592,0.09319748839914718,0.05567840329425909
std,0.04345777259633251,0.05356869675493558,0.048137710782516434,0.055005475831488064,0.05102573151507582,0.04415089306969515,0.0474220596680792,0.05058550240797267,0.03883766209936254
min,0.0033135154240402,0.0032921713406852,0.0028820067010555,0.002985109358801,0.0026684482310675,0.0022751096881399,0.0023960348854927,0.0022541077975289,0.0022562327621845
1%,0.062352157743192776,0.04663122444319225,0.04740113798332241,0.04564309003203953,0.030966237004999442,0.03111402429022051,0.02158018366579425,0.002565477642526794,0.002622571147411099
2.5%,0.0704931151186218,0.053414298060545706,0.054060906707815756,0.05289627750624727,0.04098959502417969,0.04065633838336353,0.027667391573462086,0.0033110845706483755,0.0027222307388996975
5%,0.07851491824158512,0.0598096963901377,0.0609661379636693,0.05910831304179612,0.047763044762628215,0.04789270892284945,0.03474020993171052,0.01944513276838898,0.0041851873957573105
10%,0.08847481080407549,0.06790588064994477,0.07013066242900344,0.06914619594750473,0.056058413573671716,0.05557491265127655,0.04308543344143395,0.03564902939803124,0.019289779816260063
25%,0.10571849085433435,0.0851849513374307,0.087698221186588,0.0878655541954734,0.07237263795242938,0.06926232347043403,0.0543652097198789,0.05180429261341605,0.0361804003760929
50%,0.12979425340631245,0.1112981763160542,0.1112376686226396,0.11550564246467745,0.09976870764585641,0.09294027908953764,0.06761993443121675,0.09166164560810974,0.04879300242451355
75%,0.15959282430259214,0.1425296047515064,0.1396424069243623,0.1517351766677439,0.13816369775461285,0.1271472530503811,0.0844834452357336,0.12475656805265327,0.06756140045649654
90%,0.19453965007316168,0.1846487897630156,0.17679526175948687,0.19868216408790104,0.176680905894149,0.16353841948346184,0.11612312918178999,0.1548400289478601,0.08993065164687138
95%,0.2155190397843121,0.22184772714106774,0.20589128700362397,0.23155981042233348,0.2036765843851403,0.18583575251124781,0.16584087850353296,0.1762823325681801,0.12105808967579133
97.5%,0.2339784848245061,0.2592415943589532,0.23407999339726177,0.2584272601652341,0.23140683395234304,0.20774646831561158,0.21449938878334968,0.20801662198877333,0.1693665326903115
99%,0.25874828111087556,0.2923502897958488,0.26958580858668035,0.2939829201717048,0.26643312368760397,0.23440671366905733,0.27316072073101005,0.2370711850413635,0.20887012911077965
max,0.5390683590514647,0.7912937594231472,0.8423412415293493,0.7610045080706731,0.6328331731382033,0.3639941941241266,0.8076621672362014,0.2813109649554302,0.2835068601680893
