,AllGroups,Replicate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-10,7,939.0,59027.09654543167,20677.45587760248,2648.347932725999,26448.794245429424,30308.723773021487,33479.22748092555,37610.807757239,45619.430973932154,57106.85237977194,68649.05991766468,79497.4453279808,88465.50516761403,97393.49652570637,146728.8250441455,210109.55975750575
1,P6-10,3,2256.0,28078.208180429287,10136.026137343679,2271.678206220707,11211.50186091966,13266.16099581736,14774.556207904192,16629.111892675835,20941.31305487982,26730.26523035424,33996.05528595105,40770.36309553103,46403.6990380622,51387.48304228456,57313.58689383843,105267.587890625
2,P6-10,5,3092.0,27082.615029433808,8564.903594056643,7621.880274936061,12230.042872350308,13748.189044359411,15639.031638634046,17456.902361072425,21072.821749283943,26147.81676905542,31867.787148560394,37543.35336393878,41508.138099905664,44626.31122957516,51297.95442278278,93901.76603701826
3,P6-10,6,4270.0,22874.36203282326,7111.2514031142955,4924.523867013373,9939.471148354627,11668.065851500503,13072.62138854418,14853.201473777804,17885.56173065545,21913.747168418842,26975.992472889822,32101.214869305386,35706.67635516311,38707.62411221591,42012.044251507294,83717.62468882705
4,P6-10,2,2212.0,30217.477747469817,7817.8756251976765,5720.960420971074,16420.748498196575,18050.19930166391,19774.311716886772,21678.543163628132,25079.163589987304,29069.307842722636,34183.93578165212,39445.046439377336,43809.7693265994,50311.98623023793,56665.09498049683,77033.73711057482
5,P6-10,4,3078.0,38521.37088613919,12175.994055272566,5883.001081081081,12780.885633436446,16701.07532737561,20324.983050926337,24107.872488091925,30468.822323486238,37608.729171773855,45682.82652394412,54129.56087609544,59744.124995780076,64279.43430559382,69880.88598908402,115583.02612704918
6,P6-10,1,2210.0,38049.96282360764,12844.060163368616,2612.2627314814813,15371.087139423076,18809.231954425763,20861.573751552,23487.693423930188,28345.89878089403,35797.28623358764,46345.82468868284,55842.0502835417,61713.84888505615,66387.82532885578,72289.03521384796,116111.01607142856
7,P11-13,1,1233.0,32858.245974204954,11693.270421245521,4148.153592139175,10775.13850558088,14553.182031166285,17249.39170605098,20432.27357298072,24728.12824561404,31489.61449934981,38989.03376436781,48126.68190098167,54328.7116757787,59358.59622678298,66177.29559525377,118082.72759529602
8,P11-13,6,1315.0,21679.932840328132,6712.255765302072,1111.3131115459882,8926.481503336125,10818.912064180353,12236.213383904409,13926.196949138253,17083.62078033482,20902.056655290104,25535.860443505167,30675.353256854098,34046.83707601106,36811.98508674313,40568.27279737663,54097.521205357145
9,P11-13,4,1126.0,36259.78781948875,15605.814050353227,1980.609231639365,10208.100957352377,13660.06015003179,18128.984436674684,22712.33549259835,28591.362840553073,34625.80134692523,42242.21645152248,50512.171321949725,55372.78178557478,60572.61831140569,65936.87963737312,308517.34696641384
10,P11-13,3,2727.0,30536.357583168585,13697.153289168957,9041.143341064451,12173.184933023836,14118.116444166079,15413.569127784729,17437.492144477834,21409.622000591018,27157.103301186944,35523.76697963804,48446.931697297536,57945.49608444299,68347.01251685235,77679.11099074718,130223.125
11,P11-13,2,1055.0,35027.89399116091,9800.679893512373,3061.2286658653848,17478.86765039254,20331.800758127734,21788.607249780725,23905.133302559894,28744.160366333985,33416.14680232558,39954.61588678218,47673.19919641868,53605.13874261576,57851.79412344239,65682.29054550422,92140.94576116682
12,P11-13,7,921.0,49548.406950635,16393.965487260986,9865.600920559154,19922.674870371648,24508.76977428852,27676.43606557377,31556.577646239555,37744.904176424665,47294.35940947437,58501.973910751934,70753.3189121907,77882.73254032258,86915.34040178571,99184.3549561393,151288.02998046874
13,P14-16,4,1073.0,30937.958009327715,10468.069967980284,2242.6876521487625,9491.411304751688,14410.444771172884,16522.87309104926,19023.893097482367,23871.55589388935,29599.1846946284,36631.6015645203,45005.44230609385,49684.441170262464,53629.325320487034,61456.76397111144,90521.45774291498
14,P14-16,1,907.0,34994.30769427132,12706.536425300481,2027.351789871944,9501.375186592179,12878.43650268508,16797.886861743616,20630.662731941196,26455.377212787767,33447.19760805555,42355.96056352711,52268.17073121895,57672.16532375705,63582.27911773091,68340.57097427465,90565.31097931872
15,P14-16,2,1114.0,29438.202292571685,8214.766601850883,10813.67676132279,14806.044570144972,17103.270548356264,18864.34643774539,20632.167786266364,24075.35057306364,28282.122441384614,33477.84943022303,39338.47123133333,44282.2284027051,49964.05078104421,55012.51502680194,108461.44001182032
16,P14-16,7,1092.0,43338.57087962126,15770.27713608794,2418.401756007394,18669.053365761774,22228.711438356182,24925.59458376615,27262.04323278448,32870.114011129575,40363.150419370766,51011.617807669674,62787.714532421225,69755.1820016455,75325.11367831877,84078.02190141946,214727.83319161
17,P14-16,5,1641.0,20537.108893753015,6499.413249986368,3194.156494140625,8448.47641201319,10479.77205882353,11895.844253220612,13335.667865811372,15902.762825572216,19684.522145669293,24105.57766497462,29609.46248164464,33384.89581124072,36499.76984421365,38248.39275600115,45584.46415441176
18,P14-16,3,2528.0,27390.047930521527,8791.86912496705,6486.061171858882,11716.842285967978,13685.413359689945,15568.258423218636,17611.76721970943,21382.82520185805,26528.005609182772,32158.80069328784,37909.59994775946,41916.53911869556,46303.01913370437,51845.04538312951,113471.68015546411
19,P17-19,6,1437.0,18523.404610344445,6294.450564603511,1040.2761879049676,6396.60582893603,8366.50178349064,9676.915520865647,11533.994272036703,14292.67497972425,17689.147409805737,21775.789709517925,26877.68250646149,30267.230021786494,33980.90217335627,37149.30413793805,50063.11044034091
