,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,18057.0,8377.0,8355.0,6325.0,4838.0,4982.0,478.0,104.0,214.0
mean,31549.2114452836,32913.096352808985,29682.774343529756,25838.736023235368,27458.154353638132,24275.118422824227,21566.36961132267,13867.146224724092,14692.98534447066
std,13716.715632756921,14720.872561918422,12263.211988314373,12839.213677654881,12997.117213065858,13662.759464471523,10425.485647790527,7221.489849814773,9236.943748149815
min,2271.678206220707,1111.3131115459882,2027.351789871944,1040.2761879049676,1005.6018093049972,1015.0523908857508,1929.7556330472105,946.4670009328358,1028.5761010964504
1%,11474.538405352292,10972.325392988361,10485.971067585511,7311.5222855889615,7616.227874897986,5324.485251387723,5711.2310256748315,1039.7597118508427,1100.7026289876026
2.5%,13593.538668480227,13452.212184536113,12676.273267980208,9268.430293259678,10075.817820647075,6712.678685922922,7651.5621604828175,3780.2043213544453,1546.349224864539
5%,15381.185177912845,15235.175630970432,14445.606888132297,10997.681574388711,11780.09629233177,8694.988033877868,9585.239124391717,5542.735032913541,4789.4322364751815
10%,17635.809891631317,17758.479153829914,16730.466533041435,13203.962824608574,13799.508596901374,11139.76200110439,11276.381458261645,7446.0787449769305,7700.02384469421
25%,22309.048085387323,22807.521308225965,21413.45920586851,17097.664703647417,17605.997681244404,15291.75562940174,14123.911367631981,9559.923411751624,9360.356252053538
50%,28809.90171755725,30273.931826320502,27648.18787276342,23066.36976816555,24491.117694345434,20636.89652885432,18835.94484767904,11485.01760930645,12587.211854580844
75%,37529.830086883405,39918.372682416266,35362.85862199579,31775.915371250918,35249.99959368878,30371.280079190405,27245.768766102814,15855.788546030177,17247.281295803623
90%,49213.5397516334,51595.605449436145,44958.205145686,41851.13827361033,45771.17285299581,41863.81190002243,35073.19167182992,23634.85694401755,23836.602218109052
95%,57827.36836986234,59579.67351835352,52267.49423146714,49472.030592916126,52242.8339771222,50123.92191559956,40909.98547530089,29456.55140338475,29865.30823013916
97.5%,65886.59788331004,68261.08638806861,59894.42671880348,57707.87833558495,59131.30946567462,57882.100339955956,45924.82368487219,33900.0112080775,40531.904764223094
99%,75496.88580837681,77716.10800652835,68293.86980295456,69130.41629933313,65128.917693735675,69163.78164663192,59463.634193343445,36024.91569608747,48748.39370647258
max,210109.55975750575,308517.34696641384,214727.83319161,170509.92109728506,106426.68349358976,182723.94896673388,64856.6709453822,36340.28397385103,79587.36846689896
