,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,0.009708649307876462,0.008581870328132062,0.008328835994532898,0.008763091395071887,0.008235014846531701,0.008445998565939083,0.006610827305973766,0.00670178647516339,0.0056520045060370495
std,0.0035878501235835467,0.004040470566071629,0.005382569712097753,0.003916553833915164,0.003749460073084626,0.003471667398782112,0.003159039345686722,0.0034804905643658437,0.003302644671765596
min,0.0026092927437275,0.0022430762182921,0.0022430762182921,0.0022735942620784,0.0021515220869332,0.0018768596928566,0.0018616006709635,0.0018463416490703,0.001815823605284
1%,0.003637598229106448,0.0034180209040641,0.0032654306851327,0.0033264667727053,0.0029973296704701763,0.0031128404662013,0.0028381780721247,0.002026550697628392,0.0021057450212538
2.5%,0.0039978637360036,0.0037537193857133,0.0036316472105681,0.003723201341927,0.0032501716632395,0.00345426108106035,0.00314908064319745,0.0023281452653463376,0.0022056916146538322
5%,0.0044708936475217,0.0041351951658725,0.0040283817797899,0.0041657132096588,0.0036011291667819,0.0039673456922173,0.0035057602799497,0.002717631799168815,0.002297245746012705
10%,0.005430685915052851,0.0046692606993019,0.0046540019102394,0.0048676282167434,0.0042572673410177,0.0046845199540257,0.0039520869031548,0.0030380712589248198,0.0028534370940178
25%,0.0072480356320738,0.0060578319244086,0.0059205004945397,0.0062561989761888,0.0056153200566768,0.0060120546258986,0.004928664304316,0.0040131229907274,0.003616388188675
50%,0.0093232626095414,0.007797360420227,0.0076447702012956,0.0080720223486423,0.0075379568152129,0.0077363243326544,0.0060578319244086,0.0061417564284056,0.0048294805455952
75%,0.0117189288139343,0.0101014729589223,0.009842068888247,0.0104219121858477,0.010120546445250424,0.0102998400107026,0.007370107807219,0.008472571847960275,0.0065880827605723745
90%,0.0142519269138574,0.0131685361266136,0.0124361030757427,0.013325703795999233,0.0129091329872608,0.0129091329872608,0.0095216296613216,0.011210803594440192,0.00906080761924384
95%,0.015778591111302313,0.0155031662434339,0.014364843256771535,0.0152742806822061,0.0148775465786457,0.014805066399276225,0.011509117670357226,0.012561989761888907,0.011968413973227076
97.5%,0.0177767612040042,0.018066681921482,0.016437019035220084,0.01733539327979077,0.017020294489338932,0.016903181793168125,0.0142366671934723,0.015080872690305079,0.01519188219681376
99%,0.02002655059099188,0.021662622578442044,0.01919401802122589,0.020998702943324912,0.01967757649719712,0.019687953684478912,0.017887389287352538,0.018916303794830995,0.019052568152546714
max,0.0513008311390876,0.0956893265247345,0.2302128672599792,0.073014423251152,0.0578316934406757,0.0274052042514085,0.070664532482624,0.0216983295977115,0.0236209668219089
