,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,0.14752313554708765,0.37415207714742943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
1,P6-12,5.0,1693.0,0.16479621972829298,0.40462884278216377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0
2,P6-12,2.0,874.0,0.07437070938215103,0.2711096874813433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
3,P6-12,1.0,2236.0,0.13506261180679785,0.355972431400149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
4,P13-15,1.0,1262.0,0.14183835182250396,0.3689053346521182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
5,P13-15,4.0,1284.0,0.14641744548286603,0.3687664764399342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
6,P13-15,3.0,1079.0,0.1371640407784986,0.35998830372256835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
7,P13-15,2.0,2416.0,0.10140728476821192,0.3113818897357372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
8,P13-15,5.0,1458.0,0.20713305898491083,0.43950884812676266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
9,P13-15,6.0,4329.0,0.17094017094017094,0.40374410873513145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
10,P13-15,7.0,951.0,0.10199789695057834,0.3164044779704975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
11,P16-18,2.0,1124.0,0.0898576512455516,0.2952946175473711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
12,P16-18,3.0,3976.0,0.16247484909456741,0.395903948545845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
13,P16-18,4.0,1145.0,0.15807860262008733,0.3948839930183313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
14,P16-18,6.0,1340.0,0.15223880597014924,0.3716455983471233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
15,P16-18,1.0,928.0,0.11206896551724138,0.3322714925376382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
16,P19-21,7.0,2034.0,0.07423795476892822,0.27143935886948767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
17,P19-21,5.0,1682.0,0.1450653983353151,0.3783272324697066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0
18,P19-21,3.0,2573.0,0.16245627671978236,0.39930600582432507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0
19,P19-21,2.0,781.0,0.06274007682458387,0.24787749309708748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
20,P19-21,1.0,471.0,0.07643312101910828,0.2659723535597466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
21,P19-21,4.0,1097.0,0.105742935278031,0.31642076115674095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
22,P22-24,7.0,665.0,0.05263157894736842,0.22346496024902776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
23,P22-24,6.0,1487.0,0.10759919300605246,0.3268843592665918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
24,P22-24,5.0,477.0,0.12578616352201258,0.331956354668484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
25,P22-24,2.0,386.0,0.03367875647668394,0.180635071351291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
26,P22-24,3.0,1588.0,0.11397984886649874,0.3257192587344202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
27,P22-24,4.0,2541.0,0.10901219992129083,0.31920399311597286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
28,P25-27,4.0,1908.0,0.09538784067085954,0.3008809064614246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
29,P25-27,5.0,1667.0,0.10377924415116976,0.3185408949849606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
30,P25-27,6.0,81.0,0.08641975308641975,0.2827335699999883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
31,P25-27,3.0,737.0,0.07598371777476255,0.2702276410647114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0
32,P25-27,7.0,543.0,0.06629834254143646,0.24903229561492699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
33,P28-31,7.0,303.0,0.0231023102310231,0.1504769880581164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34,P28-31,5.0,2110.0,0.2729857819905213,0.5274630360705824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0
35,P28-31,6.0,1083.0,0.12003693444136658,0.3471499999702121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0
36,P32-35,6.0,15.0,0.06666666666666667,0.25819888974716115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999893,0.6500000000000004,0.8599999999999994,1.0
37,P32-35,7.0,226.0,0.030973451327433628,0.17363033325248423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
