,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,0.13810240963855422,0.14860317708740903,0.1451897098555151,0.11738828432507525,0.10162374020156775,0.0919773095623987,0.20394736842105263,0.028795811518324606,0.0410958904109589
std,0.3653875641743132,0.3770703859591291,0.374301592527385,0.3411102088215413,0.3104014111842783,0.29731738845030237,0.46373045002062846,0.16745153310858588,0.19885280362324903
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90%,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
95%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
97.5%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
max,3.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0
