,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1837.0,0.7649491196083255,2.385452882053557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.527945851707521,5.959580547618384,8.696457326892109,12.392353643966542,19.68503937007874
1,P6-12,5.0,1693.0,0.8718032885735054,2.608812653871218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.149700222870954,6.547744109581562,9.513095569796604,12.451996763291886,25.355450236966824
2,P6-12,2.0,874.0,0.4250398992095922,1.9701414665724433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.785925925925905,6.118875086266382,10.05709037090889,26.57894736842105
3,P6-12,1.0,2236.0,0.5923079282047922,1.8893505391379641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1257689678742313,4.66869918699187,7.046442818173818,9.19286124376942,19.193548387096776
4,P13-15,1.0,1262.0,0.597726428886269,1.9763519457331888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1424194536717542,4.437704657905747,6.210211156634087,9.23665620094193,22.305389221556887
5,P13-15,4.0,1284.0,0.7989487729134979,2.3845808822236454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942515558467084,6.595966167859462,8.763057525993585,10.809569475617225,23.30827067669173
6,P13-15,3.0,1079.0,0.6435986281275171,2.2128096672054296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908503262334049,4.0954915428968715,8.014003776897093,12.77842069434991,19.21824104234528
7,P13-15,2.0,2416.0,0.4449286002010332,1.7847955348874178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6152751710359025,3.175151275980005,5.4578218434709305,9.962025316455673,20.081967213114755
8,P13-15,5.0,1458.0,1.0715976406870813,2.757308243070359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.561747627814757,7.079934907066107,9.587136027814001,13.577514372456573,20.631067961165048
9,P13-15,6.0,4329.0,0.8167617183564562,2.383838219506976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.245574646089856,5.969372584002345,8.464102302486147,11.38996138996139,28.286852589641438
10,P13-15,7.0,951.0,0.4742483205450681,1.7460728363854872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4504504504504504,4.368044515103339,6.603087787316532,9.10575732302171,13.817663817663815
11,P16-18,2.0,1124.0,0.40343920150913404,1.5439333475536308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18059855521155938,2.962267896132945,6.258297424312132,8.438644267996581,13.223140495867767
12,P16-18,3.0,3976.0,0.7187054918142359,2.1683259705836626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73646873357856,5.202014164898545,7.201535880227155,10.87544072899393,19.25925925925926
13,P16-18,4.0,1145.0,0.8186260186900917,2.490785646139118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0885544115610175,5.624372999570054,8.144522144522135,12.4490405435675,21.4
14,P16-18,6.0,1340.0,0.753490741286728,2.199345162263967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0049435293940636,6.107978330460477,8.62672686875797,10.403849893058519,19.444444444444443
15,P16-18,1.0,928.0,0.5858096808533607,1.9880467186505295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.283398860627473,4.8859147975737045,7.0061896605418825,11.344076975655932,15.0
16,P19-21,7.0,2034.0,0.3007782636057927,1.2844475654389869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.317355839121305,4.620688985552275,7.428069360239573,12.871287128712872
17,P19-21,5.0,1682.0,0.7177619908941891,2.291018027491009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.621137712297936,5.109489051094891,7.959070796460157,11.706618453662713,20.689655172413797
18,P19-21,3.0,2573.0,0.8012469119577442,2.3532155566053996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2161862319249357,6.012572414643166,8.466686148451194,11.755014531421267,20.973782771535586
19,P19-21,2.0,781.0,0.2648213975343377,1.371747517686099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3966480446927374,4.154686601495112,6.793944491169066,18.23308270676692
20,P19-21,1.0,471.0,0.36988655074493504,1.4961485565027188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.969005338272143,5.941766080432911,8.17825896762905,12.84829721362229
21,P19-21,4.0,1097.0,0.5120802995135367,1.9435720116612678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9616688003614707,3.895063746322331,5.944788979748625,10.238095238095205,20.323741007194243
22,P22-24,7.0,665.0,0.25470499652862727,1.2817357022697593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6925599276345504,4.057802761823291,6.313033918198166,14.006514657980455
23,P22-24,6.0,1487.0,0.5214154137723401,2.0290721619874126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7876797531969955,3.711258748024645,7.205895931222683,9.777360066833753,24.822695035460992
24,P22-24,5.0,477.0,0.4970241415183712,1.7173356889022726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1159781206919563,3.294253871761467,7.293785310734462,9.446357615894046,10.982658959537572
25,P22-24,2.0,386.0,0.12334478431138463,0.8507754197983961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2453952661218612,4.072173913043423,9.2
26,P22-24,3.0,1588.0,0.5304029028290191,1.8706084137858334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1904761904761905,4.170661537449852,7.436736770691996,9.813280525634996,16.847826086956523
27,P22-24,4.0,2541.0,0.5188098710789041,1.8852064373494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2237762237762235,4.123711340206185,6.372632838883427,10.30557162136109,21.747967479674795
28,P25-27,4.0,1908.0,0.49114936635756967,1.880201748362605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5212412967798085,3.4136549891099675,6.603760330578512,10.522430520923097,22.71186440677966
29,P25-27,5.0,1667.0,0.5223493529139741,1.9554237521052946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196607651355723,3.794002607561898,7.196258992805754,10.327886560029413,20.58823529411765
30,P25-27,6.0,81.0,0.40606099303353743,1.5170600933118779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4545454545454546,4.849498327759197,6.1254524600420215,10.30640668523677
31,P25-27,3.0,737.0,0.3089243042509485,1.3244912071101216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.430145751866326,4.111633047803268,6.0554164398475745,14.908256880733944
32,P25-27,7.0,543.0,0.24734435746029626,1.2123400290948292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3324952859836536,3.271472392638029,6.963207731143474,12.588652482269504
33,P28-31,7.0,303.0,0.11065036550714459,0.8021070613377326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9872483221476624,8.487084870848708
34,P28-31,5.0,2110.0,1.2398312890637035,3.054141861463165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38074064201898555,4.580252587826226,7.589255512781276,10.354890207170556,14.557532057764652,27.55905511811024
35,P28-31,6.0,1083.0,0.5181611984818418,1.9079828636669072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9820432545251742,3.922454006045433,6.993567251461994,9.905522682445772,19.16058394160584
36,P32-35,6.0,15.0,0.24390243902439027,0.9446300844408332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0975609756097522,2.3780487804878065,3.146341463414632,3.658536585365854
37,P32-35,7.0,226.0,0.10823333431849824,0.7655786155439122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6373546806011261,3.6353819079398457,7.8671328671328675
38,P32-35,5.0,141.0,0.03855946039031246,0.24152312416837696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3194986644750359,1.219998320409818,2.287581699346405
39,Doxo,5.0,75.0,0.15989743692137717,0.6734088941181104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8989649681528591,2.724980407523505,3.29153605015674,3.29153605015674
40,Doxo,7.0,42.0,0.20684610612668164,0.9583582738944765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3318345323741054,4.5105385961501,5.27027027027027
41,Doxo,6.0,175.0,0.10759967573955781,0.6903125746082573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5504891684137023,2.837472567158363,7.510729613733906
