,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,6640.0,12779.0,8513.0,8638.0,7144.0,4936.0,3496.0,382.0,292.0
mean,0.6893162499473702,0.7120066035868152,0.6815076314467235,0.5584002230570753,0.47452279357830934,0.446261244142513,0.9184037925139915,0.087843335226127,0.1353074913727621
std,2.2456055063468305,2.2424258684089318,2.133178163260755,1.9693070474174932,1.8163231990743482,1.7683869415127513,2.641946620233153,0.6343945032673747,0.7287070884183232
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90%,2.272727272727273,2.476780185758514,2.4777676523269347,1.3253824063763704,0.6645625032831927,0.2886008895404041,3.297428165502044,0.0,0.0
95%,5.249949313193756,5.286554621848727,5.212597327945095,4.411764705882353,3.616920915295062,3.2973765135498754,6.371897649901165,0.0,0.06716417910447589
97.5%,8.058717097405998,7.906581215388538,7.534420042458597,7.0801686293638,6.461321821158505,6.370427381383556,9.408599585194233,0.6493380456650558,2.5946930473372745
99%,11.4,11.35443297699898,10.641123230447873,10.209961423593818,9.598341266828228,9.539837100501648,13.23199718706051,2.548063127690097,3.4477403992299034
max,26.57894736842105,28.286852589641438,21.4,20.973782771535586,24.822695035460992,22.71186440677966,27.55905511811024,7.8671328671328675,7.510729613733906
