,Number_Object_Number,AreaShape_Area,AreaShape_EquivalentDiameter,Nuclei_AreaShape_Area,Nuclei_AreaShape_Eccentricity,Cell_Nuclei_Area_Ratio,Nuclei_Intensity_MinIntensity_DAPI_MAX,Nuclei_Intensity_MeanIntensity_DAPI_MAX,Nuclei_Intensity_MaxIntensity_DAPI_MAX,Intensity_MeanIntensity_LAMP1_MAX,Intensity_MeanIntensity_MitoTracker_MAX,Neighbors_NumberOfNeighbors_5,Neighbors_PercentTouching_5,Nuclei_Neighbors_NumberOfNeighbors_1,Nuclei_Neighbors_PercentTouching_1,Children_Lysosomes_Count,Children_Mitochondria_Count
count,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0,52820.0
mean,6.852574782279439,92574.15123059448,325.6769507925782,21506.699394168874,0.7500730632826182,4.4995843291487265,0.008492511011276906,0.1167533103035,0.3523327384662581,0.03178141649418222,0.012077267014620316,1.5410261264672473,25.700877127978803,0.13218477849299506,0.6281232453376837,211.12012495266944,97.93233623627414
std,5.216378631646135,70725.59630715722,108.64537432414282,8399.890221741596,0.11525734583947582,47.0195173810113,0.004134647647168059,0.05225597847621215,0.1474322052921802,0.019422661326682775,0.0051187519429095945,1.1824596410139374,21.846142673341834,0.35999325458848497,2.1077393614122637,170.2397442160542,88.13207828530857
min,1.0,9216.0,108.3244000411692,16.0,0.0,1.024442462087422,0.001815823605284,0.0022541077975289,0.0027466239407658,0.0020955470913881,0.0027343598154817,0.0,0.0,0.0,0.0,1.0,1.0
1%,1.0,19520.0,157.65035969901996,8016.0,0.37308409900810724,1.611411682028323,0.0031433585099875,0.034689312390577064,0.11648081511259073,0.0056430215924565,0.004411331583162185,0.0,0.0,0.0,0.0,31.0,10.0
2.5%,1.0,23616.0,173.40364785224563,9509.7,0.4543291766170053,1.8234711668833408,0.0035248340573161,0.04494490080209887,0.145166328549385,0.007340309042180063,0.0049172966922887695,0.0,0.0,0.0,0.0,43.0,14.0
5%,1.0,28107.600000000002,189.17639332952353,11040.0,0.5240228414425844,2.034691933600107,0.0039520869031548,0.052516827583264494,0.16507057249546048,0.009297128422557095,0.00557639298748255,0.0,0.0,0.0,0.0,55.0,19.0
10%,2.0,34318.8,209.03600926068972,12904.0,0.5969931708193815,2.296835609243698,0.004577706567943,0.061632528807450765,0.1907835453748703,0.01192483700237583,0.0065474255935066405,0.0,0.0,0.0,0.0,72.0,27.0
25%,3.0,48991.0,249.75443643032253,16144.0,0.6947541210222998,2.8226116324551747,0.005951018538326,0.08027384438090833,0.2448462694883346,0.01794621751390065,0.00853105184206075,1.0,6.725321777890148,0.0,0.0,106.0,44.0
50%,6.0,73710.0,306.35026819827533,20272.0,0.7735912045071577,3.6399681124176517,0.0077821011655032,0.1083516683982288,0.3277180194854736,0.02757532620818675,0.011290852244322951,1.0,22.593930298906706,0.0,0.0,165.0,74.0
75%,9.0,113089.0,379.4593349307813,25236.0,0.8307192184671119,4.816666726650855,0.01023880392313,0.14170302560478198,0.4307164251804352,0.0410477798084009,0.014643940227106226,2.0,39.81551840594394,0.0,0.0,259.0,122.0
90%,13.0,169684.1,464.8101830130521,30992.0,0.8714190126967317,6.330727342934968,0.0130464639514684,0.1825906613889619,0.5520912289619445,0.0569882136490116,0.01838354098329763,3.0,56.26434132920452,1.0,1.9230769230769231,400.0,191.0
95%,17.0,217874.94999999984,526.6944104902318,35609.34999999997,0.8920296388321949,7.532412438918291,0.0151064321398735,0.21256468072562462,0.636501109600067,0.06834017477706855,0.021099875250184884,4.0,66.7248875785461,1.0,4.838709677419355,518.0,256.0
97.5%,20.0,273722.625,590.3511416364533,41250.100000000006,0.9083563478725741,8.826717292773694,0.0172274354845285,0.24161908506171473,0.7117658376693726,0.07962131922839116,0.02402611836922335,4.0,75.92138301307932,1.0,7.489508539702708,656.0,330.0
99%,25.0,359951.72999999876,676.9820811149829,49414.86999999994,0.9248238401915337,10.829974017783291,0.02036789529025549,0.2770659365734405,0.8066123634576793,0.09566648240145352,0.027984046469189214,5.0,85.91368949451636,1.0,10.778443113772456,857.8099999999977,449.8099999999977
max,58.0,1714844.0,1477.6356769690644,275989.0,0.9988307058471296,10022.3125,0.2302128672599792,0.8423412415293493,1.0,0.6708734857930673,0.253091897039486,9.0,100.0,4.0,28.286852589641438,3032.0,1761.0
