,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4,2244.0,43165.622103386806,30865.308831013797,5900.0,9999.0,12285.7,14375.050000000001,17531.7,23962.25,34709.0,52345.5,76825.1,98647.09999999998,127173.8999999999,170708.7500000006,345924.0
1,P6-12,5,3278.0,54606.45485051861,39797.29497529795,3125.0,10965.62,13752.650000000001,17713.3,22049.7,31143.5,46030.0,66099.5,94847.90000000001,117735.94999999998,147865.2999999998,198743.71,665491.0
2,P6-12,2,1495.0,111972.05217391305,58795.32627724882,11938.0,29164.68,35400.4,42262.9,52375.0,73371.5,101789.0,138143.5,178881.20000000004,207021.69999999992,247138.94999999987,321632.11999999953,654981.0
3,P6-12,1,3068.0,75051.39374185137,53803.274726838994,5273.0,15037.51,19016.375,23683.7,30679.7,43305.25,62606.5,88923.5,130566.70000000001,165112.25,207810.39999999967,287892.91999999975,655017.0
4,P13-15,1,1896.0,82809.52742616033,66963.81311461327,4689.0,16377.0,20822.5,26143.0,33912.5,45534.25,65499.0,98009.75,146958.5,189200.0,253556.125,321626.3499999999,942132.0
5,P13-15,4,1611.0,51272.36747361887,37254.531055587206,4101.0,10653.0,13680.75,16370.0,20795.0,29191.0,42885.0,61816.5,88658.0,114090.0,135639.5,176860.2,526476.0
6,P13-15,3,1435.0,60118.04878048781,49174.74926373326,6081.0,11794.6,15064.9,18898.9,23172.4,32347.5,46826.0,70227.0,108537.60000000002,144100.19999999998,182170.59999999963,241038.40000000043,612490.0
7,P13-15,2,3831.0,110358.10963194988,73321.70914082392,9829.0,22317.6,28673.75,34721.0,44398.0,65786.5,94769.0,135310.0,189709.0,231837.5,278099.25,382608.7999999999,1164037.0
8,P13-15,5,2311.0,45205.91605365642,45630.60051689374,4547.0,9422.3,11232.5,13863.0,17075.0,24280.5,35888.0,53849.0,76523.0,102083.0,133315.5,183404.8000000004,1351581.0
9,P13-15,6,5969.0,58737.28078405093,43452.341210104096,3941.0,10988.84,14632.6,17686.8,22226.2,32376.0,48308.0,71925.0,103360.2,133903.59999999995,165246.8000000001,218753.67999999918,881562.0
10,P13-15,7,1713.0,83326.234676007,61281.12910039049,5191.0,13819.16,18143.6,23616.4,30609.8,44989.0,67716.0,101151.0,153637.8,198916.99999999968,247328.20000000007,328810.67999999935,556692.0
11,P16-18,2,1920.0,130499.26197916667,97745.38767313343,16125.0,29375.85,34956.85,39840.3,51269.3,71084.0,107728.0,156791.0,237741.10000000027,290660.64999999997,372762.6749999991,464501.2599999997,1576170.0
12,P16-18,3,5523.0,76258.38113344197,61180.56859025232,5612.0,14139.68,18725.350000000002,23063.5,29095.800000000003,42134.5,61294.0,90235.0,134834.40000000002,175955.2999999999,225249.0999999999,312981.9199999995,1050516.0
13,P16-18,4,1455.0,54266.57388316151,44517.756431455266,5924.0,11917.88,14540.7,16702.4,20738.8,30576.0,42865.0,63866.5,94076.4000000002,128859.59999999999,157411.04999999976,222689.90000000005,799255.0
14,P16-18,6,1764.0,68184.14229024944,68962.66455605654,5516.0,11694.47,14742.175,18803.0,22963.3,32495.0,48850.0,79317.25,126093.20000000001,178993.44999999995,242146.47499999977,340476.70999999996,995179.0
15,P16-18,1,1312.0,85442.6669207317,75505.90080067865,9350.0,14255.789999999999,18193.825,23350.4,29036.7,41921.75,64383.0,102158.5,163822.10000000003,214538.25,278001.5249999999,368557.1400000006,894028.0
16,P19-21,7,3799.0,118268.86654382732,104453.11948826234,6744.0,21008.02,26490.85,32766.3,42081.2,60959.5,91557.0,137485.5,212959.20000000004,290288.19999999995,384327.99999999924,565819.04,1954374.0
17,P19-21,5,2606.0,61608.47313891021,50634.72101436465,6036.0,11591.6,13921.75,16817.0,21116.0,31232.25,48193.5,74371.5,113646.0,149097.25,195525.625,274293.94999999885,647563.0
18,P19-21,3,3587.0,73181.13660440479,64913.54419769797,5990.0,13153.92,16491.95,21018.100000000002,27232.6,39060.0,57117.0,85121.5,130530.60000000002,180710.4999999999,234523.69999999995,314780.53999999986,1223577.0
19,P19-21,2,1342.0,134763.60581222057,105807.60530384658,7329.0,20426.23,27172.5,33173.75,43451.1,66519.5,106289.0,169061.0,255590.2,323211.35000000003,441445.2249999999,530832.4099999995,1093236.0
