,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,7242.0,13794.0,9361.0,9705.0,8565.0,5565.0,3283.0,701.0,548.0
mean,91697.8138635736,95153.42474989126,104553.76337998077,111462.97217928902,130207.35610040864,120756.6447439353,113884.47943953701,283248.08844507847,338912.3357664234
std,57990.910344451804,63071.69581184394,71048.18597737099,81376.34779240304,106178.3755225863,108575.85529206494,83688.37883745633,198685.86825991177,274052.3628495657
min,22816.0,22792.0,22800.0,22816.0,22800.0,22848.0,23360.0,40876.0,26120.0
1%,25902.87,26732.920000000002,28342.4,27233.28,27683.04,27373.44,30879.68,52264.0,38412.32
2.5%,28577.2,29935.3,32016.0,31753.6,32261.600000000002,30777.6,35349.6,68604.0,44298.6
5%,32160.2,33870.6,36844.0,36713.6,37033.6,34752.0,40512.4,79707.0,51965.0
10%,37873.6,39962.4,43808.0,43864.0,44640.8,40864.0,47585.0,99848.0,75580.0
25%,52045.0,53616.0,58904.0,61044.0,64836.0,57104.0,63141.5,141020.0,139988.0
50%,76486.0,78702.0,85268.0,88488.0,99892.0,87164.0,90688.0,223376.0,254975.5
75%,114283.0,116693.25,126396.0,134576.0,157268.0,142165.0,135377.5,375805.0,444677.5
90%,165012.5,170704.7,186484.0,202200.20000000004,247810.2000000002,234161.20000000007,198950.6,527992.0,781648.2
95%,200498.85,211652.34999999977,238312.0,260319.4,328025.6,322357.00000000006,261520.79999999978,657712.0,935682.5999999999
97.5%,235355.59999999992,255534.72499999992,300665.0,324035.19999999995,415512.2999999999,421963.09999999864,342046.9999999999,864853.0,1039545.5749999996
99%,293829.96,321135.36,372714.99999999895,427407.3999999996,563897.6400000011,572013.4399999988,455825.2999999998,1008243.0,1159375.2399999995
max,724084.0,1246156.0,1136256.0,1150771.0,1222038.0,1212164.0,941222.0,1187455.0,1246657.0
