,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8047.0,15364.0,10559.0,11243.0,9984.0,6418.0,3828.0,869.0,689.0
mean,0.8499790689310651,0.8528600608183987,0.8564305871566011,0.8539589518164229,0.8554873727779284,0.8387838188646016,0.8658186014146492,0.8922625102200623,0.8794328860699022
std,0.1398880794503545,0.13575356412154882,0.13316176223565573,0.1359979915781509,0.13879395121972796,0.14723245549046649,0.1278901389506813,0.11808072668451856,0.12649515901571573
min,0.114328364351492,0.1436860901503231,0.0841140475181782,0.0422261931811786,0.0902225048156467,0.1461072461328268,0.1441654201222182,0.2049833183451346,0.313075182817803
1%,0.37947851535588983,0.3882514934807849,0.4083870383626539,0.39907533480404866,0.37193860344907403,0.3582649919735177,0.4117293218829891,0.4291297696788445,0.4383686188274679
2.5%,0.4768458318825159,0.48816439610046586,0.49746392114303406,0.48741580808022683,0.48081579696543936,0.4542458270188821,0.5144367157615864,0.5440275679604158,0.5128080476746801
5%,0.5532115254500953,0.5664419811600012,0.570204340566986,0.5698409578884363,0.5642134691041888,0.5413401945971091,0.5985181448513506,0.6426286402782888,0.6087002251726354
10%,0.6494230887829685,0.6602863468990492,0.6666427302369559,0.6596938730575528,0.6579834705872109,0.624253334014328,0.6904936294878643,0.7568700647473438,0.7003813049175056
25%,0.7904291727699895,0.7939586300484629,0.8013481584247211,0.7962630083636733,0.7981163120095153,0.7694778364697914,0.8146095584805558,0.8513986111568539,0.8343425582820572
50%,0.8948332369909913,0.898396993612769,0.9001476147812478,0.8997168696843372,0.9032071373330491,0.8876967877977766,0.9098795864961189,0.9329450128518584,0.9186863366897364
75%,0.9536392268435483,0.9537506794268497,0.9547445733282727,0.954427934040001,0.9571643735386622,0.9503951013460445,0.9581635606519145,0.97187977126511,0.9717755978359288
90%,0.978511622056568,0.9773725994010017,0.9774471633773687,0.9783331027863779,0.9790265414024473,0.9768476047980659,0.9792559694914512,0.9862359195873518,0.9871332536151326
95%,0.9860843724274015,0.9847292204940945,0.9851212430580736,0.9856110545933371,0.9862111649657015,0.9850561210313287,0.9856550719272655,0.9907729982867718,0.9911217807527134
97.5%,0.9900804103889156,0.9893248188584282,0.9891092250792348,0.9899424849692087,0.9902692459887483,0.9897270456925857,0.9898114448405205,0.9931889353023661,0.9946583508115594
99%,0.9936100086974654,0.9926670419386798,0.9924383176295567,0.9934286774077348,0.9933916044807976,0.9933234225983394,0.993486618861897,0.9949725768210826,0.9963064130531931
max,0.9980291996598064,0.9985186626649106,0.9980422531681828,0.9984025021061884,0.9983292465881294,0.9979560738005854,0.9978084411711444,0.997323043659768,0.9989319322952376
