,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1797.0,271.32900414212077,68.66180528806306,170.9187178585294,175.42194819564762,181.22345425607662,188.10043691727216,197.67450292246957,221.93241887686224,256.6758792773023,306.6369088997642,363.19508759598955,404.1601436822308,441.1002651629542,487.817506951894,698.0974682554378
1,P6-12,5.0,1653.0,295.4004625316489,71.33307411710426,170.44129033974565,180.19683142658928,189.44272307707675,200.2826884873526,214.0187572954243,244.79327183036648,286.55499423157875,332.1040534578564,386.52150258403486,429.395292805189,466.9016327572524,526.9047307249787,674.2167029544089
2,P6-12,2.0,1309.0,421.1760265200776,91.19883041800064,218.5679476008852,249.812123668887,271.25717919305595,287.71831951658777,311.65823594720007,356.71062101184094,414.7587834031708,475.4910014266435,534.3441772323208,569.8319444379226,619.1719985581475,696.2500802579689,960.1731002845348
3,P6-12,1.0,2483.0,341.6392699555589,88.01253969012548,175.83898630380207,195.38653421306833,209.44369970816513,224.13939247706065,245.53748431793045,280.90975608931717,329.4171518283292,384.5646293503696,452.9691126922633,502.54843863467715,552.2450066520514,624.1639331757968,857.5355027630411
4,P13-15,1.0,1326.0,349.40198312606003,92.58667004126228,170.48610596530818,203.12948087196588,213.53066367137532,230.9320539094121,250.49501381738662,284.0379279009841,334.8673105811109,394.25507681184456,469.33699495559586,520.1827836150458,598.355011137964,655.9946515953524,849.5466259925958
5,P13-15,4.0,1324.0,289.4661389369203,70.57076122775982,170.44129033974565,179.5766690073511,189.46316805193987,197.15338399752372,210.05558320621074,237.56870070392426,278.8809141322266,328.8271853103577,381.35067339443697,423.19092559004133,454.1234117838625,496.21293030060224,783.1114008613075
6,P13-15,3.0,1150.0,305.9415714992986,80.13226571936394,175.53460337663037,190.21382580084352,197.61782135252105,207.1229654008679,221.3372597467342,249.13681893029408,291.40592317470197,342.81561683210754,408.0572248770997,458.7108850555786,499.21901357884224,560.3329596032403,770.0855081048584
7,P13-15,2.0,3224.0,412.5947498924277,103.13120469575826,185.5489080798882,228.67132085507185,250.4096455381107,270.8359148127229,295.9779570603757,341.56542336982955,398.6517445126092,469.10047643239074,542.7607966114406,597.7845549266232,640.2085327563806,739.0083649181882,1259.6249831235452
8,P13-15,5.0,1325.0,274.68543712921905,68.14926675333426,170.35162371871843,176.8492348119201,182.8809848431615,188.31674079569808,200.1096944929434,226.3743474789068,260.379452488206,307.46624159002624,357.89653307144187,401.67507230855284,443.4336988268153,498.06608211686637,666.9131358168513
9,P13-15,6.0,4357.0,304.3065905754081,77.76789871932209,172.1656661516302,181.58478125953764,192.3838472127537,203.37637640007125,219.0334815630271,248.83766905265855,291.13057210456327,345.37251411913047,402.4705492468377,450.3157352608252,495.2908340585825,546.714430014677,878.7053076410067
10,P13-15,7.0,1088.0,353.11368337692466,99.15480006043273,170.65032923256445,191.0129537434497,207.01487322692498,224.286420270547,243.65570601161812,284.32911406649964,338.99203250440803,401.92178551206496,479.70399775617165,527.0771782321698,597.8789069140495,658.060185063415,898.1912345686771
