,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,7501.0,14212.0,9677.0,10142.0,8828.0,5701.0,3363.0,757.0,574.0
mean,328.8960561969914,334.2684612492586,349.9645549009526,360.3000956819348,385.0840108956083,367.1179330795663,363.950637073579,569.8230173098864,603.5112252110068
std,96.46587188006231,99.80921289489397,106.73238205066039,115.90292601659613,139.04748653586128,139.91969982025466,116.35772523180049,190.19427798526243,248.7498918643252
min,170.44129033974565,170.35162371871843,170.38151783559655,170.44129033974565,170.38151783559655,170.56077250677836,172.46122974458174,214.28511600512277,182.36506493427527
1%,181.6199793124475,184.5074875890805,189.99919487471615,186.47802592026434,187.69703982229393,186.370530879684,198.05147883278423,254.84905976965987,221.3430022255235
2.5%,190.318466178734,195.2324230531185,201.99184549707107,201.0681742102928,202.7750882793598,197.86893129469345,210.75270551224315,295.1988199745969,234.22756877097615
5%,202.17834291579717,207.64200218772083,216.5429874187915,216.16752892429156,216.99819653576367,209.81785076290095,225.558444953026,318.1324691413008,256.8246510276231
10%,219.63720056248636,225.61094228755303,236.02930184707932,236.3085688073199,238.3247924554089,227.74258735320365,244.8208179891075,355.3258315560137,304.87347671826575
25%,257.74511922847705,261.49928448189115,273.87787070049654,279.45330081467336,287.50870803112684,269.26446597239504,282.3519449795109,424.96623045276846,421.58850608178057
50%,313.1938290043355,316.86064324127665,329.7879954020122,337.1012691544057,357.6410185819443,333.5424687514014,340.0224163494691,533.4358062351758,568.4495470223543
75%,382.4672771036473,386.0772007450534,402.1084881782624,416.0170395863453,449.557855843615,427.2684860408879,416.21822253121417,692.1711797602314,744.7045477217673
90%,459.5607283089533,467.49172132979584,489.10883258666166,510.0668253424674,566.4652227523698,546.8426274488252,506.69951547393896,819.5772583689625,992.704525547651
95%,506.8206442850429,521.500177256735,551.4438719198282,579.5333871365368,655.8795834178603,641.4793387038025,584.7174393637739,915.4846627280984,1081.5060817914095
97.5%,549.894684863555,574.6186906033234,621.5794167278855,648.6155425587519,736.5787991493537,735.2136999990522,669.0871563844815,1037.4962488174062,1149.3235659992276
99%,614.9997719027164,640.9985455689902,693.3275751823428,742.9692400873585,862.7553291191982,863.7128932331304,764.8894568145882,1128.8506133368303,1212.5249420027114
max,960.1731002845348,1259.6249831235452,1202.7992651072734,1210.4574111196262,1247.3760887435149,1242.3265027778943,1094.7150637379204,1229.5993915066374,1259.8781651893582
