,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4,2244.0,2.941125745788353,1.2018372158662727,1.0178491744756806,1.381513577570794,1.552016024888766,1.6622455332484403,1.815506699254984,2.1411193303604366,2.677169309595036,3.41556086510567,4.265096495277268,5.1176592199349695,5.970834963069493,7.306484434730925,19.136008918617613
1,P6-12,5,3278.0,3.2547726958284287,1.4940320087133194,1.097646645591851,1.3705752511971316,1.561145139352624,1.739003557479034,1.9907050565535516,2.4243685123187824,2.979248764930561,3.7350822172903886,4.656844918897275,5.4953186646249,6.570829777565025,8.326310613347982,33.38039215686275
2,P6-12,2,1495.0,4.568575502046671,1.7555943870483226,1.295754937023791,1.8485127631431557,2.1610329143429348,2.378820162468134,2.725255512976382,3.4296220714093906,4.324265347686937,5.362040353179681,6.618786837150333,7.436814862517783,8.618729810003126,9.794258065262987,24.002081887578072
3,P6-12,1,3068.0,3.5510590046170867,1.5418869953916166,1.0150099800399202,1.4675367782853328,1.6890353037526347,1.881985820698707,2.1308866709006375,2.5869839531732493,3.204305597824175,4.1386313230170835,5.289419143892483,6.27438861086536,7.433353271888082,8.898242381080616,19.46382189239332
4,P13-15,1,1896.0,3.9984415792345294,1.9820617775315588,1.0,1.4741732235026654,1.7128257764756554,1.9232543022861803,2.215492699724351,2.717596999140405,3.5278366380921504,4.738772032674652,6.204888530026812,7.593116688429406,9.061422855344558,11.248106098733356,25.49668443635418
5,P13-15,4,1611.0,3.0960042686277927,1.2335318587366622,1.0078643401327108,1.3661114866943915,1.497310174637075,1.6708508946121887,1.856817293918479,2.248146100010879,2.842349234923492,3.663292651728135,4.609841669665348,5.428065355696935,6.134741913761454,7.524277858239515,13.026171143035604
6,P13-15,3,1435.0,3.5618162619635916,1.8630113337672627,1.187180771156735,1.4747193751536585,1.6462811945409164,1.7993416492785839,2.054781790729458,2.5876046559117825,3.2218705491375217,4.041146929349779,5.267084787089884,6.199820803670273,7.50167402247933,9.849298473741886,38.13538156590684
7,P13-15,2,3831.0,4.928066562213125,32.57798542337115,1.1302013422818793,1.561641249916622,1.8288728320254801,2.0702765294958825,2.406275535218173,3.1024547084647254,4.026752455130376,5.212607194087484,6.665556204279287,7.755526124465976,9.001352240964197,11.21390135019086,2014.2380952380952
8,P13-15,5,2311.0,2.8766397901831233,1.3134977517839634,1.027140974967062,1.2803774662645917,1.4483952108845675,1.5675722927266558,1.7487500991984763,2.0934220631417366,2.583401502193798,3.296480045533206,4.295666999823623,5.070280448613035,6.033987816856295,7.104503118468715,27.35168655454289
9,P13-15,6,5969.0,3.2206091404075172,7.757393888966906,1.0009706045479756,1.2984973276180496,1.4567877249898165,1.6179126343258132,1.8234431612091189,2.220558161915073,2.8230723955267805,3.636885540007176,4.59114404524168,5.388588579190363,6.4373910723437815,8.051140490141188,586.045
10,P13-15,7,1713.0,4.030363285404686,1.8236828482753444,1.3047765398898707,1.6482397929990371,1.8095703750751975,2.0696947751503254,2.345743789581879,2.886513443191674,3.649151881458374,4.686334806842207,6.093880833515,7.398382387382045,8.52346338612254,10.759405068168808,20.390293412068647
11,P16-18,2,1920.0,5.094569961656492,2.6815999324414648,1.126950617636151,1.8802719266111543,2.224778758815052,2.439957430272199,2.744791348490436,3.4995318671366205,4.5841961652275,5.937263957982591,7.985881991007624,9.314901397140838,11.030390307887075,12.945905170730631,58.03090128755365
12,P16-18,3,5523.0,5.026378760067507,85.78912219651033,1.0510292838503914,1.4717712065326265,1.6944710488596446,1.9017332436812995,2.1626260406407387,2.702424311445122,3.4548649648538663,4.448702754525463,5.823093406264831,7.032101504745405,8.330018824502535,10.359232299645049,6375.4
13,P16-18,4,1455.0,3.280552719560781,1.7108247432011598,1.0038524305091094,1.337027161081474,1.5213446927376908,1.6726719047967376,1.8631315190999735,2.313734873712626,2.915409236396891,3.7543972351218367,4.917991449346851,6.086530649312099,6.988461449814247,8.94395050798889,32.34142857142857
14,P16-18,6,1764.0,3.5182263091127597,1.856953825694797,1.0713021491782553,1.349951885924242,1.5382464518399461,1.736135715185077,1.9842530321299727,2.4152038752646097,3.0845706441171545,4.201151356768194,5.430190132247648,6.486462295292588,7.690697775682491,9.692115019352103,29.214995550281817
15,P16-18,1,1312.0,3.7179566754367754,2.0465976519172364,1.1412181130233126,1.454024010626479,1.6544766443525498,1.830205222669558,2.095568846003181,2.5319586984608904,3.2408637788957853,4.31757072283076,5.918894395444779,6.825099174907627,8.229039675263422,10.748874991618338,38.4223925185089
16,P19-21,7,3799.0,5.49047989470906,39.480465563866005,1.136240238629889,1.6941485562893561,1.957727888043272,2.217270102295869,2.5089529168558737,3.19014901605992,4.133333333333334,5.564645942605951,7.4033547222861,9.206977009208124,11.319538565332937,14.800062563306154,2411.5
17,P19-21,5,2606.0,3.5362378325952393,1.734547791959748,1.1201055873295205,1.4154583666026255,1.5477153803597283,1.7253752664358497,1.939170362074972,2.4284031754049216,3.175442497697097,4.203079628870419,5.504129752062253,6.544997384425638,7.570922279944422,9.087088395666933,35.39352428393524
18,P19-21,3,3587.0,4.255912288983665,19.039314355056952,1.0241066849034024,1.4767859830788224,1.6988875804237724,1.9213841749817682,2.165034831375142,2.662324385916647,3.3929604332041103,4.414688788113118,5.8719151406075385,7.131579436075936,8.847889589456917,10.35958842472671,1008.0555555555557
19,P19-21,2,1342.0,102.95246682616613,3596.1184466903837,1.0099119430063277,1.57447781075618,1.7660195926771156,2.0539198972474635,2.388449007172901,3.106700205111733,4.215275066355735,5.689886759341093,7.606256920975838,9.54648938421773,11.462183551067971,13.67362763984467,131742.5
20,P19-21,1,729.0,4.307655757468612,2.1955482465197242,1.001940401940402,1.532757738351136,1.8220861994567514,2.0594825999352224,2.3913679186546513,2.9656672124437167,3.7450225497745024,4.980649619903248,6.69482599411367,8.323568518443604,9.921925350598787,12.441086777519041,19.45547090945864
21,P19-21,4,1469.0,3.6147252827616057,1.9518512904074201,1.0,1.4299148424557124,1.5969452743768564,1.7980687055509534,2.0296715635898828,2.4551495016611296,3.193475226796929,4.160455569864778,5.4834376614020055,6.743528411383186,8.023328851524834,10.288587278630324,28.13978494623656
22,P22-24,7,1486.0,6.69631396125322,25.577625904859236,1.1643388150484344,1.9311453978759923,2.211958633140835,2.4783526405875245,2.895991180145257,3.7527969413030613,5.167210588943079,7.146504844810994,9.884439199666941,12.486281341701815,15.047439831039414,18.853032352900062,978.1472081218274
23,P22-24,6,3256.0,4.4701172546548635,10.496511968770205,1.0261149055845722,1.462458274143056,1.6885077989194914,1.9192511127050047,2.188449331189669,2.790195851484986,3.677194039801245,4.955489559421478,6.748075720177591,8.405858921875357,10.772127120031941,13.668368658527275,582.9433962264151
24,P22-24,5,1083.0,5.462415682725376,3.8036774752257174,1.370519136036377,1.7913099482440564,2.0613277547646187,2.3243728517225035,2.6067406172092475,3.4985656325835714,4.693734015345268,6.385218616242879,8.606302051487022,10.304618461158443,12.724987879883496,17.027649740937427,58.42063492063492
25,P22-24,2,772.0,5.826889855272794,9.602466131509154,1.0977980942570178,1.588385518256191,1.8037660446518358,2.118415364652767,2.5172483064926907,3.459373909262748,4.746397151577592,6.5705536553904995,9.543058193445,11.616895059307705,13.701274348031482,16.08083818480704,257.4623552123552
26,P22-24,3,2539.0,5.035192097551836,3.0669288283045013,1.1771824957567707,1.7637646839274157,2.0304397557007876,2.255909268431913,2.601425656460819,3.2575130265375165,4.297644904390784,5.796163615881549,8.12708185901523,10.1052358633034,12.307405974105297,15.919302935337104,44.063747368421055
27,P22-24,4,3426.0,3.942799718713471,15.060091713522054,1.0,1.3371428528767875,1.5285684201534122,1.7001730989956958,1.9432993051645768,2.4179875424788557,3.1741685203197023,4.312606170530094,6.094512225328961,7.32432615503402,8.98248925027198,10.917216374833174,877.2682926829268
28,P25-27,4,2434.0,8.872751301146383,211.14347077552347,1.041703018670389,1.401741113298931,1.5687030036745275,1.7432117184851705,1.9173218678006037,2.325146507161355,3.0412660623243193,4.108138533984867,5.445945190092925,6.651482923985505,8.124759802754388,10.510558093911754,9927.5
29,P25-27,5,2837.0,3.710404735438143,1.8501412855295016,1.012314332867843,1.4601162955684983,1.6293539003361768,1.7915490587902425,2.0498516655001464,2.5132085317330897,3.270718232044199,4.346028411917528,5.882643720411129,7.081731280496461,8.308718140953724,10.760644519902247,18.376952200662565
30,P25-27,6,274.0,5.5004468539409785,3.5021143057760726,1.1011339662447257,1.2324346676324907,1.4619386785877584,2.0534501242455994,2.465467464773982,3.234621844409634,4.573289409244394,6.725820129182386,10.001754047111895,12.080227646607247,14.143763669737023,18.33349340773835,27.014609765474816
31,P25-27,3,1253.0,5.877112724524772,4.059613869385127,1.2852230991638665,1.9041799244049311,2.1993585179409942,2.511683093286879,2.879682199499455,3.6835840890354494,4.969007495614268,6.717448551643422,9.392701292503757,12.062425117348171,16.088997238195923,20.3608769545652,63.96149870801034
32,P25-27,7,1547.0,6.426425153498957,11.076303320888998,1.002569651068434,1.8782869006952552,2.1936252651283943,2.4397091276829874,2.80148452349029,3.662691566673759,5.279829263450466,7.310992707087889,10.234910222443864,12.278849914799904,15.096316519805049,19.885751875962477,372.1333333333333
33,P28-31,7,912.0,5.608086913243541,3.4093280943427255,1.3453526488315533,1.8813291108165169,2.0517541292747006,2.415903111673031,2.709962932235452,3.4793564559594854,4.785178976683483,6.73561660973602,9.243197794937982,11.642972176712469,13.789167947947144,16.509181059214875,44.9303843364757
34,P28-31,5,5432.0,6.676200175232678,205.66589609574552,1.0166299559471366,1.2099236627833023,1.333427020383132,1.485305981924062,1.677262044431289,2.1154709685040496,2.808466501732294,3.7726512587877084,5.068802086906563,6.191236643643062,7.331164373336524,9.134091012599834,14786.0
35,P28-31,6,2597.0,26.863510186441985,1149.8453912214463,1.0,1.3373690242150102,1.595265309327857,1.752464911406681,2.013075384389137,2.58126565909642,3.501868909357896,4.8779626253418416,6.68164685261449,8.387503027680381,9.793559189245387,12.22828089684284,58598.0
36,P32-35,6,61.0,5.817959853490605,4.855229344004846,1.0074900960721105,1.011256623745923,1.0171072213247525,1.0259307279125764,1.287829146948186,1.9235658409387224,4.21460824691113,8.516991202101488,13.808041150013668,15.550164397873584,16.633107598624786,18.4480435794819,20.28842493573769
37,P32-35,7,902.0,7.672403615114709,5.91788009367332,1.0204289349327518,1.8075029731310845,2.3191421280337092,2.794136950273305,3.396866684383028,4.71451082918338,6.269193795736079,9.031530048455286,12.826392661432426,16.700766508072842,19.53180979215332,24.878976053499365,101.97267489711936
38,P32-35,5,585.0,7.131777806842187,8.528648123477234,1.0,1.1383192812367477,1.5146540154259416,1.8146749843429397,2.498391302036797,3.8571739445814592,5.984167969015425,8.302980540274243,11.74169314637468,14.409624789865747,18.701383538180913,23.165858821052286,148.97596448254745
39,Doxo,5,205.0,6.193258478867012,4.025964621029002,1.082063900524052,1.2076787190616851,1.3227275199345376,1.5754227030984695,1.8861163334999924,3.520985772357724,5.282580819329149,7.591464239037361,11.070137745968694,14.225959159672847,16.85225781814677,20.730172916487085,22.8968797564688
40,Doxo,7,258.0,9.133869719772736,8.708932247315312,1.001139333824811,1.1050771586327475,1.1582920677047184,1.6843972975557564,2.822571767941983,5.053758318150118,7.241674589647215,11.259971973975233,16.16560426259017,19.30071399903081,24.404007307221825,35.01557306125419,99.7837552742616
41,Doxo,6,652.0,35.502709897999495,721.4364457615982,1.0,1.13294432396978,1.4074553611385634,1.8192182940598374,2.3327540493779466,3.553413713268804,5.591871363242722,9.023177969666754,14.162965639807174,18.20509771538378,22.205912171882943,33.375335724884984,18428.0
