,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,10085.0,18766.0,11974.0,13683.0,12665.0,8563.0,9391.0,1645.0,910.0
mean,3.4698761003668466,3.694718121541521,4.4596274254753805,14.06411560546084,4.87793208352769,6.047709315975539,11.980384986197897,7.346816053679464,28.026709056260483
std,1.576259884565256,15.41373609297921,58.28727762204213,1126.4485930395344,13.263428772933777,112.68905167219826,624.561424964368,6.847746417956753,610.6628153295854
min,1.0150099800399202,1.0,1.0038524305091094,1.0,1.0,1.002569651068434,1.0,1.0,1.0
1%,1.4416129101023856,1.3771563365326123,1.4472887718441185,1.4869316497798089,1.4877756648586937,1.4763309342805062,1.2549038884165704,1.2729113672889514,1.1107342322350062
2.5%,1.6164851817503756,1.5455230060323135,1.6540414819653064,1.6992753225761477,1.707479957714214,1.6818914223424644,1.393546648813528,1.6787695024686604,1.3430725135606552
5%,1.7816899651143583,1.7164532326915238,1.862314376685571,1.8996135080773364,1.9481250293225203,1.8667898469105073,1.5553671974093555,2.1522511433276885,1.7909324120153607
10%,2.0141478149480556,1.9505221567098108,2.1254243504133927,2.176619402228307,2.2358713823179706,2.1296563260289374,1.7950666354921674,2.801244760957597,2.4524782700402192
25%,2.4687314935449485,2.4262883404164466,2.6396857511328333,2.746464936351661,2.9061154816683983,2.6889663110942292,2.2919570412829686,4.29456496384418,3.829684964016219
50%,3.1306959706959705,3.164319874904072,3.448287454573079,3.594034061226622,3.9488829592424,3.686285170585837,3.0903377847604085,6.127291438862804,6.1585427195761175
75%,4.078304890993713,4.201290423823798,4.5915140508106065,4.82669355832985,5.505408786518507,5.268723698679219,4.343974729025282,8.711369331694625,9.676102859643784
90%,5.264853433127203,5.522548689869497,6.11136442915209,6.499348934816415,7.787140466740222,7.487063952102916,6.0777480663618855,12.289217881314675,14.598457058501976
95%,6.223316398986018,6.602965233980974,7.400137285710608,7.900368462220323,9.68866479620209,9.496568701123357,7.6102819040389065,15.541043161669183,18.509992348513457
97.5%,7.241963895206718,7.844409610131384,8.821428287481364,9.624578496448311,11.91608578757221,11.7221561890033,9.247318283693799,18.838231583935652,23.524498226650216
99%,8.801655607345513,9.614160787751267,11.279582023906814,12.286110953726995,15.187519386085617,15.956342355217005,12.026429442219978,24.41734520563634,33.883445356516
max,33.38039215686275,2014.2380952380952,6375.4,131742.5,978.1472081218274,9927.5,58598.0,148.97596448254745,18428.0
