,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4,2244.0,120.53609625668449,83.18810251205156,2.0,16.0,23.0,32.0,44.0,66.0,101.0,149.0,220.0,272.8499999999999,343.84999999999945,421.57000000000016,775.0
1,P6-12,5,3278.0,134.80140329469188,97.8629223745779,7.0,23.0,32.0,43.0,55.0,78.0,112.0,163.0,235.30000000000018,291.2999999999993,354.0,486.23,1389.0
2,P6-12,2,1495.0,283.25150501672243,139.7999082503144,21.0,68.88,95.35,113.0,141.0,193.0,259.0,342.5,437.60000000000014,516.5999999999999,637.9499999999996,808.1199999999999,1293.0
3,P6-12,1,3068.0,193.03683181225554,128.57436908417864,3.0,33.67,47.0,60.349999999999994,77.0,115.0,166.0,234.0,322.0,403.6500000000001,534.6499999999996,704.9699999999993,1406.0
4,P13-15,1,1896.0,281.55010548523205,242.01985705398667,6.0,29.9,47.0,68.0,90.0,134.0,210.0,354.0,554.5,689.25,908.25,1205.1,3238.0
5,P13-15,4,1611.0,138.70887647423962,90.9801304601756,1.0,18.1,26.25,41.0,57.0,82.0,122.0,171.0,236.0,289.5,360.75,454.8000000000002,1048.0
6,P13-15,3,1435.0,151.0034843205575,122.01041688665451,12.0,26.34,38.85,47.0,59.0,83.0,117.0,177.5,275.60000000000014,357.29999999999995,492.1999999999989,613.3200000000002,1454.0
7,P13-15,2,3831.0,291.52205690420254,178.40212585096629,4.0,62.0,81.0,102.0,128.0,181.0,256.0,357.0,486.0,597.0,729.25,908.6999999999998,2743.0
8,P13-15,5,2311.0,107.8035482475119,110.2805725413374,1.0,15.0,25.0,33.0,41.0,58.0,87.0,126.0,184.0,246.0,317.0,454.40000000000055,3350.0
9,P13-15,6,5969.0,143.7316133355671,104.51394910281087,4.0,20.0,31.0,41.0,54.80000000000007,80.0,119.0,178.0,251.0,322.0,407.8000000000002,544.6399999999994,2139.0
10,P13-15,7,1713.0,185.21949795680092,129.79337791807146,13.0,32.120000000000005,43.800000000000004,58.60000000000001,75.0,102.0,149.0,230.0,339.5999999999999,441.0,530.4000000000001,688.0,1209.0
11,P16-18,2,1920.0,389.90052083333336,264.29483788707785,19.0,66.19,93.0,116.0,145.9,214.75,328.0,492.25,712.0,869.0,1034.0499999999997,1253.2399999999998,3518.0
12,P16-18,3,5523.0,211.62864385297846,166.6772290590588,6.0,33.0,44.0,58.0,74.0,108.0,166.0,260.5,399.0,497.89999999999964,639.7999999999993,855.0,2245.0
13,P16-18,4,1455.0,148.0123711340206,109.25317875607936,1.0,20.54,32.0,41.0,54.0,83.0,126.0,177.5,254.0,334.0,419.64999999999986,589.6200000000017,1421.0
14,P16-18,6,1764.0,168.8265306122449,151.16245148047787,4.0,22.0,35.0,45.0,59.0,83.0,126.0,199.0,316.70000000000005,435.5499999999997,595.5499999999997,780.1099999999997,1953.0
15,P16-18,1,1312.0,221.58993902439025,184.61867308719155,8.0,29.33,44.0,57.0,73.0,109.75,168.5,273.25,425.9000000000001,543.9000000000001,673.4499999999998,893.900000000001,1983.0
16,P19-21,7,3799.0,256.04922347986314,205.2658250281547,7.0,39.96000000000001,57.0,72.0,89.0,131.0,202.0,304.0,480.2000000000003,645.0999999999999,830.0,1114.0,2859.0
